gene	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1.1	ATAC_P1_2.1	ATAC_P1_3.1	ATAC_P2_1.1	ATAC_P2_2.1	ATAC_P2_3.1
CG10007	175.960974823801	139.035053945601	264.103280958374	184.29164991288	160.530966288497	183.877751941251	232.485641369763	145.649753955951	167.416413170314	215.219673064761	219.971797645645	226.245049914339
CG10011	1615.44894958718	1535.80259589141	1531.5780226289	1211.85721306349	1416.44970254556	1474.85280202878	1484.73784602053	1638.55973200445	1612.22005883013	1294.62911028187	1567.70945337008	1360.59092086416
CG10023	304.221685388137	211.7610821633	249.737830529676	301.568154402895	205.047956939929	206.862470933907	234.246896228625	327.711946400891	381.709422028317	231.775032531281	183.857024897853	232.486292670597
CG10033	96.4605343913605	173.259067224518	141.444434990259	122.86109994192	124.107973937325	180.046965442475	162.035447015289	183.796118087272	205.922188199487	205.286457384849	165.799638523956	163.832622351763
CG10038	114.480634222714	119.78404647621	145.864573583705	150.784077201448	142.993969971266	80.4465164742973	184.931760180493	159.521159094613	142.303951194767	122.509660052249	139.534349252835	134.186719259539
CG10042	166.420921971908	115.506044816345	130.394088506645	156.368672653353	157.832966855077	137.908313955938	75.7339589310592	104.035538539965	137.281458799658	115.887516265641	123.118543458383	123.264544436088
CG10063	83.7404639221701	83.4210323673606	34.2560740992034	150.784077201448	106.570977620095	107.26202196573	88.0627429430921	62.4213231239792	80.3598783217509	173.831274398461	180.573863738962	143.548583393925
CG10069	321.181779347058	352.935136938833	308.30466689283	457.936827056248	380.417920112237	413.724941867815	237.769405946349	258.35492070758	264.517932809097	341.040405010314	412.036725440723	324.544623325397
CG10075	202.461121634614	156.14706058506	155.809885418957	290.398963499084	254.960946458201	226.016403427788	177.886740745046	182.062192444939	244.427963228659	349.318084743574	446.509917609071	304.260584367559
CG10080	292.561620791379	382.881148557886	374.606745794514	357.41410892195	337.249929177515	383.078649877606	272.994503123585	334.647648970222	299.675379574863	279.78557498419	385.771436169602	346.388972972298
CG10082	255.461415256241	278.070107891202	324.880186618251	217.799222624313	186.161960905988	210.693257432684	158.512937297566	140.447977028953	152.348935984986	127.476267892205	167.441219103402	149.789826150183
CG10117	347.681926157871	260.958101251743	329.300325211697	502.613590671492	329.155930877255	291.139773906981	287.08454199448	320.77624383156	314.742856760191	307.929686077274	364.430888636815	366.673011930135
CG10119	412.342284376255	494.109191714366	442.01385934456	519.367377027208	454.61290453129	597.602693809066	318.787129453993	362.390459247546	411.844376398973	314.551829863882	366.07246921626	382.27611882078
CG10120	513.042842257346	419.244162666735	367.976537904346	390.921681633382	507.223893482982	559.294828821305	361.057246066678	419.610005444527	508.945896037756	372.495587996702	387.413016749047	486.816934988095
CG10128	112.360622477849	102.672039836751	121.553811319754	150.784077201448	107.919977336805	91.9388759706255	88.0627429430921	107.503389824631	157.371428380096	74.4991175993404	83.7206095517008	88.9377092766712
CG10130	590.423270944921	577.530224081727	574.618017147928	703.659026940088	619.190869969917	551.633255823753	505.480144493349	379.729715670873	463.743464481771	523.149359142035	416.961467179059	508.661284634997
CG10131	157.940874992447	164.703063904789	137.024296396814	161.953268105258	142.993969971266	153.231459951043	75.7339589310592	71.0909513356429	88.7306989802666	168.864666558505	64.0216425983594	79.5758451422847
CG10133	405.98224914166	432.078167646329	351.401018178925	368.583299825761	434.377908780639	340.93999839107	308.219600300822	272.226325846242	318.091185023597	297.996470397362	290.559762561785	316.743069880075
CG10144	304.221685388137	325.128126149713	137.024296396814	217.799222624313	304.873935976473	375.417076880054	317.025874595132	251.419218138249	314.742856760191	309.585222023926	443.226756450181	340.147730216041
CG10153	241.681338914618	222.456086312962	214.376721782112	335.075727114328	276.544941925562	287.308987408205	225.440621934316	258.35492070758	177.461397960533	342.695940956966	370.997210954596	385.396740198908
CG10155	160.060886737313	158.286061414992	233.162310804255	290.398963499084	207.745956373349	206.862470933907	200.78305391025	265.290623276911	174.113069697127	251.641463891105	238.029184019541	218.443496469017
CG10161	354.041961392466	337.962131129307	318.249978728083	273.645177143368	311.618934560024	310.293706400861	264.188228829276	308.63876433523	413.518540530677	233.430568477933	259.369731552328	283.976545409722
CG10171	355.101967264899	318.711123659916	313.829840134637	256.891390787651	306.222935693184	314.124492899637	209.589328204559	273.960251488575	289.630394784644	251.641463891105	321.749793571242	246.529088872176
CG10173	405.98224914166	329.406127809578	341.455706343672	396.506277085288	348.041926911195	566.956401818857	457.926263304079	487.233105495504	371.664437238098	609.23722836794	482.624690356863	410.361711223939
CG10192	201.401115762181	164.703063904789	161.335058660764	145.199481749542	169.973964305467	199.200897936355	93.3465075196776	140.447977028953	135.607294667955	147.342699252029	98.4948347667068	132.626408570475
CG10197	90.1004991567653	121.923047306142	83.9826332754664	178.707054460975	124.107973937325	126.41595445961	95.1077623785395	112.705166751629	90.4048631119698	210.253065224805	152.666993888395	166.953243729892
CG10198	89.0404932843328	64.1700248979697	88.402771868912	122.86109994192	64.7519864020829	91.9388759706255	72.2114492133355	74.5588026203084	97.1015196387823	81.1212613859485	80.4374483928105	84.256777209478
CG10203	418.702319610851	378.603146898021	344.770810288757	608.720904257696	557.136883001255	639.741345295603	237.769405946349	430.013559298523	361.619452447879	864.189764152349	656.632231778045	805.120315557234
CG10208	468.52259561518	494.109191714366	448.644067234728	424.429254344815	464.05590254826	371.586290381278	408.611127255947	367.592236174544	329.810333945519	380.773267729962	379.205113851821	396.318915022359
CG10210	279.841550322189	335.823130299375	292.834181815771	307.152749854801	210.443955806769	310.293706400861	285.323287135618	308.63876433523	313.068692628488	281.441110930842	211.76389474842	251.210020939369
CG10211	151.580839757852	132.618051455804	116.028638077947	161.953268105258	195.604958922959	245.170335921668	59.8826652013026	135.246200101955	83.7082065851572	294.685398504058	277.427117926224	271.494059897207
CG10214	106.000587243253	106.950041496616	110.50346483614	189.876245364786	180.765962039148	84.2773029730734	81.0177235076447	90.1641334013032	98.7756837704855	139.065019518769	126.401704617274	182.556350620536
CG10219	240.621333042185	273.792106231337	321.565082673167	167.537863557164	295.430937959503	199.200897936355	260.665719111553	275.694177130908	306.372036101675	254.952535784409	208.480733589529	251.210020939369
CG10221	336.021861561113	348.657135278968	361.346330014178	452.352231604343	304.873935976473	260.493481916772	311.742110018546	393.601120809535	298.00121544316	349.318084743574	308.617148935681	361.992079862942
CG10222	151.580839757852	139.035053945601	144.759538935343	173.122459009069	151.087968271527	164.723819447371	118.004075543743	156.053307809948	192.528875145862	74.4991175993404	129.684865776164	101.420194789186
CG10255	944.465232337387	1003.19138923826	993.426148876898	954.965822275834	871.453816994699	838.942243231958	907.046252313849	950.191251998349	837.082065851572	842.667796845873	771.542872339203	769.233169708752
CG10265	432.482395952474	442.773171795991	664.125823665201	575.213331546263	499.129895182722	417.555728366591	796.087196205553	570.461536327476	473.78844927199	635.725803514372	564.703719329119	438.447303627098
CG10269	249.101380021645	290.904112870796	237.582449397701	251.306795335746	183.463961472568	187.708538440027	193.738034474803	251.419218138249	246.102127360362	235.086104424585	180.573863738962	224.684739225275
CG10270	1406.62779271797	1259.87148883014	1141.50079175733	1390.56426752446	1265.36173427404	1279.48269059121	1167.7119714254	1078.50174953097	1180.28571285072	1185.36373780284	1057.17789316265	1221.72326953743
CG10274	253.341403511375	297.321115360593	236.477414749339	290.398963499084	244.168948724521	256.662695417996	154.990427579842	187.263969371937	227.686321911628	195.353241704937	233.104442281206	224.684739225275
CG10275	184.441021803261	151.869058925195	176.805543737824	240.137604431935	210.443955806769	314.124492899637	186.693015039355	299.969136123566	247.776291492065	346.00701285027	392.337758487382	346.388972972298
CG10283	339.201879178411	282.348109551066	374.606745794514	435.598445248626	468.102901698391	532.479323329873	228.963131652039	424.811782371525	338.181154604035	786.379574659705	710.804390899734	801.999694179105
CG10289	125.080692947039	134.757052285736	138.129331045175	128.445695393826	86.3359818694438	122.585167960834	75.7339589310592	112.705166751629	100.449847902189	120.854124105597	151.02541330895	99.859884100122
CG10293	702.78389342277	515.49920001369	615.504299137299	647.813072421034	605.700872802817	647.402918293155	581.214103424408	518.443767057494	515.642552564568	498.316319942255	431.735692394065	452.490099828678
CG10302	94.3405226464955	87.6990340272252	138.129331045175	195.460840816691	118.711975070485	84.2773029730734	96.8690172374013	175.126489875608	123.888145746033	182.108954131721	210.122314168974	187.237282687729
CG10318	242.74134478705	275.93110706127	219.901895023918	184.29164991288	271.148943058722	226.016403427788	207.828073345697	220.20855657626	182.483890355643	152.309307091985	226.538119963426	244.968778183112
CG10321	633.883511714655	667.368258938884	740.373214402138	658.982263324845	710.922850706201	681.879996782139	762.623353887177	665.827446655778	667.991488549554	706.913849220408	656.632231778045	695.898567322725
CG10326	303.161679515705	263.097102081676	364.661433959262	368.583299825761	353.437925778036	344.770784889846	383.953559231882	355.454756678215	296.327051311457	403.95077098309	311.900310094571	304.260584367559
CG10327	116.600645967579	109.089042326548	99.4531183525259	128.445695393826	62.0539869686627	160.893032948595	88.0627429430921	93.6319846859687	140.629787063064	119.198588158945	77.1542872339203	98.2995734110576
CG10333	119.780663584876	132.618051455804	161.335058660764	212.214627172408	321.061932576994	268.155054914324	114.48156582602	220.20855657626	162.393920775205	549.637934288467	446.509917609071	438.447303627098
CG10335	200.341109889749	158.286061414992	149.179677528789	351.829513470044	330.504930593965	413.724941867815	147.945408144395	100.5676872553	120.539817482626	278.130039037538	326.674535309577	360.431769173878
CG10336	162.180898482178	173.259067224518	148.074642880428	323.906536210517	321.061932576994	206.862470933907	102.152781813987	143.915828313619	197.551367540971	382.428803676614	362.78930805737	379.155497442651
CG10341	276.661532704891	357.213138598698	295.044251112494	178.707054460975	111.966976486935	99.6004489681777	457.926263304079	435.215336225521	549.125835198631	178.797882238417	142.817510411725	78.0155344532203
