gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3
CG10007	559.197535739673	526.488322886348	688.959283941651	500.186088189208	530.595953562852	579.510853550732	598.355277216994	763.105597096424	602.612149358168	392.083595380255	560.098288215738	453.108695983671	175.960974823801	139.035053945601	264.103280958374	184.29164991288	160.530966288497	183.877751941251	232.485641369763	145.649753955951	167.416413170314	215.219673064761	219.971797645645	226.245049914339
CG10011	772.450833267514	725.163161711385	630.110678438302	736.055831197863	700.158035670909	602.838620960613	540.531027738041	560.869131434827	627.513477844043	518.39240463027	534.287307191972	588.16994190188	1615.44894958718	1535.80259589141	1531.5780226289	1211.85721306349	1416.44970254556	1474.85280202878	1484.73784602053	1638.55973200445	1612.22005883013	1294.62911028187	1567.70945337008	1360.59092086416
CG10023	598.688887133718	576.157032592607	496.624817174607	564.190943075979	631.571126054166	473.922011590217	384.656963925211	420.65184857612	435.773248502808	563.126774572984	369.097028639865	398.648516177941	304.221685388137	211.7610821633	249.737830529676	301.568154402895	205.047956939929	206.862470933907	234.246896228625	327.711946400891	381.709422028317	231.775032531281	183.857024897853	232.486292670597
CG10033	570.255114130006	500.660593839093	512.413467431603	361.508902601205	471.535003615102	434.633140163049	872.391937791164	741.533707425853	580.200953720881	481.552335265683	634.950133184662	806.010661124799	96.4605343913605	173.259067224518	141.444434990259	122.86109994192	124.107973937325	180.046965442475	162.035447015289	183.796118087272	205.922188199487	205.286457384849	165.799638523956	163.832622351763
CG10038	412.289708553827	369.535200214569	386.104265375634	442.107608754916	442.957124608126	464.099793733425	402.25564854924	304.702941596805	373.519927288121	344.7177919115	332.961655206591	344.188336372211	114.480634222714	119.78404647621	145.864573583705	150.784077201448	142.993969971266	80.4465164742973	184.931760180493	159.521159094613	142.303951194767	122.509660052249	139.534349252835	134.186719259539
CG10042	225.890529973936	270.19778080205	265.536390685845	221.646441922706	188.614001446041	230.822119634614	228.78290011238	231.897813958631	253.993550555922	184.200346822939	185.839063371121	217.840719222919	166.420921971908	115.506044816345	130.394088506645	156.368672653353	157.832966855077	137.908313955938	75.7339589310592	104.035538539965	137.281458799658	115.887516265641	123.118543458383	123.264544436088
CG10063	42.6506595055683	49.6687097062592	50.2366144540787	49.7815538008216	69.5395055836413	63.8444160691484	52.7960538720877	78.1981000558173	99.6053139434989	78.9430057812595	59.3652563546635	56.6385869979588	83.7404639221701	83.4210323673606	34.2560740992034	150.784077201448	106.570977620095	107.26202196573	88.0627429430921	62.4213231239792	80.3598783217509	173.831274398461	180.573863738962	143.548583393925
CG10069	687.149514256378	729.136658487886	684.653288417016	801.245961175129	820.185127500207	812.788527649543	638.580842071918	728.051276381747	729.608924636129	847.321595385518	810.464804146276	862.649248122758	321.181779347058	352.935136938833	308.30466689283	457.936827056248	380.417920112237	413.724941867815	237.769405946349	258.35492070758	264.517932809097	341.040405010314	412.036725440723	324.544623325397
CG10075	154.806097464655	196.688090436787	90.4259060173417	289.207122080964	270.537254599371	319.222080345742	279.064856181035	261.559162255665	321.227137467784	247.354751447946	420.718990687398	322.40426444992	202.461121634614	156.14706058506	155.809885418957	290.398963499084	254.960946458201	226.016403427788	177.886740745046	182.062192444939	244.427963228659	349.318084743574	446.509917609071	304.260584367559
CG10080	638.180238527762	695.361935887629	739.19589839573	744.352756831333	716.352167108195	583.194185247029	475.16448484879	617.495341820074	642.454274935568	644.701213880286	614.301348365649	721.052780627861	292.561620791379	382.881148557886	374.606745794514	357.41410892195	337.249929177515	383.078649877606	272.994503123585	334.647648970222	299.675379574863	279.78557498419	385.771436169602	346.388972972298
CG10082	630.281968248953	766.884877864643	782.255853642083	632.936898324732	742.072258214473	714.566349081623	721.546069585199	666.032093578857	794.352378699404	665.752682088621	611.720250263272	644.808528899839	255.461415256241	278.070107891202	324.880186618251	217.799222624313	186.161960905988	210.693257432684	158.512937297566	140.447977028953	152.348935984986	127.476267892205	167.441219103402	149.789826150183
