gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5
CG10007	559.197535739673	526.488322886348	688.959283941651	500.186088189208	530.595953562852	579.510853550732	598.355277216994	763.105597096424	602.612149358168	392.083595380255	560.098288215738	453.108695983671
CG10011	772.450833267514	725.163161711385	630.110678438302	736.055831197863	700.158035670909	602.838620960613	540.531027738041	560.869131434827	627.513477844043	518.39240463027	534.287307191972	588.16994190188
CG10023	598.688887133718	576.157032592607	496.624817174607	564.190943075979	631.571126054166	473.922011590217	384.656963925211	420.65184857612	435.773248502808	563.126774572984	369.097028639865	398.648516177941
CG10033	570.255114130006	500.660593839093	512.413467431603	361.508902601205	471.535003615102	434.633140163049	872.391937791164	741.533707425853	580.200953720881	481.552335265683	634.950133184662	806.010661124799
CG10038	412.289708553827	369.535200214569	386.104265375634	442.107608754916	442.957124608126	464.099793733425	402.25564854924	304.702941596805	373.519927288121	344.7177919115	332.961655206591	344.188336372211
CG10042	225.890529973936	270.19778080205	265.536390685845	221.646441922706	188.614001446041	230.822119634614	228.78290011238	231.897813958631	253.993550555922	184.200346822939	185.839063371121	217.840719222919
CG10063	42.6506595055683	49.6687097062592	50.2366144540787	49.7815538008216	69.5395055836413	63.8444160691484	52.7960538720877	78.1981000558173	99.6053139434989	78.9430057812595	59.3652563546635	56.6385869979588
CG10069	687.149514256378	729.136658487886	684.653288417016	801.245961175129	820.185127500207	812.788527649543	638.580842071918	728.051276381747	729.608924636129	847.321595385518	810.464804146276	862.649248122758
CG10075	154.806097464655	196.688090436787	90.4259060173417	289.207122080964	270.537254599371	319.222080345742	279.064856181035	261.559162255665	321.227137467784	247.354751447946	420.718990687398	322.40426444992
CG10080	638.180238527762	695.361935887629	739.19589839573	744.352756831333	716.352167108195	583.194185247029	475.16448484879	617.495341820074	642.454274935568	644.701213880286	614.301348365649	721.052780627861
CG10082	630.281968248953	766.884877864643	782.255853642083	632.936898324732	742.072258214473	714.566349081623	721.546069585199	666.032093578857	794.352378699404	665.752682088621	611.720250263272	644.808528899839
CG10117	420.187978832636	449.005135744584	436.340879829712	436.181233302437	502.018074555876	538.994204891465	404.769746352673	266.952134673307	376.010060136708	499.972369947977	438.786677404035	389.934887409024
CG10119	257.483611089171	218.542322707541	155.015838886871	266.686895361544	263.869082831077	185.39436204695	216.212411095216	156.396200111635	216.64155782711	231.566150291694	221.974436804394	161.20213222496
CG10120	221.15156780665	230.462813037043	209.558448865585	227.572817375185	169.562082108057	164.522149101267	221.240606702082	345.150234729125	393.440990076821	168.411745666687	221.974436804394	274.479306220877
CG10128	804.04391438275	808.606594017901	776.514526275902	858.139165518925	792.559844460131	698.605245064335	693.890993747439	628.28128665536	831.704371428216	668.384115614663	658.180016106052	629.559678554235
CG10130	552.878919516626	758.937884311641	832.492468096161	636.492723596219	529.643357595953	989.5884490718	879.934231201462	1083.98745594616	1085.69792198414	978.893271687617	939.51970926511	910.5742063518
CG10131	94.7792433457073	103.310916189019	97.6025652250672	85.3398065156942	104.785556358911	125.233277674099	90.507520923579	97.0735035175663	119.526376732199	142.097410406267	103.243924095067	102.385138034772
CG10133	266.961535423742	238.409806590044	288.501700150566	335.432850610298	281.015810235263	283.616540614871	226.268802308947	280.434565717414	249.013284858747	215.777549135443	263.272006442421	217.840719222919
CG10144	227.470184029697	190.727845272036	203.817121499405	309.356798619392	333.408588414718	299.577644632158	271.522562770737	204.932951870418	214.151424978523	344.7177919115	304.569576080448	331.117893218836
CG10153	173.761946133797	154.966374283529	198.075794133225	561.820392894987	570.604984172618	574.599744622336	130.733085778503	221.111869123345	169.329033703948	894.687398854274	887.897747217576	653.522157668756
CG10155	255.90395703341	242.383303366545	279.889709101296	314.097898981375	322.930032778827	250.466555348198	198.613726471187	302.006455387984	293.835676133322	302.614855494828	314.893968489954	307.155414104315
CG10161	1200.53708237896	1122.51283936146	1336.29394447849	529.817965451602	452.483084277118	469.010902661821	1878.03105916426	2084.38383941885	2074.28066287336	513.129537578187	464.597658427801	459.643917560358
CG10171	832.477687386462	669.534206840375	723.407248138733	638.863273777211	644.907469590755	526.716432570474	701.433287157737	633.674259073002	644.944407784155	605.229710989656	539.449503396725	413.897366523545
