gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG00000	241.117074457117	239.45889044352	254.875051445995	217.539269813604	218.686010867907	254.154450547029	216.888282329206	197.858975798996	197.87797224121	216.677272612006	178.95052576157	189.992981629916	221.612842650581	155.326644873868	238.300630543468	117.880063273333	274.623869586212	246.996210372429	182.87451480412	153.566190867419	161.744564895888	78.803426649494	211.682739195432	189.796778521461
CG10005	128.431468393399	148.872663954463	126.078916706761	137.900867263507	130.363516727905	140.679652935877	67.0102947762406	77.7611695279897	70.0258668720433	64.5252172116636	60.9088486766444	74.6400999260384	135.891963022478	141.206040794425	148.767679353565	152.760341174946	130.51744319805	149.311994841679	99.836173593237	138.209571780677	92.853361329121	96.2231314878032	75.5267383708744	99.0865851269197
CG10007	77.3601062284333	83.8326342386573	75.1763655650944	81.3328366469078	80.9319973738294	75.6498650741012	26.855270807272	20.7363118741306	20.4953756698663	27.0846590765008	28.2380646155872	25.674727247286	87.4410310587675	70.6030203972126	83.064791218009	75.1071677443484	57.200138544424	56.6419880929255	22.1858163540527	15.3566190867419	22.4645229022067	32.0743771626011	18.7084581285652	20.4302237375092
CG10009	111.59024172774	103.065690430013	100.537067201512	101.926727977375	100.438062609139	109.837784867205	115.861311197088	101.212950814209	111.138614495525	101.169167726929	124.280319267439	121.037999880062	102.062318219414	141.206040794425	97.3628290506171	153.269542312196	103.02345395294	109.569747458446	122.655870414548	153.566190867419	108.578527360666	157.606853298988	133.037924469797	138.925521415063
CG10011	117.751666117615	106.295669332378	113.579713757384	103.490820989815	98.3784159693854	112.456434042847	120.976600874663	116.888615147629	127.852105369166	128.519362676729	130.847311038506	126.906508965156	93.1748691609818	127.085436714983	101.447982717077	66.4507484111015	119.140620062143	111.798284694889	122.655870414548	76.7830954337093	120.934014956879	81.0154526607078	127.148224688582	127.075991647307
CG10016	154.720212456867	154.01126675368	162.12734260424	144.417921482009	129.757738304448	155.809625950697	153.714454811147	152.436578360424	176.162633733851	169.677423038078	160.72712359686	163.768081655903	203.551252628606	240.050269350523	162.044428769559	149.195933214197	233.224874286104	193.139893825058	184.142275738637	107.496333607193	143.024129144049	143.5051874775	217.572438976647	181.624689026457
CG10021	955.020780430659	1039.61275489305	891.790958257734	919.947373483775	874.622887786938	817.309503819809	760.132046087737	728.116093723192	757.962910933807	811.743164675126	777.367650900031	809.487471925144	1049.0056808001	1030.8040977993	1013.79896822636	648.467648287646	796.061596648641	872.100905194683	709.629183096056	675.691239816642	728.59935946157	562.407613351125	738.291190221713	757.144091712091
CG10023	9.44751739780867	13.2135500551299	12.3180550805456	11.8610386776741	11.6309457303707	11.0565187415994	11.3815195326058	12.9601949213316	12.6876135099173	17.3925997010863	12.1489347764736	15.9550090750991	16.9148224015321	14.1206040794425	14.2980378326081	9.92942217637149	18.6453490282929	10.5855518731041	7.28962537347445	15.3566190867419	15.3507573165079	8.57160079345373	24.2517049814734	17.5699924142579
CG10033	65.4480190746745	65.627298607145	61.7714232715595	72.2089607410047	66.9990936343228	51.6455809640499	61.895005098665	69.2444700082575	59.0462013346149	76.0760277001712	62.7147714136878	62.7196908469414	67.6592896061283	28.241208158885	55.8304334416126	56.52132623473	57.200138544424	59.0562367657388	71.9454330338565	92.1397145204512	71.8864732870614	61.9367283139882	53.7002038875483	62.7207868741533
CG10037	257.27369841279	319.180642442804	346.173577337097	348.010695268019	301.556499196798	324.567017269846	323.797836590537	294.998722495072	278.761508366932	369.360399758947	296.007154080835	320.934090591074	218.459231694363	247.110571390244	328.174011205577	140.0303127437	296.113424398482	288.595572119365	199.989287420103	199.636048127644	297.280519739202	121.384927365361	300.028235913657	302.367311315136
