gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG00000	328.107218209746	325.403672133555	348.208975872113	294.587722805132	296.668551867935	342.628966366662	289.76226851053	262.558717416226	264.750668364858	291.479736532323	240.068382047026	253.892259006375	302.567952534799	212.908033407206	324.350372539571	156.971075282378	374.223615189603	333.214244733586	245.407749015498	206.185567010309	216.690484227992	103.217189247449	282.942808969148	251.489513645269
CG10009	151.849734719445	140.057251893167	137.353220759789	138.027321290361	136.253866758182	148.073766231729	154.790457117064	134.309512340178	148.69781681898	136.095318160313	166.726390100549	161.74603372993	139.345654724953	193.552757642915	132.520295066167	204.09630090711	140.387685330047	147.816845408132	164.597571696703	206.185567010309	145.463519504902	206.434378494898	177.823303836584	184.082744110638
CG10021	1299.57288302838	1412.74273597652	1218.36019063142	1245.77600213219	1186.50984816323	1101.82572011901	1015.53474294021	966.209528408182	1014.11584620892	1091.97739531779	1042.86586146116	1081.73786800592	1432.20716471518	1412.93513079328	1379.87915631835	863.51042925317	1084.77478327113	1176.52187463829	952.284142193588	907.216494845361	976.110375712207	736.644782208109	986.82671998896	1003.25095540298
CG10037	350.092823972806	433.738555008184	472.940549318839	471.269754277832	409.090318891574	437.553076109916	432.593198035767	391.463090845152	372.968728245191	496.872933230958	397.103938376869	428.872059132389	298.26232837195	338.7173258751	446.676798754495	186.466720097858	403.506936055993	389.334538583454	268.374852042945	268.041237113402	398.26908443756	158.990687998702	401.02859667313	400.650678358448
CG10045	2100.55694383684	2118.81483633253	1952.64308431483	1968.0366143063	2040.0277372769	2112.84593856213	2344.06740799792	2412.65745947661	2384.71471320011	2138.76828736187	2348.04497339756	2491.13398918899	2132.45822174591	2400.05419477214	2098.08355265597	2501.36629251272	2166.96574411287	2138.08298086949	2521.70284906913	2618.55670103093	2427.73598070251	2811.12920329368	2327.44772156946	2299.68075179393
CG10060	558.024485257347	575.591412694853	562.282013632864	587.586895876743	572.627830863095	582.881103630063	567.052458246726	558.367228741056	598.218988629595	611.35731504298	636.071089313587	588.167395381563	626.664025883847	716.145203278784	661.674759980724	610.254720320262	623.131842553919	602.541547807726	619.261148295607	494.845360824742	574.831701215925	605.540843585033	583.019634193384	541.419835619524
CG1007	638.700479286206	656.99220866695	765.465787045092	830.811510631369	733.206875281363	705.262600489134	686.135182982481	724.288614107642	642.452916574649	813.535661706332	691.13264482896	730.062779517365	745.264400551433	658.079375985909	680.209066982986	469.218073846246	706.675434437444	670.687618911136	761.742250410324	824.742268041237	664.116206291347	581.275749972475	766.862997795269	697.348748277947
CG10071	2072.79545859365	1974.36832583302	1885.8225985398	1902.02354760222	2078.15909685217	1965.55666910514	2474.25540835465	2512.57063329064	2454.41171405818	2503.83236914623	2504.19954483916	2385.99906726454	2234.22752014054	1838.75119760769	1867.33143047781	2481.02446850204	1828.05436879156	1836.43640142646	2691.82953816133	2185.56701030928	2165.90164559368	2754.63137338981	2151.93982533491	2162.16011354657
CG10079	734.468287440555	751.161756948396	740.222492418968	692.784189341008	745.369464111405	702.320737583868	752.254285525862	680.064750288315	692.56293826886	761.383650022852	734.300904353012	729.817709769289	608.658688475566	600.013548693035	695.036512584795	480.406077052117	605.906359691337	640.122101725048	552.911739549649	371.134020618557	621.981945469238	411.057929108261	644.14639488721	618.030742359686
CG10080	219.297101551886	225.647794716769	245.008447841785	215.160236129093	212.187867291692	212.990874341268	318.123433942574	296.13609550127	331.672847174717	314.34089233878	313.190127771441	301.680859881126	235.243647442968	358.072601639392	242.799421729622	165.785865687004	296.708942307982	263.063877421252	298.572339356811	381.443298969072	288.419047294203	243.013101701888	378.337602173149	306.172917042841
CG10084	280.595951518386	277.321339218664	281.635973377729	283.114863618593	249.004352398849	264.375413086583	246.537118785787	256.334618063876	232.268927918121	268.261375166391	247.997246041239	259.283793464039	291.608181938455	193.552757642915	288.208473885161	215.962364913337	278.622185302271	278.847710066528	244.557115570037	206.185567010309	233.744827894084	151.023045319952	238.95006453041	229.020590467059
CG10106	788.873345769485	697.493094898165	714.979197792845	635.419893408313	727.454299483369	649.367205289077	656.748915185422	680.228542376535	779.235321068946	597.247695443682	699.281755045235	599.685673541118	789.494903315252	600.013548693035	695.036512584795	785.19440681207	763.95016495553	679.456414825178	763.443517301246	845.360824742268	657.595427830783	814.148215537772	778.440035805463	658.366520113341
CG10107	350.092823972806	341.36461252024	325.68799733312	315.591880392795	338.580175539029	305.16924537294	359.810930119797	337.084117556202	391.086683971763	386.139209793433	392.699013935639	399.463689363311	314.701984266466	251.618584935789	290.061904585388	329.198518572763	310.058691526484	321.94007855839	337.701477848016	391.752577319588	332.559701488794	373.030543596043	364.908238081324	378.452465098047
CG10109	146.819130010948	124.096311506481	164.32889835045	117.199669228644	141.349005322119	118.851261372752	152.740252387036	155.766275896962	175.140238690193	155.027212812535	165.845405212303	130.132036228171	148.739743807534	193.552757642915	148.737813693146	123.068035264586	172.254828625824	152.075974852095	161.195037914859	206.185567010309	177.565813464605	140.88240918336	202.366624418196	177.585706083204
CG10130	540.137890738247	636.442497919092	654.345794034019	703.904037475653	573.285268097151	683.885063377533	509.646725805961	594.565280237616	443.645078061457	663.152121166983	503.703109854631	621.496881119851	617.661357179707	522.592445635869	589.390962671906	597.371565113501	560.689467177058	614.817862087384	615.433297791033	474.226804123711	524.671866903889	591.05422053276	566.811780979112	614.24080351035
CG10149	413.068542175472	475.835535278067	466.753467302633	445.8529585415	437.688838573026	459.911234189938	506.913119499258	530.522573743702	514.974327183185	492.586466517248	505.685325853184	525.429539874196	485.36126926669	329.039687992955	412.388330800311	433.958912227742	436.2353534949	433.429055179778	553.33705627238	618.556701030928	517.147891757084	535.280721781507	518.188221336296	541.149125701714
CG10161	1188.71326074854	1234.17971540047	1085.4616689233	1159.81781099612	1139.99616385374	1189.10098630857	1152.89845985204	1139.99293400931	1230.06229149049	1163.41850721296	1184.04368980258	1189.56855715921	1126.11642877441	1122.6059943289	1066.64936798013	1154.73754300601	1221.28673495709	1241.91203845443	1126.66399851309	1195.87628865979	1185.77848313651	1221.94665445927	1237.35382252956	1293.99340713066
CG10198	602.368334169283	513.144233431945	624.647800356227	481.330569256797	533.674674745255	512.47251809736	630.096253695067	580.47916065072	662.692795043972	634.397073629175	637.392566645956	579.83502394699	539.377281491531	425.816066814412	594.024539422471	388.867869004078	627.438213269565	557.194346080824	571.200358627061	432.989690721649	622.483543812358	372.30621244343	634.884764479054	547.375453811339
CG10203	411.577992632214	394.235227551137	380.134319075739	390.959739972059	371.123318624819	438.337572884653	357.419024601432	341.178919761696	408.878190045603	444.363715988003	347.768784635095	361.722948159661	541.725803762176	348.394963757246	503.206435111391	642.123577936986	676.530839427924	628.847935549851	330.896410284329	288.659793814433	328.045316400711	349.851946712406	458.913786724101	423.931731290087
CG10206	918.364837340055	800.042136882621	823.624357997435	725.790722693051	776.762092037597	870.203047377722	1094.63847544043	1030.90740325497	1270.7052732555	1009.10570551938	1171.26940892301	1055.27033521375	922.18641160671	677.434651750201	964.710679467695	1147.61790460227	1122.24020849724	1067.28773125194	1072.64877472632	969.072164948454	1136.62184551072	1444.67848388798	1409.15706660085	1302.38541458276
CG10210	210.167485599428	186.743002524223	239.563815667523	215.513247180986	200.682715695706	183.376121094922	274.385733035325	266.489727533499	282.052499959602	285.228639241495	281.694918016648	279.624582554318	215.281208142483	232.263309171497	210.827742150721	177.99096009341	226.945736714523	186.149010403801	276.030553052094	206.185567010309	258.824745050102	198.104570239841	243.11779821408	213.319415234092
CG10212	308.730074147387	263.156004625481	322.965681245989	287.880512819155	311.296530325689	266.140530829743	314.706426059196	296.627471765929	343.588259499399	318.448756272753	326.845393539253	258.303514471736	266.165857339798	270.97386070008	297.475627386292	233.252915322411	240.295485933025	217.967212720466	263.69636809291	402.061855670103	310.489374391498	248.807750922798	278.775075285478	231.456979727346
CG10217	801.543016887181	857.900545784356	772.147835622595	789.332712033882	779.884918899365	783.908402156582	678.617765639047	651.564926938082	674.444982542289	614.750767858001	678.798856393517	661.198180308107	739.001674496379	774.211030571658	708.010527486377	675.348557154423	685.57421793078	703.006895280033	678.805489477877	721.649484536082	641.042682507811	595.400207448442	651.092617693326	626.964169647408
CG10223	1408.19668099333	1312.7873468049	1330.71760004573	1206.41526984606	1343.30862848567	1254.80259119285	1297.95044450147	1206.82010600296	1334.52618036441	1327.73306457187	1392.83710831687	1211.86990423409	1299.90707680216	1093.57308068247	1364.58835304148	820.114538030396	1245.83304803627	1129.67145075469	1223.21089457292	989.690721649485	1192.8008599402	621.476128942534	1236.42765948875	1008.66515375917
