gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG00000	1761	1631	1407	1669	1805	1747	1696	1603	1622	1632	1090	1036	773	22	700	463	869	1330	577	20	432	285	611	929
CG10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10005	938	1014	696	1058	1076	967	524	630	574	486	371	407	474	20	437	600	413	804	315	18	248	348	218	485
CG10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10007	565	571	415	624	668	520	210	168	168	204	172	140	305	10	244	295	181	305	70	2	60	116	54	100
CG10009	815	702	555	782	829	755	906	820	911	762	757	660	356	20	286	602	326	590	387	20	290	570	384	680
CG10011	860	724	627	794	812	773	946	947	1048	968	797	692	325	18	298	261	377	602	387	10	323	293	367	622
CG10013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10016	1130	1049	895	1108	1071	1071	1202	1235	1444	1278	979	893	710	34	476	586	738	1040	581	14	382	519	628	889
CG10018	158	145	110	135	147	154	133	110	107	114	76	69	71	2	69	59	51	86	36	3	56	19	38	49
CG10019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10021	6975	7081	4923	7058	7219	5618	5944	5899	6213	6114	4735	4414	3659	146	2978	2547	2519	4696	2239	88	1946	2034	2131	3706
CG10023	69	90	68	91	96	76	89	105	104	131	74	87	59	2	42	39	59	57	23	2	41	31	70	86
CG10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10033	478	447	341	554	553	355	484	561	484	573	382	342	236	4	164	222	181	318	227	12	192	224	155	307
CG10034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10037	1879	2174	1911	2670	2489	2231	2532	2390	2285	2782	1803	1750	762	35	964	550	937	1554	631	26	794	439	866	1480
CG10038	591	575	449	545	728	497	553	568	473	403	364	312	291	16	189	414	238	377	232	16	175	318	211	296
CG10039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10042	748	831	662	814	924	719	947	862	996	876	742	692	360	8	364	359	344	652	343	6	336	323	352	526
CG10043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10045	11274	10620	7890	11150	12412	10773	13720	14730	14610	11975	10661	10165	5448	248	4528	7378	5032	8534	5929	254	4840	7762	5026	8495
CG10047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10053	152	124	104	136	148	126	182	184	202	152	145	116	86	4	58	98	70	102	70	4	70	72	40	106
CG10055	189	123	131	187	168	175	249	225	227	200	167	126	103	6	86	82	89	144	72	4	78	98	76	140
CG10059	192	183	185	278	243	164	128	102	172	129	100	78	108	6	76	104	88	168	90	2	62	60	56	90
CG10060	2995	2885	2272	3329	3484	2972	3319	3409	3665	3423	2888	2400	1601	74	1428	1800	1447	2405	1456	48	1146	1672	1259	2000
CG10061	337	315	302	428	396	321	371	362	500	439	378	250	160	4	127	115	163	244	169	2	108	131	127	234
CG10062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10067	148	216	166	262	138	246	354	468	514	492	246	160	326	12	252	246	150	268	394	12	140	214	86	194
CG10068	372	410	306	493	451	306	305	365	314	300	266	246	224	4	186	241	214	318	160	6	152	180	169	258
CG10069	295	289	213	368	342	311	104	125	149	137	84	72	140	8	115	195	167	246	59	3	34	61	47	70
CG1007	3428	3293	3093	4707	4461	3596	4016	4422	3936	4555	3138	2979	1904	68	1468	1384	1641	2677	1791	80	1324	1605	1656	2576
CG10071	11125	9896	7620	10776	12644	10022	14482	15340	15037	14019	11370	9736	5708	190	4030	7318	4245	7330	6329	212	4318	7606	4647	7987
CG10072	833	855	602	1037	910	798	779	897	793	862	612	647	324	10	288	303	264	572	266	14	253	279	236	494
CG10073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10075	81	82	59	89	91	87	81	103	100	62	64	55	32	2	23	69	39	53	52	2	39	46	42	51
CG10076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10077	1052	986	856	1128	1192	807	1193	1214	1086	1133	879	719	456	16	387	179	334	617	424	17	406	174	254	431
CG10078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10079	3942	3765	2991	3925	4535	3581	4403	4152	4243	4263	3334	2978	1555	62	1500	1417	1407	2555	1300	36	1240	1135	1391	2283
CG10080	1177	1131	990	1219	1291	1086	1862	1808	2032	1760	1422	1231	601	37	524	489	689	1050	702	37	575	671	817	1131
CG10081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10082	684	649	594	835	871	614	877	818	831	869	684	571	353	19	273	326	320	516	289	15	316	295	274	466
CG10083	1406	1386	1138	1438	1588	1232	1712	1726	1844	1532	1418	1182	752	18	578	680	570	1119	728	36	580	718	628	1028
CG10084	1506	1390	1138	1604	1515	1348	1443	1565	1423	1502	1126	1058	745	20	622	637	647	1113	575	20	466	417	516	846
CG10086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1009	989	972	844	1087	1260	928	1174	1139	1323	1237	997	787	464	24	423	452	422	732	456	12	436	367	470	730
CG10090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10091	213	192	208	224	238	226	3556	4031	4179	3126	2877	2426	138	4	154	206	140	188	1686	50	1178	2328	1412	2341
CG10092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
