gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG10005	103.265073942647	144.977521558481	125.76165108053	131.178790880251	121.734030115734	130.103609783791	98.7968771263239	73.0190835374825	78.5215655680402	89.7998512075458	96.8716739676876	117.35152281937	118.695090730118	105.31762667803	110.145406429303	138.499359440463	130.769090770601	109.633585938769	67.3244990041055	70.6568582252601	64.1919212579099	94.4574135972637	100.028322626182	45.2987207964809
CG10007	156.221522118364	184.684740838829	150.120889803336	168.124716159816	189.715371608937	170.590397443783	134.491232733254	138.371163303529	141.085522649672	112.413682351052	148.452695171262	134.609099704572	162.353055136598	154.215096207115	205.0733553914	187.161296541166	163.124329724151	162.381820682893	94.6353806755823	118.262542845116	136.565165813397	97.6324527097768	116.887028686774	93.8330645069962
CG10009	267.871367022166	245.630705315642	250.956808237275	249.073653570097	251.76810773936	272.489728183535	254.640983303009	228.54973147232	259.121166374533	237.936832031672	230.856521728191	237.723121593651	246.258205480302	214.933931995979	300.001304353497	198.390974333636	265.582586410395	306.146617338448	213.405959107353	209.465012327367	231.594382577557	201.61498364458	205.676213939228	216.786735240302
CG10011	202.558414272116	184.684740838829	190.341958392154	188.050608445423	158.491383364966	192.425968316587	189.944963765449	141.657022062716	177.813351705691	142.237720525821	143.10588199772	126.411750684101	134.384671688697	207.411244376119	142.02960302726	155.343876129167	156.383654942162	138.593401092406	120.040851997886	169.376014752751	125.23717970906	107.951329825444	149.480527070586	97.8775931495392
CG10016	89.1433544291229	90.0338111589291	103.101894129084	102.12019796374	60.8670150578671	79.1539444139151	119.831050966122	121.576774089908	150.710746816077	126.506359730338	117.629889817906	106.565537266119	130.291737525589	113.914983957869	87.6815406443796	72.9929056510546	47.1847234739281	24.8226987031174	113.054347384253	107.238068512097	122.090516902299	130.970363391164	173.082715555416	199.799714941621
CG10021	1079.42893531502	1128.88547837734	858.238294536053	810.319619614716	588.117651987703	724.213100614671	979.682581568773	998.901062792761	1107.40736988217	981.571366301459	1046.40278990421	954.991160884839	1247.66276405394	1032.22020841069	818.844139902058	600.787761897142	504.202473692832	111.702144164028	1167.38140725987	1155.06424261861	1247.33713659978	1381.93577372131	1523.46507100887	1741.57403347899
CG10023	184.023657410615	170.37167342382	193.740921934871	160.652506552713	162.839027297671	172.864936076366	179.109177241916	159.546697529399	197.063800038501	160.590974787217	139.96069777799	155.102472255749	128.245270444036	139.169720967396	138.406398868401	93.5806482705828	155.709587463963	140.661959317665	168.311247510264	124.777004950991	106.357202868498	150.814357844371	127.564209191816	97.0686874210306
CG10033	143.423713809232	141.745538593801	128.594120699461	137.405632219504	130.429317981144	123.27999388604	78.0814028901592	89.4483773334161	99.545081510451	78.6568039774124	93.0974529040115	99.0153473788437	211.468265093889	186.455186006511	182.609489606477	180.610651162225	154.361452507565	84.8108872356512	99.0813381569855	112.249193208924	131.53050532258	123.82652538801	169.149017474611	143.985219674529
CG10037	312.884347971525	429.392022450277	410.14160082119	442.935980598823	357.297283196831	353.008395777001	493.02828682072	507.117535167816	492.152909350652	515.85753941853	543.487833169364	530.670489219947	462.50156043115	509.393418830469	475.364385642256	449.187111698798	585.090571076708	437.500064642445	575.433925450185	588.306039407485	538.708672517362	555.631844689787	570.948178585397	443.280339222706
CG10038	147.836751157209	131.126165995568	146.721926260619	109.592407570843	154.143739432261	133.287963869409	160.624600231185	156.6259341879	175.28039797769	155.347187855389	161.662468894128	148.846600634863	135.066827382548	135.945711987456	107.246843102216	129.141294613404	128.746888336004	118.942097952438	107.973253119792	120.266992723847	108.874533113906	116.682687384855	115.201158080715	88.1707244074361
CG10042	63.1064340760622	68.3333541103667	77.0431736349196	60.1927996127735	73.1194661409443	63.6870817123455	59.5968258794277	56.9548851592364	50.1524838144257	39.9838753551846	59.1294633309262	47.8897758564342	62.076168140464	82.7495638184518	62.319111532369	58.0200019277614	68.7548827762952	51.7139556314946	44.459574814032	56.1245966044619	45.3119444173482	39.6879889064133	56.1956868686415	35.5918520543779
CG10059	18.5347568615008	22.1621689006595	27.1917083417363	25.73761086891	32.4097093165267	22.7453863258377	43.9805453013958	31.3982059211175	30.9020354816158	27.5298813920943	33.9679895730853	34.083714348273	24.5576049786451	27.9414111594772	37.6813232521301	46.7903241352914	37.7477787791425	31.0283733788968	30.4865655867648	38.0845476958849	26.4319675767864	23.812793343848	22.4782747474566	22.6493603982405
CG10060	347.306039285741	533.738901024215	408.442119049831	430.067175164368	248.606184879211	433.527063370466	918.810957274812	878.784670373602	907.304025370065	858.342373403513	861.465957784079	820.813500602397	600.297010589103	321.326228333988	556.52415880069	538.088727555851	588.460908467703	287.52959331111	790.745294906711	1052.83729880334	749.535080570301	808.841213912704	719.304791918611	974.731402852849
CG10061	28.2434390270488	30.9346940905038	30.5906718844534	20.7561377975081	37.9430743217873	25.4748326849382	53.2228338067616	43.8114501224895	40.5272596480207	41.2948220881415	40.2583580125455	43.1439422130038	39.5650302433727	31.1654201394169	27.5363516073258	33.6890333774098	49.880993386724	41.3711645051957	26.6757448884192	45.1001222714426	37.7599536811235	39.6879889064133	37.6511102019898	53.3877780815668
CG10067	18.5347568615008	36.9369481677658	28.3246961893087	40.6820300831159	9.48576858044683	40.9416953865078	77.1253040792593	8.03209918912308	31.9152169728163	19.6642009943531	40.8873948564915	16.3946980409414	16.3717366524301	17.1947145596783	42.0291682427605	22.4593555849399	67.4067478198973	49.6453974062348	33.0271127189952	23.051173605404	32.725293190307	26.9878324563611	56.1956868686415	59.8590239096355
CG10068	13.6804157787268	24.0090163090478	16.9948177135852	19.0956467737075	17.3905757308192	24.1101095053879	25.4959682906642	21.1755342258699	32.6751030912167	15.075887429004	14.4678474107585	4.09867451023536	25.9219163663476	29.0160808194571	39.1306049156736	40.2396787563506	45.1625210393312	32.0626524915267	29.8514288037072	31.5700855900098	29.5786303835467	22.2252737875915	16.8587060605924	21.0315489412233
CG10069	191.967124636972	191.148706768188	207.903270029526	220.430183409536	188.529650536381	234.277479156128	215.440932056113	199.707193475015	218.087315980912	241.869672230543	208.211195346134	217.876908175669	173.267546238218	191.291199476421	195.653024578368	185.289683575754	197.501771112299	153.073308669224	204.514044144547	219.487261721021	197.610424264546	201.61498364458	222.53491999982	172.296920172329
CG1007	740.507666990437	796.452944867449	900.15884489623	1000.03071908394	932.372003386419	862.505049475764	536.690132518482	581.231904958361	610.188553075512	581.404876066373	676.214607241975	567.558559812065	794.029227642859	692.087261027051	731.88724008945	816.023252919482	842.584347748716	959.81101652054	641.488150888175	702.559682495139	565.140640094148	606.432470489996	610.285159393446	650.360205720905
CG10071	4191.50287310796	4053.83006141229	3868.58700553578	3995.97164877626	4433.01584992882	4050.49839690517	4732.05171474728	4977.3458293325	4807.54617574646	4804.61977628694	4559.57356334275	4640.13098500856	4095.66278588292	3807.55460530876	4540.59945188167	4768.8698358689	4063.27875858341	4642.87893659559	4251.60562578757	4109.1222513981	4408.47459227117	4306.94055612398	3808.38169908783	3940.98870929384
CG10072	165.930204283912	261.328908286943	198.272873325161	212.127728290533	113.829222965362	173.7747515294	260.696275772042	282.583853290057	275.838660979341	308.727955611344	380.881809009317	296.398883003336	293.326948356039	179.469833216642	285.508487718063	239.566459572692	289.849015625558	126.182051740847	360.757692776716	437.972298502676	299.56229920358	298.453676576228	279.854520605834	451.369396507792
CG10075	43.2477660101685	57.252269660037	56.0828984548312	49.8147307140194	24.9001425236729	43.6711417456083	77.7627032865259	84.7021369034797	71.9358858752368	70.1356502131927	81.7747897129831	72.9132623399764	75.7192820174891	34.9267639493465	70.290160681858	52.4051630315264	86.9547046876675	45.5082809557153	59.7028576074143	124.777004950991	102.581207500385	93.6636538191355	83.1696165655894	83.3172900363846
