gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG10005	312.126098943973	436.99237907558	373.416763384972	394.995556299992	365.959580477245	398.178957773539	315.070428404311	239.920634254189	252.545413367962	297.418429739238	326.642811843135	388.69053445663	366.685562915024	320.001567354616	341.937254513797	417.439964799657	392.055421277696	340.416785759017	239.224191433517	244.092020960753	232.097225983057	328.104795017219	346.816980003468	166.150906560884
CG10007	472.190765069088	556.678189905198	445.745235572152	506.244304751572	570.326618925576	522.087794283487	428.902325118126	454.649601911688	453.767081438564	372.315771534885	500.569503863506	445.85090717084	501.558413642389	468.573723626401	636.633177811872	564.108060540077	489.058824480426	504.202220416657	336.267967203717	408.551184019417	493.775470963954	339.133527622839	405.269280004053	344.169735018974
CG10011	612.247347928563	556.678189905198	565.171317555634	566.243629759165	476.460362894075	588.915031951773	605.748307512804	465.446030453126	571.893161884869	471.093425207406	482.54051749554	418.69973013159	415.155493645171	630.207168361641	440.919091346738	468.209690248264	468.849782146524	430.338200865172	426.54124698995	585.128390671876	452.817136966944	374.976908591107	518.277060005183	359.004637390481
CG10016	269.442187977276	271.380617578784	306.134463675968	307.496540663918	182.979790238622	242.248736547538	382.149938967809	399.467856033224	484.724261141733	418.990926566955	396.637700095235	352.965301510249	402.51116388948	346.124144281523	272.200051290588	220.00214361063	141.463296337313	77.075498662419	401.716095048736	370.4659041532	441.439821967775	454.935219981858	600.110280006001	732.84417715247
CG10023	556.224714784773	513.535630187545	575.263662511985	483.744557873724	489.530347911119	529.048964873933	571.192196010395	524.226585845402	633.807521291208	531.879673621265	471.935231396737	513.728849768965	396.188999011635	422.859214004314	429.671155342995	282.054030270039	466.828877913133	436.761159087041	598.060478583793	431.056122122181	384.553246971928	523.864798766988	442.289070004423	356.03765691618
CG10033	433.508470755519	427.250510752239	381.827050848598	413.745345364865	392.099550511333	377.2954460022	249.007274061471	293.902776961381	320.162411140674	260.512493202252	313.916468524571	327.957638447782	653.290370710675	566.533387102304	566.895974588663	544.364278421174	462.787069446353	263.341287096598	352.065791166308	387.77739500148	475.571766965283	430.120571619211	586.471410005865	528.122524425667
CG10038	446.847192932611	395.24151483269	435.652890615801	329.996287541765	463.39037787703	407.924596600164	512.243535212169	514.629760475235	563.746535647192	514.512174074448	545.111705478479	493.008214660064	417.262881937786	413.063247656723	332.938905710802	389.234561772653	385.992708577526	369.320097757424	383.66143909149	415.475780358729	393.655098971263	405.305923256564	399.424050003994	323.400871698863
CG10042	190.743727132428	205.970930264923	228.759819010614	181.247960960439	219.813384377566	194.912776532502	190.058613263245	187.138094718267	161.303199505989	132.427184044478	199.379378657498	158.620034281934	191.772334627972	251.429802921484	193.464499264385	174.873498767424	206.132231805799	160.573955546706	157.978239625908	193.88869750074	163.83333598804	137.85915757026	194.841000001948	130.547140869266
CG10059	56.0226331437901	66.8013827886237	80.7387596508049	77.4991281348085	97.4307973997859	69.6117059044649	140.257158450951	103.165872729301	99.3888400996495	91.1793726207882	114.537089867073	112.891736110565	75.8659785341429	84.8983750124491	116.97853443893	141.027015135019	113.170637069851	96.3443733280237	108.327935743479	131.567330446931	95.5694459930234	82.715494542156	77.9364000007794	83.075453280442
CG10061	85.3678219333944	93.2435968091206	90.8311046071555	62.4992968829101	114.065323785115	77.9651106130007	169.731488850064	143.952380552513	130.346019802819	136.769058931182	135.74766206468	142.900931785526	122.228520971675	94.6943413600393	85.4843136284492	101.539450897214	149.546913270874	128.459164437365	94.7869437755445	155.803417634523	136.527779990033	137.85915757026	130.543470001305	195.820711303899
