gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG00000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10005	234	314	222	316	308	286	310	200	310	274	308	544	174	196	152	148	194	106	106	141	102	119	178	56
CG10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10007	354	400	265	405	480	375	422	379	557	343	472	624	238	287	283	200	242	157	149	236	217	123	208	116
CG10009	607	532	443	600	637	599	799	626	1023	726	734	1102	361	400	414	212	394	296	336	418	368	254	366	268
CG10011	459	400	336	453	401	423	596	388	702	434	455	586	197	386	196	166	232	134	189	338	199	136	266	121
CG10013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10016	202	195	182	246	154	174	376	333	595	386	374	494	191	212	121	78	70	24	178	214	194	165	308	247
CG10018	14	15	9	8	7	26	29	27	31	10	26	15	10	10	3	7	9	4	7	20	12	8	4	3
CG10019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10021	2446	2445	1515	1952	1488	1592	3074	2736	4372	2995	3327	4427	1829	1921	1130	642	748	108	1838	2305	1982	1741	2711	2153
CG10023	417	369	342	387	412	380	562	437	778	490	445	719	188	259	191	100	231	136	265	249	169	190	227	120
CG10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10033	325	307	227	331	330	271	245	245	393	240	296	459	310	347	252	193	229	82	156	224	209	156	301	178
CG10034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10037	709	930	724	1067	904	776	1547	1389	1943	1574	1728	2460	678	948	656	480	868	423	906	1174	856	700	1016	548
CG10038	335	284	259	264	390	293	504	429	692	474	514	690	198	253	148	138	191	115	170	240	173	147	205	109
CG10039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1004	40	38	14	46	56	36	39	24	29	35	51	49	16	36	25	13	17	18	8	21	23	15	17	15
CG10041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10042	143	148	136	145	185	140	187	156	198	122	188	222	91	154	86	62	102	50	70	112	72	50	100	44
CG10043	14	10	2	14	4	6	7	4	14	12	18	50	14	20	8	2	12	8	6	18	22	13	18	10
CG10045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10059	42	48	48	62	82	50	138	86	122	84	108	158	36	52	52	50	56	30	48	76	42	30	40	28
CG10060	787	1156	721	1036	629	953	2883	2407	3582	2619	2739	3805	880	598	768	575	873	278	1245	2101	1191	1019	1280	1205
CG10061	64	67	54	50	96	56	167	120	160	126	128	200	58	58	38	36	74	40	42	90	60	50	67	66
CG10062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10063	27	30	25	37	35	22	42	31	73	36	52	71	21	19	29	27	40	6	30	30	23	21	26	28
CG10064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10067	42	80	50	98	24	90	242	22	126	60	130	76	24	32	58	24	100	48	52	46	52	34	100	74
CG10068	31	52	30	46	44	53	80	58	129	46	46	19	38	54	54	43	67	31	47	63	47	28	30	26
CG10069	435	414	367	531	477	515	676	547	861	738	662	1010	254	356	270	198	293	148	322	438	314	254	396	213
CG1007	1678	1725	1589	2409	2359	1896	1684	1592	2409	1774	2150	2631	1164	1288	1010	872	1250	928	1010	1402	898	764	1086	804
