3	chr2R-reg19705	a
8	chr2R-reg12674	Poxn
18	chr3R-reg9845	CG8483
24	chr3R-reg24014	CG6142
26	chr2R-reg11956	chn
65	chr2L-reg4854	Traf4
93	chr2R-reg19704	a
95	chr2R-reg11961	chn
111	chr2R-reg11948	chn
161	chr2L-reg5275	Clect27
212	chr3R-reg1186	Hph
217	chr3R-reg4491	CG11694 CG11693
223	chrX-reg244	CG32816 ac
346	chr3L-reg22702	siz
374	chr3R-reg24792	CG6330
389	chr3R-reg14970	CG42457 cpo
403	chr3L-reg19418	gk
442	chr3L-reg6042	CG10625
469	chr2R-reg11219	phyl Oaz
531	chr3R-reg8643	CG4702
581	chr2L-reg20837	CG10570 CG17325 CG42502 CG42305
616	chr3L-reg6378	CG13287
642	chr3R-reg5723	CG9363
665	chr3L-reg6041	CG10625
709	chr2L-reg2823	CG3227 CG9883
743	chr2R-reg11957	chn
760	chr2L-reg6465	CG8965
903	chr2R-reg10672	CG33155 AGO1 mRpL53
1248	chrX-reg6322	CG16721
1261	chr3R-reg14953	cpo
1345	chr2R-reg21189	CG9815
1358	chr2R-reg11770	CG12853 CG10253
1496	chr2R-reg19711	a
1505	chr2L-reg20009	rdo
1511	chrX-reg603	sdk
1532	chr3L-reg9023	ImpE1
1585	chrX-reg14150	Pde9
1610	chr3L-reg14896	CG13737 CG34400
1626	chr2R-reg17613	Ate1 CG9864
1745	chr3L-reg9472	Fhos
1865	chr3R-reg8642	CG4702
1904	chr2R-reg5077	CG8170
1946	chr3R-reg19657	CG5388
2095	chr2R-reg12083	Fs
2103	chr2R-reg9876	CG17724
2168	chr2L-reg15674	CG16884 Ance-3
2171	chr3R-reg5725	CG9363
2361	chr2L-reg8248	CG6055
2390	chr2L-reg12919	salr
2402	chr2L-reg5273	Clect27
2456	chr2R-reg15950	edl
2471	chr3L-reg6375	CG13287
2518	chr2R-reg6397	Pfk 14-3-3zeta
2579	chr2L-reg20004	rdo
2741	chr2R-reg2819	Spn43Aa
2830	chr3R-reg14971	CG42457 cpo
2852	chr2R-reg20800	CG13538 CG9877
2877	chr3R-reg4450	ato
2884	chr3L-reg16926	CG32150
3008	chr2R-reg15958	CG15086 edl
3241	chr3R-reg14982	CG42457 cpo
3260	chr2R-reg5078	CG8170
3279	chr2R-reg21191	CG9815
3285	chr2R-reg23162	Nplp1
3312	chr3L-reg22692	siz
3338	chr3R-reg9284	Men
3370	chr2R-reg19694	a gom
3491	chr3R-reg15757	CG34282 CG14300
3507	chr3R-reg12515	pxb
3609	chr2R-reg5080	CG8170
3680	chr2L-reg16420	CG15282
3752	chr2L-reg149	CG4822 CG11455
3773	chr2R-reg11216	phyl
3787	chr3L-reg10160	CG3967 aay
3821	chr2L-reg20038	rdo
3947	chr2L-reg6475	CG8965
3956	chr2R-reg10691	CG6704 CG18568
3960	chr3L-reg9026	ImpE1
3961	chrX-reg631	sdk
3992	chr2R-reg21193	CG9815
4010	chr3L-reg10098	Hsp67Bc Hsp67Bb Hsp22
4053	chr3R-reg11860	CG42788
4186	chr3R-reg14612	CG14324 CG14326
4241	chr3L-reg4544	Ack
4450	chr3R-reg13313	ss
4530	chr3R-reg2355	Osi14
4568	chrX-reg14066	Pde9
4635	chr3R-reg20018	loco
4654	chr3R-reg24013	CG6142
4748	chr3R-reg5254	neur
4754	chr2R-reg19706	a
4793	chrX-reg14091	Pde9
4928	chr3L-reg4380	scrt
4997	chr2R-reg22827	CG30421 CG33988
