2	chr3L-reg9472	Fhos
16	chrX-reg15979	CG9411
18	chr2L-reg15181	CG42784
122	chr2L-reg15179	CG42784
186	chr3R-reg15016	CG42457 cpo
197	chr2L-reg5273	Clect27
221	chr3L-reg5987	CG10630
256	chr3R-reg2355	Osi14
258	chr2R-reg5078	CG8170
272	chr3R-reg13312	ss
405	chr3L-reg22836	CG42337
419	chrX-reg11188	CG15309 l(1)G0230
437	chr2L-reg16606	CG15278 CG4480
442	chr2R-reg11945	chn
478	chr3L-reg4934	CG11347
517	chr2L-reg8241	CG6055 Gr28b
522	chr3R-reg6114	CG8412 Rpt3R
558	chr2L-reg5277	Clect27
567	chr2L-reg8245	CG6055
670	chr2R-reg22809	CG33988
698	chr2L-reg4087	CG34340 for
700	chr3R-reg15004	CG42457 cpo
706	chr2R-reg5087	CG8170
713	chr3R-reg14977	CG42457 cpo
741	chr2L-reg15184	CG42784
788	chr2L-reg15167	CG42784
791	chr3R-reg28152	CG9747
833	chr2L-reg4844	Traf4
876	chr3R-reg14951	cpo
889	chr3L-reg4931	CG11347
940	chrX-reg19745	unc-4
