id,chrom,branch,bias,tissue_number,testis_value,ovary_value,adj_pvalue
CG7045,chr3R,6,male,3,12.59,1.5,4.75E-28
CG32733,chrX,6,NA,NA,NA,NA,NA
CG10102,chr2R,6,unbiased,0,1.55,2.11,0.015824441
CG6900,chrX,6,unbiased,5,2.05,2.25,0.389476352
CG31668,chr2L,6,unbiased,0,1.64,1.94,0.018066095
CG6835,chrX,6,NA,NA,NA,NA,NA
CG12324,chr2R,6,NA,NA,NA,NA,NA
CG31958,chr2L,6,NA,NA,NA,NA,NA
CG31953,chr2L,6,NA,NA,NA,NA,NA
CG30031,chr2R,6,NA,NA,NA,NA,NA
CG31332,chr3R,6,NA,NA,NA,NA,NA
CG31054,chr3R,6,NA,NA,NA,NA,NA
CG32671,chrX,6,NA,NA,NA,NA,NA
CG33105,chr3R,6,unbiased,0,3.03,3.57,0.15404418
CG32165,chr3L,6,NA,NA,NA,NA,NA
CG31292,chr3R,6,NA,NA,NA,NA,NA
CG33470,chr2R,6,NA,NA,NA,NA,NA
CG32783,chrX,6,NA,NA,NA,NA,NA
CG32788,chrX,6,unbiased,0,1.41,1.72,0.177348163
CG18789,chr2L,6,NA,NA,NA,NA,NA
CG11659,chr3R,6,NA,NA,NA,NA,NA
CG11386,chrX,6,NA,NA,NA,NA,NA
CG30382,chr2R,6,NA,NA,NA,NA,NA
CG18853,chr2R,6,NA,NA,NA,NA,NA
CG13402,chrX,6,male,1,7.95,1.58,1.03E-23
CG32823,chrX,6,male,2,10.86,1.98,8.96E-20
CG32821,chrX,6,NA,NA,NA,NA,NA
CG33498,chrX,6,NA,NA,NA,NA,NA
CG33497,chrX,6,NA,NA,NA,NA,NA
CG33666,chrX,6,NA,NA,NA,NA,NA
CG33496,chrX,6,NA,NA,NA,NA,NA
CG33491,chrX,6,NA,NA,NA,NA,NA
CG33487,chrX,6,NA,NA,NA,NA,NA
CG32318,chr3L,6,NA,NA,NA,NA,NA
CG12592,chr3R,6,NA,NA,NA,NA,NA
CG32797,chrX,6,male,1,2.39,1.96,0.00219815
CG33247,chrX,6,NA,NA,NA,NA,NA
CG32580,chrX,6,male,3,2.97,1.52,8.92E-08
CG33236,chrX,6,NA,NA,NA,NA,NA
CG9580,chrX,6,male,3,10.25,1.53,1.35E-19
CG31904,chr2L,6,NA,NA,NA,NA,NA
CG33237,chrX,6,NA,NA,NA,NA,NA
CG31131,chr3R,6,NA,NA,NA,NA,NA
CG33238,chrX,6,NA,NA,NA,NA,NA
CG33239,chrX,6,NA,NA,NA,NA,NA
CG9123,chrX,6,NA,NA,NA,NA,NA
CG4575,chrX,6,NA,NA,NA,NA,NA
CG33222,chrX,6,NA,NA,NA,NA,NA
CG18166,chrX,6,NA,NA,NA,NA,NA
CG32584,chrX,6,NA,NA,NA,NA,NA
CG32588,chrX,6,male,3,9.63,1.5,9.98E-20
CG11023,chr2L,6,male,3,9.75,1.82,2.87E-18
CG18217,chr3L,6,NA,NA,NA,NA,NA
CG4478,chr2L,6,male,3,10.32,1.05,4.43E-21
CG31864,chr2L,6,NA,NA,NA,NA,NA
