seqnames	start	end	width	strand	Conc	Conc_Grh_control	Conc_Grh_KO	Fold	p.value	FDR
chr3L	5793386	5796704	3319	*	9.66	10.21	8.77	1.44	2.77e-36	4.99e-31
chr3R	27593611	27594703	1093	*	8.17	8.8	7.02	1.79	6.15e-23	5.53e-18
chr3L	1939964	1940655	692	*	8.62	9.18	7.69	1.49	1.94e-16	1.16e-11
chr2R	16436807	16439810	3004	*	8.41	8.96	7.54	1.42	7.54e-16	3.39e-11
chr3R	20092125	20094330	2206	*	9.17	9.61	8.53	1.08	1.12e-15	3.77e-11
chr2R	13693588	13695295	1708	*	9.49	9.93	8.86	1.06	1.26e-15	3.77e-11
chr3L	13874212	13875295	1084	*	7.8	8.44	6.61	1.83	6.59e-15	1.69e-10
chr3L	39991	40779	789	*	6.71	7.7	-0.38	8.08	9.31e-15	2.09e-10
chr2R	18821135	18825112	3978	*	12.3	12.57	11.96	0.61	1.98e-14	3.96e-10
chrX	9887607	9888523	917	*	8.5	8.99	7.74	1.25	5.82e-14	1.05e-09
chr2R	14548557	14551424	2868	*	9.37	9.77	8.82	0.95	9.41e-14	1.54e-09
chr3R	9349791	9354446	4656	*	9.92	10.25	9.48	0.77	3.2e-13	4.8e-09
chr3L	8149356	8150310	955	*	8.22	8.72	7.44	1.28	5.27e-13	7.29e-09
chr2R	8542147	8542891	745	*	5.95	6.77	3.81	2.97	1.03e-12	1.32e-08
chrU	4022481	4023366	886	*	7.72	6.81	8.27	-1.46	1.3e-12	1.56e-08
chr3L	22094	22858	765	*	6.08	7.07	-0.38	7.44	2.64e-12	2.97e-08
chr2R	18733237	18734215	979	*	8.15	8.65	7.36	1.3	4.39e-12	4.64e-08
chr3L	32723	33283	561	*	5.93	6.92	-0.38	7.29	7.54e-12	7.53e-08
chr3L	1937080	1937936	857	*	7.33	7.92	6.33	1.59	1.17e-11	1.11e-07
chrX	10451047	10452930	1884	*	9.08	8.53	9.48	-0.95	1.71e-11	1.54e-07
chr3R	12503485	12504174	690	*	7.5	8.06	6.58	1.48	2.38e-11	2.04e-07
chr2R	18630707	18632913	2207	*	7.4	7.96	6.47	1.49	6.14e-11	5.02e-07
chr3L	11709753	11710851	1099	*	8.43	8.85	7.83	1.03	1.38e-10	1.08e-06
chr2R	20048990	20053225	4236	*	9.01	9.38	8.51	0.87	1.66e-10	1.24e-06
