chrom	start	end
chr2L	88699	89345
chr2L	89664	92222
chr2L	369221	370939
chr2L	426344	430196
chr2L	597536	598358
chr2L	610075	616292
chr2L	630099	632210
chr2L	632600	639999
chr2L	717396	721784
chr2L	745062	746194
chr2L	891881	895484
chr2L	972448	975463
chr2L	991538	993288
chr2L	1298173	1300788
chr2L	1313780	1317291
chr2L	1362318	1366255
chr2L	1424773	1425666
chr2L	1425988	1427847
chr2L	1433663	1434350
chr2L	1434560	1437713
chr2L	1439330	1440696
chr2L	1444491	1448486
chr2L	1448881	1450435
chr2L	1455013	1457764
chr2L	1458178	1459709
chr2L	1460384	1462590
chr2L	1462999	1466081
chr2L	1470290	1470894
chr2L	1473187	1474468
chr2L	1476527	1477239
chr2L	1477977	1479034
chr2L	1485465	1486362
chr2L	1537704	1538863
chr2L	1543213	1544786
chr2L	1642735	1645043
chr2L	1647505	1650444
chr2L	1972570	1973553
chr2L	2030809	2032377
chr2L	2119772	2122905
chr2L	2199889	2201610
chr2L	2459961	2463789
chr2L	2465913	2468839
chr2L	2469669	2470604
chr2L	2477426	2478839
chr2L	2480172	2487628
chr2L	2508119	2513527
chr2L	2541651	2549818
chr2L	2605603	2608056
chr2L	2801981	2803040
chr2L	3230997	3232075
chr2L	3436101	3441398
chr2L	3536437	3537727
chr2L	3549445	3556899
chr2L	3557449	3561090
chr2L	3569588	3574974
chr2L	3584559	3586473
chr2L	3592584	3596330
chr2L	3596569	3597741
chr2L	3598078	3601621
chr2L	3829834	3833716
chr2L	3839521	3845024
chr2L	4018718	4020777
chr2L	4021225	4023401
chr2L	4176473	4181186
chr2L	4231647	4236295
chr2L	4251569	4254016
chr2L	4265629	4268625
chr2L	4270776	4273504
chr2L	4621166	4624068
chr2L	4624438	4627958
chr2L	4630363	4632972
chr2L	4648011	4649188
chr2L	4657616	4661886
chr2L	4725779	4727346
chr2L	4806811	4809021
chr2L	4885763	4887009
chr2L	4887213	4889303
chr2L	5284790	5285625
chr2L	5372485	5373515
chr2L	5375400	5377346
chr2L	5389380	5393600
chr2L	5396601	5401384
chr2L	5421362	5430783
chr2L	5442695	5445912
chr2L	5452618	5454090
chr2L	5457579	5458899
chr2L	5468650	5472736
chr2L	5474934	5477097
chr2L	5478429	5479392
chr2L	5480427	5483173
chr2L	5484472	5486087
chr2L	5492785	5495645
chr2L	5497947	5499763
chr2L	5500039	5500918
chr2L	5501173	5502002
chr2L	5503793	5509257
chr2L	5572197	5573774
chr2L	5680692	5683365
chr2L	5961169	5962474
chr2L	6076107	6076946
chr2L	6147283	6149472
chr2L	6165044	6169775
chr2L	6176427	6177407
chr2L	6216941	6220415
chr2L	6235072	6238008
chr2L	6238395	6241467
chr2L	6806695	6811929
chr2L	6817280	6818473
chr2L	6844230	6846002
chr2L	7096386	7098174
chr2L	7178300	7179837
