chrom	start	end	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	class
chr4	375139	376139	209	62	172	199	144	244	104	40	46	75	49	52	start
chr4	501309	502309	2803	1250	2357	2054	1695	2688	1175	584	605	1381	627	650	start
chr4	648540	649540	123	53	167	42	40	98	97	34	31	38	21	13	start
chr4	649470	650470	112	52	110	58	37	119	75	28	22	54	21	12	start
chr4	42273	43273	318	86	350	242	156	473	226	90	53	221	64	52	start
chr4	135771	136771	624	268	862	312	257	625	313	160	96	216	85	87	start
chr4	174954	175954	445	145	473	319	302	571	221	151	89	224	130	97	start
chr4	183575	184575	222	77	282	31	27	36	110	33	30	24	5	9	start
chr4	183724	184724	133	39	182	37	31	44	76	20	20	33	10	9	start
chr4	209723	210723	969	412	1137	322	238	520	559	260	208	221	92	106	start
chr4	230925	231925	280	108	424	38	28	103	138	43	46	50	10	16	start
chr4	231349	232349	240	99	329	29	26	79	119	29	36	40	9	12	start
chr4	276022	277022	73	26	71	58	35	114	57	23	21	31	7	10	start
chr4	307592	308592	856	330	863	529	460	989	462	156	130	380	131	146	start
chr4	314422	315422	727	288	748	292	245	522	352	165	156	221	87	81	start
chr4	359437	360437	1018	439	1274	179	161	331	597	301	233	132	65	66	start
chr4	380223	381223	968	406	936	889	629	1277	460	223	198	417	187	186	start
chr4	394895	395895	87	50	112	93	35	123	50	25	20	45	14	16	start
chr4	400202	401202	290	95	256	205	184	276	138	68	62	90	35	42	start
chr4	445003	446003	193	58	197	55	50	169	141	68	60	72	15	22	start
chr4	472394	473394	56	32	101	54	36	109	28	13	25	52	12	11	start
chr4	556524	557524	1653	793	1631	1240	1006	2021	852	398	355	975	404	348	start
chr4	557515	558515	2205	1075	2336	1357	1095	2512	1208	490	395	1188	485	384	start
chr4	557722	558722	1847	817	1940	1072	884	2136	1063	404	336	962	393	322	start
chr4	559163	560163	90	36	148	24	29	55	71	22	30	14	21	5	start
chr4	582607	583607	265	110	241	94	56	258	337	140	106	126	30	30	start
chr4	610183	611183	778	266	858	231	222	537	350	192	144	188	76	65	start
chr4	670641	671641	1116	472	1241	674	529	1537	643	244	240	677	223	215	start
chr4	679769	680769	111	33	154	98	55	176	79	25	17	144	60	54	start
chr4	680092	681092	127	51	150	123	82	192	81	23	24	161	62	60	start
chr4	690185	691185	77	36	99	33	22	67	59	19	15	36	16	9	start
chr4	697188	698188	378	151	414	289	220	384	187	60	76	130	81	75	start
chr4	704150	705150	1570	561	1207	1027	720	1117	543	257	247	473	255	248	start
chr4	724855	725855	44	22	70	37	30	64	49	21	16	40	8	21	start
chr4	725157	726157	49	24	62	42	35	79	58	23	17	43	7	20	start
chr4	836485	837485	124	34	101	118	81	156	68	15	35	52	23	30	start
chr4	853056	854056	108	56	150	41	41	73	84	44	28	55	19	26	start
chr4	878873	879873	532	157	575	40	33	56	178	77	41	17	10	10	start
chr4	936318	937318	196	56	147	384	263	589	79	38	52	167	59	75	start
chr4	958723	959723	273	96	225	178	130	182	143	61	65	99	22	56	start
chr4	959174	960174	910	450	1222	187	132	218	640	216	186	110	28	60	start
chr4	989224	990224	1007	458	894	1077	802	1407	495	283	237	590	277	276	start
chr4	1027362	1028362	234	85	271	56	41	104	170	63	57	43	11	22	start
chr4	1027780	1028780	266	110	298	102	93	224	214	57	57	148	30	48	start
chr4	1028174	1029174	461	208	532	258	227	483	318	94	112	247	70	88	start
chr4	1029210	1030210	313	114	348	79	64	169	194	78	86	66	33	34	start
chr4	1030983	1031983	1378	608	1421	512	484	888	704	321	314	330	140	169	start
chr4	1031363	1032363	1205	560	1281	523	486	925	569	294	269	332	155	175	start
chr4	1060468	1061468	679	264	597	44	28	51	433	256	237	40	11	7	start
chr4	1064405	1065405	62	36	102	163	91	160	30	14	14	55	23	43	start
chr4	1088297	1089297	1298	430	949	715	668	773	492	316	284	224	163	137	start
chr4	1098024	1099024	296	100	190	460	382	548	152	81	69	172	109	86	start
