12	chrX-reg270	sc CG32816
121	chr3L-reg22715	siz CG43072
132	chr2L-reg4855	Traf4
149	chr3R-reg5266	hyx neur
210	chr2R-reg4203	dpn pnut
222	chr2L-reg6468	CG8965
231	chrX-reg244	CG32816 ac
253	chr3R-reg4450	ato
299	chrX-reg4914	peb
310	chr2L-reg4848	Traf4
321	chr3R-reg27462	CG18110 Obp99a
342	chr2L-reg2823	CG3227 CG9883
353	chr3L-reg1885	Bro CG17249
387	chr2L-reg6473	CG8965
474	chr3R-reg19175	glec
548	chr3L-reg5987	CG10630
564	chr3R-reg11868	CG42788
593	chr3R-reg12513	pxb
603	chrX-reg19744	unc-4
637	chr2L-reg15183	CG42784
664	chr3R-reg5256	neur
666	chr3R-reg15014	CG42457 cpo
709	chr2R-reg11957	chn
734	chr2L-reg17237	sna
745	chr3R-reg15002	CG42457 cpo
