chrom	start	end
chr4	375139	376139
chr4	375139	376139
chr4	501309	502309
chr4	501309	502309
chr4	501309	502309
chr4	648540	649540
chr4	649470	650470
chr4	649470	650470
chr4	42273	43273
chr4	135771	136771
chr4	135771	136771
chr4	174954	175954
chr4	183575	184575
chr4	183724	184724
chr4	183724	184724
chr4	183724	184724
chr4	209723	210723
chr4	209723	210723
chr4	209723	210723
chr4	209723	210723
chr4	209723	210723
chr4	230925	231925
chr4	230925	231925
chr4	231349	232349
chr4	276022	277022
chr4	307592	308592
chr4	307592	308592
chr4	307592	308592
chr4	314422	315422
chr4	314422	315422
chr4	359437	360437
chr4	359437	360437
chr4	359437	360437
chr4	375139	376139
chr4	380223	381223
chr4	394895	395895
chr4	400202	401202
chr4	445003	446003
chr4	445003	446003
chr4	472394	473394
chr4	472394	473394
chr4	472394	473394
chr4	472394	473394
chr4	556524	557524
chr4	557515	558515
chr4	557722	558722
chr4	557722	558722
chr4	559163	560163
chr4	582607	583607
chr4	610183	611183
chr4	610183	611183
chr4	610183	611183
chr4	610183	611183
chr4	610183	611183
chr4	670641	671641
chr4	670641	671641
chr4	679769	680769
chr4	680092	681092
chr4	690185	691185
chr4	697188	698188
chr4	704150	705150
chr4	724855	725855
chr4	725157	726157
chr4	836485	837485
chr4	853056	854056
chr4	878873	879873
chr4	936318	937318
chr4	936318	937318
chr4	936318	937318
chr4	936318	937318
chr4	958723	959723
chr4	959174	960174
chr4	989224	990224
chr4	989224	990224
chr4	1027362	1028362
chr4	1027780	1028780
chr4	1028174	1029174
chr4	1029210	1030210
chr4	1029210	1030210
chr4	1029210	1030210
chr4	1030983	1031983
chr4	1031363	1032363
chr4	1031363	1032363
chr4	1060468	1061468
chr4	1064405	1065405
chr4	1064405	1065405
chr4	1088297	1089297
chr4	1088297	1089297
chr4	1098024	1099024
chr4	1112373	1113373
chr4	1114754	1115754
chr4	1123666	1124666
chr4	1123666	1124666
chr4	1231382	1232382
chrX	8385280	8386280
chrX	16751688	16752688
chrX	16751688	16752688
chrX	16751688	16752688
chrX	3134369	3135369
chrX	3134369	3135369
chrX	4132386	4133386
chrX	4133882	4134882
chrX	4138552	4139552
chrX	4139674	4140674
chrX	7165950	7166950
chrX	7280588	7281588
chrX	11492634	11493634
chrX	11493318	11494318
chrX	14679067	14680067
chrX	14679067	14680067
chrX	15712127	15713127
chrX	15712127	15713127
chrX	15713140	15714140
chrX	18863449	18864449
chrX	18863449	18864449
chrX	126948	127948
chrX	126952	127952
chrX	130534	131534
chrX	257834	258834
chrX	257834	258834
chrX	257964	258964
chrX	316075	317075
chrX	316075	317075
chrX	391334	392334
chrX	508934	509934
chrX	647982	648982
chrX	784245	785245
chrX	784245	785245
chrX	807716	808716
chrX	1411225	1412225
chrX	1413300	1414300
chrX	1773218	1774218
chrX	1823661	1824661
chrX	1824442	1825442
chrX	1824562	1825562
chrX	1826846	1827846
chrX	1830802	1831802
chrX	1941439	1942439
chrX	1941439	1942439
chrX	1941439	1942439
chrX	1941439	1942439
chrX	1941439	1942439
chrX	1941439	1942439
chrX	1941439	1942439
chrX	2224795	2225795
chrX	2224795	2225795
chrX	2469959	2470959
chrX	2469959	2470959
chrX	2469959	2470959
chrX	2739883	2740883
chrX	2988550	2989550
chrX	3175939	3176939
chrX	3175939	3176939
chrX	3175939	3176939
chrX	3255567	3256567
chrX	3255567	3256567
chrX	3255567	3256567
chrX	3372658	3373658
chrX	3391896	3392896
chrX	3391985	3392985
chrX	3391985	3392985
chrX	3510836	3511836
chrX	3668336	3669336
chrX	3668400	3669400
chrX	3931499	3932499
chrX	3931655	3932655
chrX	3931655	3932655
chrX	4062358	4063358
chrX	4322125	4323125
chrX	4322125	4323125
chrX	4323108	4324108
