Gene	P_est.mean_RNA	P_p_value_RNA	H_est.mean_RNA	H_p_value_RNA	H_P_est_RNA	H_P_p_value_RNA	P_qvalue_RNA	H_qvalue_RNA	P_H_qvalue_RNA	Direction_parent_RNA	Direction_hybrid_RNA	P_H_ratio_RNA	Regulatory_class_RNA	perc_cis_RNA	chrom	start	end	Paste_locus	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	perc_cis	class	beg_first_exon	div_category	distance_to_exon1
CG10005	0.225879784613996	6.32017770438711e-11	0.336199137872184	5.86182454794955e-11	-0.110295204037545	0.015693008677877	1.67655476103736e-09	1.73510012507653e-09	0.0309043966685155	Ambig	P1	0.671863069142881	Conserved/Ambiguous	75.2934412684877	chr3R	11974655	11975655	chr3R_11974655_11975655	0.186026635251044	0.160044392260978	-0.0917715112719599	0.451244545396964	0.278441278460296	0.122461264928663	1	1	0.300770792209874	Ambig	Ambig	2.02706300324252	Conserved/Ambiguous	24.8319929237466	start	0	AccC_ExpD	11975655
CG10007	0.145871728594519	3.28834737670692e-08	0.307198321228295	6.17376426414096e-11	-0.161311559686011	2.20694906063468e-05	7.46252742008123e-07	1.73510012507653e-09	8.25304086138734e-05	Ambig	P1	0.474845461431132	Conserved/Ambiguous	65.5671261312544	chr3R	11974410	11975410	chr3R_11974410_11975410	0.20999446774478	0.108180793798952	-0.0689856146842766	0.558135825157578	0.279589221772122	0.113116194939857	1	1	0.287758259901009	Ambig	Ambig	3.04403271183206	Conserved/Ambiguous	19.8254067158257	end	0	AccC_ExpD	11975410
CG10011	0.10988402312259	1.18088557246311e-05	0.0491573567694273	0.0672168545797412	0.0607137581719896	0.0989174875623515	0.000218658211704473	0.805237414672614	0.154080004323031	Ambig	Ambig	2.23535255644443	Conserved/Ambiguous	44.7356725504907	chr3R	28634599	28635599	chr3R_28634599_28635599	0.154435928258731	0.0108160024810668	0.171641198800595	0.00408234627638936	-0.0171738438525394	0.83800662413634	0.226718060091005	0.0809195930413767	0.925918286874244	P1	P1	0.899760251838766	Conserved/Ambiguous	90.8892813290231	end	0	AccC_ExpD	28635599
CG10016	-0.43266025044267	0	-0.721055048592813	0	0.288381341576483	6.84374125437888e-11	0	0	4.75641024070134e-10	P2	Ambig	0.600037752023282	Conserved/Ambiguous	71.430497604149	chr2L	3538746	3539746	chr2L_3538746_3539746	-0.249403944085772	2.11389400983641e-06	-0.626667229932128	0	0.377287608132839	1.56020899091378e-07	9.78246394806927e-05	0	5.164800523726e-06	P2	P2	0.397984659438446	Cis_+_Trans,same	62.4213747946677	start	0	AccD_ExpD_S	3539746
CG10016	-0.43266025044267	0	-0.721055048592813	0	0.288381341576483	6.84374125437888e-11	0	0	4.75641024070134e-10	P2	Ambig	0.600037752023282	Conserved/Ambiguous	71.430497604149	chr2L	3539232	3540232	chr2L_3539232_3540232	-0.476561533077658	0	-0.750256431496414	0	0.273697533163025	6.10071711444902e-05	0	0	0.000800850602243728	P2	P2	0.63519819767108	Cis_+_Trans,same	73.2707121498216	start	0	AccD_ExpD_S	3540232
CG10016	-0.43266025044267	0	-0.721055048592813	0	0.288381341576483	6.84374125437888e-11	0	0	4.75641024070134e-10	P2	Ambig	0.600037752023282	Conserved/Ambiguous	71.430497604149	chr2L	3547581	3548581	chr2L_3547581_3548581	-0.237344810055983	0.235531287334472	-0.994915234335959	1.67202808440958e-05	0.761167820095444	0.0158518985765133	1	0.000474781817771021	0.0726919402681541	Ambig	P2	0.238557820671422	Conserved/Ambiguous	56.7716619787757	end	0	AccC_ExpD	3548581
CG10023	-0.0310786283194438	0.213346146779561	-0.116720990820977	2.73555917105206e-05	0.0856312954856147	0.0224410657692895	1	0.00051556716695423	0.0422000461192361	P2	Ambig	0.266264260617109	Compensatory	57.6789171085521	chr2R	19436693	19437693	chr2R_19436693_19437693	0.281333505729199	9.16322568004531e-07	0.162711034647073	0.00524530057028156	0.118593679533243	0.149181314999123	4.34232662410463e-05	0.101682911132158	0.346962136245126	P1	P1	1.72903765463371	Conserved/Ambiguous	57.8356403818081	end	0	AccD_ExpC	19437693
CG10023	-0.0310786283194438	0.213346146779561	-0.116720990820977	2.73555917105206e-05	0.0856312954856147	0.0224410657692895	1	0.00051556716695423	0.0422000461192361	P2	Ambig	0.266264260617109	Compensatory	57.6789171085521	chr2R	19436759	19437759	chr2R_19436759_19437759	0.285219761335529	1.3202730816256e-06	0.156792209333985	0.008258379443742	0.128400538953592	0.127056334557309	6.12476807276669e-05	0.152995054512553	0.310526085331882	P1	P1	1.81909396230255	Conserved/Ambiguous	54.9724214759217	end	0	AccD_ExpC	19437759
CG10033	0.317682214058144	5.99709674473012e-11	0.102172981417147	0.000100844111271715	0.215499703783027	1.2481581214606e-07	1.67655476103736e-09	0.00178263658391593	6.70063833626217e-07	P1	P1	3.10925853050256	Cis_+_Trans,opposing	32.1620087294049	chr2L	3631654	3632654	chr2L_3631654_3632654	-0.782328609842288	0	-1.2367190471541	0	0.454557817457237	1.60689209216602e-09	0	0	9.41791803351399e-08	P2	P2	0.632583941876337	Cis_+_Trans,same	73.1306316068993	end	0	AccD_ExpD_O	3632654
CG10033	0.317682214058144	5.99709674473012e-11	0.102172981417147	0.000100844111271715	0.215499703783027	1.2481581214606e-07	1.67655476103736e-09	0.00178263658391593	6.70063833626217e-07	P1	P1	3.10925853050256	Cis_+_Trans,opposing	32.1620087294049	chr2L	3656453	3657453	chr2L_3656453_3657453	-0.424233116053373	2.05151340360032e-09	-0.734539591211005	0	0.310518477981693	0.001236191974055	1.2991131148983e-07	0	0.00972975141549496	P2	P2	0.577549693889144	Cis_+_Trans,same	70.3012256880956	end	0	AccD_ExpD_O	3657453
