chrom	start	end	length
chr2L	12405	12406	560
chr2L	17508	17509	220
chr2L	19754	19755	345
chr2L	29130	29131	215
chr2L	32277	32278	1272
chr2L	34228	34229	678
chr2L	36659	36660	377
chr2L	39833	39834	533
chr2L	40718	40719	527
chr2L	41363	41364	225
chr2L	42103	42104	481
chr2L	43497	43498	1324
chr2L	45197	45198	280
chr2L	47263	47264	915
chr2L	53697	53698	290
chr2L	60958	60959	284
chr2L	68332	68333	463
chr2L	84857	84858	354
chr2L	97793	97794	965
chr2L	112601	112602	208
chr2L	126600	126601	812
chr2L	127996	127997	463
chr2L	146316	146317	352
chr2L	147298	147299	787
chr2L	148268	148269	330
chr2L	151171	151172	740
chr2L	161190	161191	1539
chr2L	163613	163614	457
chr2L	165989	165990	607
chr2L	168277	168278	1252
chr2L	170895	170896	209
chr2L	172645	172646	1606
chr2L	178447	178448	241
chr2L	183774	183775	245
chr2L	189520	189521	323
chr2L	194826	194827	480
chr2L	208727	208728	338
chr2L	214871	214872	419
chr2L	225634	225635	458
chr2L	233130	233131	251
chr2L	236311	236312	1564
chr2L	244344	244345	623
chr2L	245848	245849	1327
chr2L	248132	248133	526
chr2L	256868	256869	490
chr2L	257914	257915	507
chr2L	258717	258718	451
chr2L	260696	260697	351
chr2L	264645	264646	465
chr2L	270614	270615	447
chr2L	272944	272945	412
chr2L	275706	275707	234
chr2L	302941	302942	290
chr2L	312226	312227	273
chr2L	313397	313398	882
chr2L	314625	314626	347
chr2L	315601	315602	784
chr2L	317022	317023	352
chr2L	326410	326411	631
chr2L	334193	334194	537
chr2L	336178	336179	705
chr2L	337671	337672	938
chr2L	339758	339759	1305
chr2L	341791	341792	666
chr2L	342853	342854	978
chr2L	379023	379024	360
chr2L	381269	381270	2521
chr2L	383459	383460	1265
chr2L	384922	384923	752
chr2L	397421	397422	446
chr2L	398923	398924	863
chr2L	400674	400675	309
chr2L	405648	405649	260
chr2L	406616	406617	540
chr2L	411581	411582	1325
chr2L	416691	416692	391
chr2L	432966	432967	1481
chr2L	445102	445103	1188
chr2L	449872	449873	452
chr2L	456574	456575	466
chr2L	457314	457315	460
chr2L	459956	459957	783
chr2L	461705	461706	541
chr2L	463110	463111	1112
chr2L	464246	464247	480
chr2L	466163	466164	1056
chr2L	467550	467551	740
chr2L	469013	469014	370
chr2L	469655	469656	432
chr2L	470608	470609	786
chr2L	495668	495669	1018
chr2L	507390	507391	1910
chr2L	510440	510441	3029
chr2L	514374	514375	3477
chr2L	517915	517916	2726
chr2L	521117	521118	3051
chr2L	526911	526912	940
chr2L	528036	528037	831
chr2L	533677	533678	9280
chr2L	569643	569644	481
chr2L	570886	570887	1532
chr2L	584823	584824	1447
chr2L	591121	591122	1701
chr2L	592442	592443	301
chr2L	593055	593056	273
chr2L	643536	643537	4515
chr2L	647975	647976	3483
chr2L	651873	651874	3269
chr2L	655296	655297	2953
chr2L	660895	660896	6210
chr2L	668003	668004	7309
chr2L	673642	673643	2456
chr2L	675599	675600	849
chr2L	676570	676571	472
chr2L	678012	678013	391
chr2L	678916	678917	805
chr2L	680170	680171	1264
chr2L	681703	681704	1211
chr2L	684195	684196	2529
chr2L	686402	686403	1336
chr2L	697251	697252	2593
chr2L	701448	701449	5265
chr2L	706625	706626	4173
chr2L	709344	709345	606
chr2L	723755	723756	1134
chr2L	739414	739415	3361
chr2L	751629	751630	556
chr2L	760799	760800	357
chr2L	827091	827092	333
chr2L	827990	827991	454
chr2L	831053	831054	630
chr2L	839932	839933	4464
chr2L	925261	925262	388
chr2L	926663	926664	1516
chr2L	927887	927888	479
chr2L	928509	928510	272
chr2L	929009	929010	240
chr2L	930042	930043	911
chr2L	931985	931986	2295
chr2L	933800	933801	303
chr2L	936274	936275	4067
chr2L	939895	939896	784
chr2L	942108	942109	644
chr2L	944673	944674	2157
chr2L	946959	946960	793
chr2L	948791	948792	1966
chr2L	950296	950297	534
chr2L	951609	951610	1386
chr2L	953437	953438	549
chr2L	954248	954249	420
chr2L	955181	955182	843
chr2L	1012730	1012731	632
chr2L	1015215	1015216	2381
chr2L	1017708	1017709	1751
chr2L	1019483	1019484	347
chr2L	1020209	1020210	468
chr2L	1020863	1020864	337
chr2L	1023190	1023191	1451
chr2L	1040576	1040577	1241
chr2L	1042163	1042164	678
chr2L	1045063	1045064	211
chr2L	1050672	1050673	472
chr2L	1053613	1053614	1062
chr2L	1054669	1054670	367
chr2L	1056150	1056151	1597
chr2L	1058406	1058407	279
chr2L	1059227	1059228	735
chr2L	1060494	1060495	1187
chr2L	1062405	1062406	1838
chr2L	1065836	1065837	2721
chr2L	1068390	1068391	410
chr2L	1070187	1070188	2664
chr2L	1073320	1073321	2462
chr2L	1089526	1089527	1129
chr2L	1092388	1092389	2323
chr2L	1094049	1094050	559
chr2L	1095550	1095551	1761
chr2L	1096946	1096947	370
chr2L	1097609	1097610	216
chr2L	1098676	1098677	1381
chr2L	1100414	1100415	1412
chr2L	1111651	1111652	1063
chr2L	1120293	1120294	478
chr2L	1122230	1122231	2753
chr2L	1126020	1126021	3645
chr2L	1131430	1131431	663
chr2L	1137275	1137276	2189
chr2L	1139252	1139253	1343
chr2L	1145024	1145025	1241
chr2L	1161655	1161656	1252
chr2L	1174086	1174087	418
chr2L	1175197	1175198	372
chr2L	1178977	1178978	435
chr2L	1181280	1181281	515
chr2L	1190652	1190653	1048
chr2L	1193205	1193206	2416
chr2L	1220304	1220305	245
chr2L	1259076	1259077	229
chr2L	1260729	1260730	468
chr2L	1261580	1261581	498
chr2L	1264465	1264466	1661
chr2L	1265983	1265984	297
chr2L	1266508	1266509	212
chr2L	1269913	1269914	561
chr2L	1272669	1272670	275
chr2L	1274654	1274655	246
chr2L	1275168	1275169	345
chr2L	1276442	1276443	1023
chr2L	1278357	1278358	532
chr2L	1279179	1279180	639
chr2L	1280103	1280104	277
chr2L	1280868	1280869	432
chr2L	1283926	1283927	482
chr2L	1285621	1285622	484
chr2L	1286370	1286371	565
chr2L	1287724	1287725	1129
chr2L	1290611	1290612	658
chr2L	1292718	1292719	2039
chr2L	1385161	1385162	1334
chr2L	1387136	1387137	1560
chr2L	1388778	1388779	241
chr2L	1393827	1393828	9003
chr2L	1399979	1399980	2179
chr2L	1403093	1403094	2517
chr2L	1405555	1405556	929
chr2L	1408176	1408177	842
chr2L	1410303	1410304	1583
chr2L	1411707	1411708	449
chr2L	1413281	1413282	1177
chr2L	1414984	1414985	1034
chr2L	1417198	1417199	1492
chr2L	1418658	1418659	968
chr2L	1556989	1556990	684
chr2L	1558439	1558440	1210
chr2L	1560389	1560390	1828
chr2L	1561831	1561832	228
chr2L	1562810	1562811	710
chr2L	1563880	1563881	282
chr2L	1564807	1564808	754
chr2L	1565929	1565930	946
chr2L	1567375	1567376	606
chr2L	1569488	1569489	2760
chr2L	1574021	1574022	936
chr2L	1575245	1575246	883
chr2L	1576664	1576665	575
chr2L	1577688	1577689	612
chr2L	1579759	1579760	429
chr2L	1580901	1580902	536
chr2L	1582122	1582123	986
chr2L	1588755	1588756	881
chr2L	1590165	1590166	1285
chr2L	1591760	1591761	1448
chr2L	1593950	1593951	445
chr2L	1598035	1598036	627
chr2L	1602494	1602495	7126
chr2L	1609086	1609087	247
chr2L	1621144	1621145	532
chr2L	1621865	1621866	259
chr2L	1624935	1624936	215
chr2L	1653472	1653473	228
chr2L	1654976	1654977	1711
chr2L	1656325	1656326	217
chr2L	1658809	1658810	4344
chr2L	1662993	1662994	2207
chr2L	1664662	1664663	389
chr2L	1665777	1665778	1115
chr2L	1673684	1673685	3573
chr2L	1676206	1676207	231
chr2L	1677740	1677741	444
chr2L	1678563	1678564	627
chr2L	1687527	1687528	751
chr2L	1702223	1702224	481
chr2L	1703594	1703595	232
chr2L	1738256	1738257	306
chr2L	1739047	1739048	372
chr2L	1740269	1740270	787
chr2L	1743441	1743442	3906
chr2L	1746196	1746197	1106
chr2L	1837545	1837546	493
chr2L	1838215	1838216	397
chr2L	1838821	1838822	334
chr2L	1842097	1842098	215
chr2L	1843024	1843025	1143
chr2L	1844951	1844952	1510
chr2L	1847890	1847891	690
chr2L	1851542	1851543	5987
chr2L	1856335	1856336	2128
chr2L	1862360	1862361	487
chr2L	1865918	1865919	4618
chr2L	1877815	1877816	1512
chr2L	1879285	1879286	607
chr2L	1890577	1890578	864
chr2L	1891848	1891849	1114
chr2L	1892979	1892980	530
chr2L	1901488	1901489	1509
chr2L	1903161	1903162	1346
chr2L	1904757	1904758	905
chr2L	1905595	1905596	243
chr2L	1912706	1912707	921
chr2L	1914093	1914094	1112
chr2L	1918918	1918919	7910
chr2L	1929313	1929314	921
chr2L	1931700	1931701	2239
chr2L	1934461	1934462	2770
chr2L	1936755	1936756	1246
chr2L	1957371	1957372	3221
chr2L	1960975	1960976	3310
chr2L	1963262	1963263	556
chr2L	1964422	1964423	1182
chr2L	1965957	1965958	1021
chr2L	1966868	1966869	238
chr2L	2015475	2015476	255
chr2L	2020973	2020974	720
chr2L	2026986	2026987	4349
chr2L	2033886	2033887	1653
chr2L	2061810	2061811	797
chr2L	2063360	2063361	1563
chr2L	2066927	2066928	4750
chr2L	2070605	2070606	1149
chr2L	2072022	2072023	700
chr2L	2072938	2072939	568
chr2L	2074013	2074014	979
chr2L	2074948	2074949	274
chr2L	2075411	2075412	204
chr2L	2076015	2076016	570
chr2L	2077956	2077957	244
chr2L	2085710	2085711	532
chr2L	2086693	2086694	251
chr2L	2087979	2087980	364
chr2L	2089204	2089205	1387
chr2L	2090375	2090376	280
chr2L	2091728	2091729	1132
chr2L	2093765	2093766	877
chr2L	2095446	2095447	1750
chr2L	2097650	2097651	1401
chr2L	2099091	2099092	1068
chr2L	2100109	2100110	454
chr2L	2132006	2132007	428
chr2L	2133059	2133060	292
chr2L	2134481	2134482	1164
chr2L	2143797	2143798	345
chr2L	2153372	2153373	329
chr2L	2168160	2168161	1177
chr2L	2170029	2170030	1898
chr2L	2172094	2172095	480
chr2L	2173336	2173337	1078
chr2L	2175494	2175495	2354
chr2L	2195556	2195557	3160
chr2L	2218889	2218890	233
chr2L	2224700	2224701	616
chr2L	2232800	2232801	819
chr2L	2234232	2234233	1079
chr2L	2272401	2272402	1044
chr2L	2273452	2273453	338
chr2L	2274717	2274718	286
chr2L	2313485	2313486	604
chr2L	2315114	2315115	2043
chr2L	2316517	2316518	206
chr2L	2317962	2317963	2147
chr2L	2319976	2319977	363
chr2L	2321913	2321914	2247
chr2L	2324410	2324411	1967
chr2L	2327490	2327491	2989
chr2L	2330635	2330636	312
chr2L	2331572	2331573	213
chr2L	2333442	2333443	1915
chr2L	2335564	2335565	1650
chr2L	2337215	2337216	486
chr2L	2338325	2338326	205
chr2L	2339095	2339096	417
chr2L	2339706	2339707	362
chr2L	2340793	2340794	877
chr2L	2342038	2342039	475
chr2L	2343228	2343229	1304
chr2L	2346116	2346117	1964
chr2L	2348005	2348006	1076
chr2L	2350000	2350001	2388
chr2L	2352997	2352998	1607
chr2L	2354837	2354838	1633
chr2L	2378387	2378388	1822
chr2L	2393316	2393317	939
chr2L	2394707	2394708	753
chr2L	2397395	2397396	4087
chr2L	2402099	2402100	901
chr2L	2405219	2405220	4382
chr2L	2408408	2408409	252
chr2L	2409026	2409027	292
chr2L	2409652	2409653	208
chr2L	2412501	2412502	1084
chr2L	2432343	2432344	6080
chr2L	2436607	2436608	1140
chr2L	2438805	2438806	2401
chr2L	2441516	2441517	1997
chr2L	2444330	2444331	2205
chr2L	2682209	2682210	1488
chr2L	2684739	2684740	1288
chr2L	2686004	2686005	203
chr2L	2686618	2686619	214
chr2L	2687920	2687921	1780
chr2L	2691012	2691013	3027
chr2L	2693464	2693465	413
chr2L	2698312	2698313	2739
chr2L	2700576	2700577	1005
chr2L	2701841	2701842	990
chr2L	2703038	2703039	477
chr2L	2704006	2704007	960
chr2L	2705965	2705966	1232
chr2L	2706959	2706960	225
chr2L	2707605	2707606	562
chr2L	2708655	2708656	261
chr2L	2709567	2709568	719
chr2L	2711557	2711558	2835
chr2L	2713956	2713957	1491
chr2L	2716272	2716273	1509
chr2L	2717615	2717616	549
chr2L	2733635	2733636	740
chr2L	2755551	2755552	747
chr2L	2783813	2783814	240
chr2L	2784685	2784686	363
chr2L	2787557	2787558	377
chr2L	2788628	2788629	300
chr2L	2790283	2790284	345
chr2L	2791873	2791874	1415
chr2L	2793243	2793244	824
chr2L	2794182	2794183	477
chr2L	2807212	2807213	405
chr2L	2817043	2817044	538
chr2L	2818226	2818227	1210
chr2L	2820328	2820329	2362
chr2L	2851204	2851205	583
chr2L	2895083	2895084	4483
chr2L	2897996	2897997	413
chr2L	2899617	2899618	2323
chr2L	2901587	2901588	602
chr2L	2903787	2903788	3033
chr2L	2908101	2908102	3577
chr2L	2910403	2910404	512
chr2L	2912250	2912251	1565
chr2L	2914015	2914016	1171
chr2L	2915360	2915361	1106
chr2L	2916440	2916441	489
chr2L	2917945	2917946	1775
chr2L	2920123	2920124	928
chr2L	2921141	2921142	677
chr2L	2922636	2922637	1707
chr2L	2925253	2925254	2662
chr2L	2927806	2927807	570
chr2L	2928857	2928858	242
chr2L	2931164	2931165	3496
chr2L	2936003	2936004	294
chr2L	2938786	2938787	4194
chr2L	2942285	2942286	1703
chr2L	2944396	2944397	839
chr2L	2948452	2948453	1491
chr2L	2961412	2961413	1378
chr2L	2971483	2971484	835
chr2L	2973695	2973696	433
chr2L	2985260	2985261	1430
chr2L	2996117	2996118	985
chr2L	2997205	2997206	406
chr2L	3002108	3002109	274
chr2L	3004831	3004832	4433
chr2L	3008863	3008864	1290
chr2L	3024798	3024799	332
chr2L	3033738	3033739	858
chr2L	3052404	3052405	530
chr2L	3053795	3053796	356
chr2L	3058119	3058120	508
chr2L	3059063	3059064	951
chr2L	3060281	3060282	564
chr2L	3061398	3061399	846
chr2L	3062212	3062213	284
chr2L	3063733	3063734	1578
chr2L	3065482	3065483	1212
chr2L	3066878	3066879	1064
chr2L	3070337	3070338	463
chr2L	3071326	3071327	1034
chr2L	3079223	3079224	865
chr2L	3080607	3080608	441
chr2L	3082097	3082098	2018
chr2L	3083857	3083858	1048
chr2L	3085099	3085100	841
chr2L	3092918	3092919	1086
chr2L	3101853	3101854	2557
chr2L	3104401	3104402	1740
chr2L	3115149	3115150	1068
chr2L	3116826	3116827	823
chr2L	3117838	3117839	494
chr2L	3118901	3118902	632
chr2L	3120042	3120043	1029
chr2L	3122074	3122075	2391
chr2L	3125167	3125168	3274
chr2L	3131789	3131790	1537
chr2L	3134030	3134031	222
chr2L	3134680	3134681	376
chr2L	3136714	3136715	1233
chr2L	3138507	3138508	208
chr2L	3139297	3139298	519
chr2L	3139960	3139961	210
chr2L	3140649	3140650	290
chr2L	3141991	3141992	284
chr2L	3148379	3148380	2492
chr2L	3156268	3156269	611
chr2L	3177062	3177063	1336
chr2L	3179198	3179199	2223
chr2L	3180741	3180742	244
chr2L	3183130	3183131	2137
chr2L	3184919	3184920	439
chr2L	3185731	3185732	563
chr2L	3187425	3187426	734
chr2L	3188902	3188903	846
chr2L	3190537	3190538	1008
chr2L	3192582	3192583	911
chr2L	3195267	3195268	1739
chr2L	3197659	3197660	351
chr2L	3297551	3297552	2460
chr2L	3299140	3299141	242
chr2L	3306657	3306658	1332
chr2L	3313912	3313913	2929
chr2L	3336479	3336480	1064
chr2L	3339551	3339552	4614
chr2L	3342437	3342438	511
chr2L	3344034	3344035	434
chr2L	3345978	3345979	2385
chr2L	3349950	3349951	4803
chr2L	3353202	3353203	1043
chr2L	3360931	3360932	1583
chr2L	3419482	3419483	1007
chr2L	3421176	3421177	915
chr2L	3424527	3424528	1026
chr2L	3450985	3450986	920
chr2L	3482557	3482558	1837
chr2L	3484296	3484297	1174
chr2L	3485700	3485701	1006
chr2L	3487619	3487620	2334
chr2L	3489532	3489533	845
chr2L	3495881	3495882	835
chr2L	3497079	3497080	1075
chr2L	3502637	3502638	2024
chr2L	3504078	3504079	416
chr2L	3505530	3505531	1783
chr2L	3541105	3541106	704
chr2L	3543303	3543304	2950
chr2L	3545489	3545490	860
chr2L	3546337	3546338	269
chr2L	3647776	3647777	280
chr2L	3648973	3648974	1643
chr2L	3666075	3666076	951
