chrom	center	center_1
chr2L	43497	43498
chr2L	47263	47264
chr2L	161190	161191
chr2L	168277	168278
chr2L	172645	172646
chr2L	245848	245849
chr2L	313397	313398
chr2L	336178	336179
chr2L	339758	339759
chr2L	381269	381270
chr2L	383459	383460
chr2L	384922	384923
chr2L	411581	411582
chr2L	432966	432967
chr2L	445102	445103
chr2L	495668	495669
chr2L	507390	507391
chr2L	510440	510441
chr2L	514374	514375
chr2L	517915	517916
chr2L	521117	521118
chr2L	526911	526912
chr2L	528036	528037
chr2L	533677	533678
chr2L	584823	584824
chr2L	591121	591122
chr2L	643536	643537
chr2L	647975	647976
chr2L	651873	651874
chr2L	655296	655297
chr2L	660895	660896
chr2L	668003	668004
chr2L	673642	673643
chr2L	675599	675600
chr2L	678916	678917
chr2L	681703	681704
chr2L	684195	684196
chr2L	686402	686403
chr2L	697251	697252
chr2L	701448	701449
chr2L	706625	706626
chr2L	723755	723756
chr2L	739414	739415
chr2L	827990	827991
chr2L	839932	839933
chr2L	931985	931986
chr2L	936274	936275
chr2L	939895	939896
chr2L	944673	944674
chr2L	948791	948792
chr2L	951609	951610
chr2L	955181	955182
chr2L	1023190	1023191
chr2L	1040576	1040577
chr2L	1053613	1053614
chr2L	1056150	1056151
chr2L	1060494	1060495
chr2L	1062405	1062406
chr2L	1065836	1065837
chr2L	1070187	1070188
chr2L	1073320	1073321
chr2L	1089526	1089527
chr2L	1092388	1092389
chr2L	1095550	1095551
chr2L	1122230	1122231
chr2L	1126020	1126021
chr2L	1137275	1137276
chr2L	1139252	1139253
chr2L	1161655	1161656
chr2L	1190652	1190653
chr2L	1193205	1193206
chr2L	1276442	1276443
chr2L	1287724	1287725
chr2L	1385161	1385162
chr2L	1387136	1387137
chr2L	1393827	1393828
chr2L	1399979	1399980
chr2L	1403093	1403094
chr2L	1405555	1405556
chr2L	1408176	1408177
chr2L	1410303	1410304
chr2L	1413281	1413282
chr2L	1414984	1414985
chr2L	1417198	1417199
chr2L	1418658	1418659
chr2L	1556989	1556990
chr2L	1560389	1560390
chr2L	1562810	1562811
chr2L	1565929	1565930
chr2L	1569488	1569489
chr2L	1574021	1574022
chr2L	1575245	1575246
chr2L	1590165	1590166
chr2L	1591760	1591761
chr2L	1602494	1602495
chr2L	1654976	1654977
chr2L	1658809	1658810
chr2L	1662993	1662994
chr2L	1665777	1665778
chr2L	1673684	1673685
chr2L	1740269	1740270
chr2L	1743441	1743442
chr2L	1746196	1746197
chr2L	1851542	1851543
chr2L	1856335	1856336
chr2L	1865918	1865919
chr2L	1901488	1901489
chr2L	1903161	1903162
chr2L	1918918	1918919
chr2L	1929313	1929314
chr2L	1931700	1931701
chr2L	1934461	1934462
chr2L	1936755	1936756
chr2L	1957371	1957372
chr2L	1960975	1960976
chr2L	1964422	1964423
chr2L	1965957	1965958
chr2L	2026986	2026987
chr2L	2033886	2033887
chr2L	2066927	2066928
chr2L	2095446	2095447
chr2L	2134481	2134482
chr2L	2173336	2173337
chr2L	2175494	2175495
chr2L	2195556	2195557
chr2L	2232800	2232801
chr2L	2315114	2315115
chr2L	2317962	2317963
chr2L	2321913	2321914
chr2L	2324410	2324411
chr2L	2327490	2327491
chr2L	2340793	2340794
chr2L	2346116	2346117
chr2L	2350000	2350001
chr2L	2352997	2352998
chr2L	2354837	2354838
chr2L	2378387	2378388
chr2L	2397395	2397396
chr2L	2405219	2405220
chr2L	2432343	2432344
chr2L	2436607	2436608
chr2L	2438805	2438806
chr2L	2441516	2441517
chr2L	2444330	2444331
chr2L	2682209	2682210
chr2L	2691012	2691013
chr2L	2698312	2698313
chr2L	2700576	2700577
chr2L	2711557	2711558
chr2L	2755551	2755552
chr2L	2818226	2818227
chr2L	2820328	2820329
chr2L	2895083	2895084
chr2L	2899617	2899618
chr2L	2903787	2903788
chr2L	2908101	2908102
chr2L	2912250	2912251
chr2L	2914015	2914016
chr2L	2925253	2925254
chr2L	2931164	2931165
chr2L	2938786	2938787
chr2L	2942285	2942286
chr2L	2948452	2948453
chr2L	2961412	2961413
chr2L	2996117	2996118
chr2L	3004831	3004832
chr2L	3008863	3008864
chr2L	3059063	3059064
chr2L	3082097	3082098
chr2L	3083857	3083858
chr2L	3092918	3092919
chr2L	3101853	3101854
chr2L	3104401	3104402
chr2L	3115149	3115150
chr2L	3122074	3122075
chr2L	3125167	3125168
chr2L	3131789	3131790
chr2L	3148379	3148380
chr2L	3177062	3177063
chr2L	3179198	3179199
chr2L	3183130	3183131
chr2L	3297551	3297552
chr2L	3313912	3313913
chr2L	3336479	3336480
chr2L	3339551	3339552
chr2L	3342437	3342438
chr2L	3345978	3345979
chr2L	3349950	3349951
chr2L	3353202	3353203
chr2L	3360931	3360932
chr2L	3419482	3419483
chr2L	3450985	3450986
chr2L	3482557	3482558
chr2L	3484296	3484297
chr2L	3485700	3485701
chr2L	3487619	3487620
chr2L	3495881	3495882
chr2L	3497079	3497080
chr2L	3502637	3502638
chr2L	3505530	3505531
chr2L	3543303	3543304
chr2L	3545489	3545490
chr2L	3648973	3648974
chr2L	3676151	3676152
chr2L	3682130	3682131
chr2L	3684349	3684350
chr2L	3687363	3687364
chr2L	3723516	3723517
chr2L	3747105	3747106
chr2L	3748842	3748843
chr2L	3751024	3751025
chr2L	3790957	3790958
chr2L	3793201	3793202
chr2L	3797605	3797606
chr2L	3882619	3882620
chr2L	3886237	3886238
chr2L	3898761	3898762
chr2L	3916953	3916954
chr2L	3919220	3919221
chr2L	3924718	3924719
chr2L	3929342	3929343
chr2L	3933784	3933785
chr2L	3936362	3936363
chr2L	3942561	3942562
chr2L	3956972	3956973
chr2L	3979022	3979023
chr2L	3984322	3984323
chr2L	4035550	4035551
chr2L	4037448	4037449
chr2L	4040606	4040607
chr2L	4045786	4045787
chr2L	4051281	4051282
chr2L	4055978	4055979
chr2L	4060618	4060619
chr2L	4063596	4063597
chr2L	4070649	4070650
chr2L	4081750	4081751
chr2L	4089624	4089625
chr2L	4092508	4092509
chr2L	4095441	4095442
chr2L	4100018	4100019
chr2L	4104438	4104439
chr2L	4109253	4109254
chr2L	4287359	4287360
chr2L	4290794	4290795
chr2L	4296614	4296615
chr2L	4300840	4300841
chr2L	4303191	4303192
chr2L	4307483	4307484
chr2L	4309590	4309591
chr2L	4312807	4312808
chr2L	4326834	4326835
chr2L	4336671	4336672
chr2L	4384729	4384730
chr2L	4398569	4398570
chr2L	4414097	4414098
chr2L	4417702	4417703
chr2L	4483447	4483448
chr2L	4496594	4496595
chr2L	4506252	4506253
chr2L	4512409	4512410
chr2L	4517216	4517217
chr2L	4520510	4520511
chr2L	4560256	4560257
chr2L	4567307	4567308
chr2L	4569781	4569782
chr2L	4571949	4571950
chr2L	4587603	4587604
chr2L	4590599	4590600
chr2L	4597807	4597808
chr2L	4600897	4600898
chr2L	4610160	4610161
chr2L	4696782	4696783
chr2L	4699093	4699094
chr2L	4705228	4705229
chr2L	4709105	4709106
chr2L	4720216	4720217
chr2L	4736229	4736230
chr2L	4780267	4780268
chr2L	4792120	4792121
chr2L	4823389	4823390
chr2L	4825851	4825852
chr2L	4856239	4856240
chr2L	4863778	4863779
chr2L	4866502	4866503
chr2L	4870948	4870949
chr2L	4893824	4893825
chr2L	4898605	4898606
chr2L	4900350	4900351
chr2L	4901730	4901731
chr2L	4923949	4923950
chr2L	4962397	4962398
chr2L	4988340	4988341
chr2L	5020413	5020414
chr2L	5024416	5024417
chr2L	5103932	5103933
chr2L	5119944	5119945
chr2L	5126364	5126365
chr2L	5131203	5131204
chr2L	5140605	5140606
chr2L	5148571	5148572
chr2L	5154734	5154735
chr2L	5168874	5168875
chr2L	5230360	5230361
chr2L	5234865	5234866
chr2L	5239971	5239972
chr2L	5252332	5252333
chr2L	5290713	5290714
chr2L	5301265	5301266
chr2L	5306821	5306822
chr2L	5318965	5318966
chr2L	5353395	5353396
chr2L	5356923	5356924
chr2L	5359612	5359613
chr2L	5409177	5409178
chr2L	5413029	5413030
chr2L	5463986	5463987
chr2L	5739260	5739261
chr2L	5753803	5753804
chr2L	5756539	5756540
chr2L	5776337	5776338
chr2L	5777729	5777730
chr2L	5780534	5780535
chr2L	5786927	5786928
chr2L	5789791	5789792
chr2L	5792649	5792650
chr2L	5795238	5795239
chr2L	5843143	5843144
chr2L	5846799	5846800
chr2L	5854251	5854252
chr2L	5868540	5868541
chr2L	5872986	5872987
chr2L	5875587	5875588
chr2L	5915358	5915359
chr2L	5918571	5918572
chr2L	5931843	5931844
chr2L	5952023	5952024
chr2L	5977777	5977778
chr2L	6085142	6085143
chr2L	6093943	6093944
chr2L	6103023	6103024
chr2L	6106303	6106304
chr2L	6116924	6116925
chr2L	6183552	6183553
chr2L	6187528	6187529
chr2L	6194271	6194272
chr2L	6199616	6199617
chr2L	6201248	6201249
chr2L	6203826	6203827
chr2L	6259736	6259737
chr2L	6267321	6267322
chr2L	6280578	6280579
chr2L	6287647	6287648
chr2L	6294731	6294732
chr2L	6300815	6300816
chr2L	6318293	6318294
chr2L	6379505	6379506
chr2L	6388897	6388898
chr2L	6392069	6392070
chr2L	6402484	6402485
chr2L	6404513	6404514
chr2L	6406993	6406994
chr2L	6450202	6450203
chr2L	6452276	6452277
chr2L	6482287	6482288
chr2L	6484697	6484698
chr2L	6502761	6502762
chr2L	6514148	6514149
chr2L	6516726	6516727
chr2L	6520425	6520426
chr2L	6531279	6531280
chr2L	6538062	6538063
chr2L	6540499	6540500
chr2L	6542869	6542870
chr2L	6576712	6576713
chr2L	6580497	6580498
chr2L	6586945	6586946
chr2L	6589384	6589385
chr2L	6627824	6627825
chr2L	6629197	6629198
chr2L	6630838	6630839
chr2L	6644571	6644572
chr2L	6647128	6647129
chr2L	6691131	6691132
chr2L	6694356	6694357
chr2L	6751167	6751168
chr2L	6791543	6791544
chr2L	6824561	6824562
chr2L	6827306	6827307
chr2L	6829680	6829681
chr2L	6831861	6831862
chr2L	6833910	6833911
chr2L	6836993	6836994
chr2L	6866847	6866848
chr2L	6890030	6890031
chr2L	6904851	6904852
chr2L	6978437	6978438
chr2L	6983527	6983528
chr2L	6989745	6989746
chr2L	7006580	7006581
chr2L	7076192	7076193
chr2L	7082701	7082702
chr2L	7109535	7109536
chr2L	7114824	7114825
chr2L	7116025	7116026
chr2L	7121727	7121728
chr2L	7125505	7125506
chr2L	7136518	7136519
chr2L	7138191	7138192
chr2L	7140282	7140283
chr2L	7147664	7147665
chr2L	7152045	7152046
chr2L	7155546	7155547
chr2L	7200317	7200318
chr2L	7210478	7210479
chr2L	7213271	7213272
chr2L	7235273	7235274
chr2L	7261773	7261774
chr2L	7266577	7266578
chr2L	7270729	7270730
chr2L	7273381	7273382
chr2L	7311022	7311023
chr2L	7313255	7313256
chr2L	7338125	7338126
chr2L	7340450	7340451
chr2L	7365637	7365638
chr2L	7367681	7367682
chr2L	7372500	7372501
chr2L	7386080	7386081
chr2L	7397290	7397291
chr2L	7447699	7447700
chr2L	7500458	7500459
chr2L	7505707	7505708
chr2L	7508888	7508889
chr2L	7510950	7510951
chr2L	7513129	7513130
chr2L	7533367	7533368
chr2L	7537394	7537395
chr2L	7551305	7551306
chr2L	7555440	7555441
