chrom	center	center_1
chr2L	89022	89023
chr2L	90943	90944
chr2L	370080	370081
chr2L	428270	428271
chr2L	597947	597948
chr2L	613184	613185
chr2L	631155	631156
chr2L	636300	636301
chr2L	719590	719591
chr2L	745628	745629
chr2L	893683	893684
chr2L	973956	973957
chr2L	992413	992414
chr2L	1299481	1299482
chr2L	1315536	1315537
chr2L	1364287	1364288
chr2L	1425220	1425221
chr2L	1426918	1426919
chr2L	1434007	1434008
chr2L	1436137	1436138
chr2L	1440013	1440014
chr2L	1446489	1446490
chr2L	1449658	1449659
chr2L	1456389	1456390
chr2L	1458944	1458945
chr2L	1461487	1461488
chr2L	1464540	1464541
chr2L	1470592	1470593
chr2L	1473828	1473829
chr2L	1476883	1476884
chr2L	1478506	1478507
chr2L	1485914	1485915
chr2L	1538284	1538285
chr2L	1544000	1544001
chr2L	1643889	1643890
chr2L	1648975	1648976
chr2L	1973062	1973063
chr2L	2031593	2031594
chr2L	2121339	2121340
chr2L	2200750	2200751
chr2L	2461875	2461876
chr2L	2467376	2467377
chr2L	2470137	2470138
chr2L	2478133	2478134
chr2L	2483900	2483901
chr2L	2510823	2510824
chr2L	2545735	2545736
chr2L	2606830	2606831
chr2L	2802511	2802512
chr2L	3231536	3231537
chr2L	3438750	3438751
chr2L	3537082	3537083
chr2L	3553172	3553173
chr2L	3559270	3559271
chr2L	3572281	3572282
chr2L	3585516	3585517
chr2L	3594457	3594458
chr2L	3597155	3597156
chr2L	3599850	3599851
chr2L	3831775	3831776
chr2L	3842273	3842274
chr2L	4019748	4019749
chr2L	4022313	4022314
chr2L	4178830	4178831
chr2L	4233971	4233972
chr2L	4252793	4252794
chr2L	4267127	4267128
chr2L	4272140	4272141
chr2L	4622617	4622618
chr2L	4626198	4626199
chr2L	4631668	4631669
chr2L	4648600	4648601
chr2L	4659751	4659752
chr2L	4726563	4726564
chr2L	4807916	4807917
chr2L	4886386	4886387
chr2L	4888258	4888259
chr2L	5285208	5285209
chr2L	5373000	5373001
chr2L	5376373	5376374
chr2L	5391490	5391491
chr2L	5398993	5398994
chr2L	5426073	5426074
chr2L	5444304	5444305
chr2L	5453354	5453355
chr2L	5458239	5458240
chr2L	5470693	5470694
chr2L	5476016	5476017
chr2L	5478911	5478912
chr2L	5481800	5481801
chr2L	5485280	5485281
chr2L	5494215	5494216
chr2L	5498855	5498856
chr2L	5500479	5500480
chr2L	5501588	5501589
chr2L	5506525	5506526
chr2L	5572986	5572987
chr2L	5682029	5682030
chr2L	5961822	5961823
chr2L	6076527	6076528
chr2L	6148378	6148379
chr2L	6167410	6167411
chr2L	6176917	6176918
chr2L	6218678	6218679
chr2L	6236540	6236541
chr2L	6239931	6239932
chr2L	6809312	6809313
chr2L	6817877	6817878
chr2L	6845116	6845117
chr2L	7097280	7097281
chr2L	7179069	7179070
chr2L	7289321	7289322
chr2L	7296821	7296822
chr2L	7320092	7320093
chr2L	7323741	7323742
chr2L	7325698	7325699
chr2L	7327506	7327507
chr2L	7354465	7354466
chr2L	7359299	7359300
chr2L	7361784	7361785
chr2L	7580671	7580672
chr2L	7594855	7594856
chr2L	7597928	7597929
chr2L	7619575	7619576
chr2L	7627237	7627238
chr2L	7750360	7750361
chr2L	8796385	8796386
chr2L	8804020	8804021
chr2L	8817846	8817847
chr2L	8821631	8821632
chr2L	8836968	8836969
chr2L	8846412	8846413
chr2L	8856306	8856307
chr2L	8874469	8874470
chr2L	8878950	8878951
chr2L	8881421	8881422
chr2L	8951648	8951649
chr2L	9083271	9083272
chr2L	9090397	9090398
chr2L	9307906	9307907
chr2L	9369450	9369451
chr2L	9602407	9602408
chr2L	9681198	9681199
chr2L	10024612	10024613
chr2L	10045393	10045394
chr2L	10656102	10656103
chr2L	11070042	11070043
chr2L	11072190	11072191
chr2L	11298164	11298165
