chrom	center	center_1
chr2L	90943	90944
chr2L	370080	370081
chr2L	392801	392802
chr2L	394318	394319
chr2L	428270	428271
chr2L	597947	597948
chr2L	599994	599995
chr2L	613184	613185
chr2L	631155	631156
chr2L	636300	636301
chr2L	719590	719591
chr2L	726926	726927
chr2L	745628	745629
chr2L	748115	748116
chr2L	767328	767329
chr2L	793037	793038
chr2L	795050	795051
chr2L	804249	804250
chr2L	807577	807578
chr2L	888637	888638
chr2L	893683	893684
chr2L	907646	907647
chr2L	918865	918866
chr2L	921314	921315
chr2L	965396	965397
chr2L	973956	973957
chr2L	985685	985686
chr2L	992413	992414
chr2L	995762	995763
chr2L	1218372	1218373
chr2L	1299481	1299482
chr2L	1303827	1303828
chr2L	1312191	1312192
chr2L	1315536	1315537
chr2L	1339599	1339600
chr2L	1364287	1364288
chr2L	1425220	1425221
chr2L	1426918	1426919
chr2L	1434007	1434008
chr2L	1436137	1436138
chr2L	1440013	1440014
chr2L	1446489	1446490
chr2L	1449658	1449659
chr2L	1451472	1451473
chr2L	1453368	1453369
chr2L	1456389	1456390
chr2L	1458944	1458945
chr2L	1461487	1461488
chr2L	1464540	1464541
chr2L	1470592	1470593
chr2L	1473828	1473829
chr2L	1475927	1475928
chr2L	1476883	1476884
chr2L	1478506	1478507
chr2L	1480943	1480944
chr2L	1485914	1485915
chr2L	1527452	1527453
chr2L	1538284	1538285
chr2L	1544000	1544001
chr2L	1632903	1632904
chr2L	1639170	1639171
chr2L	1643889	1643890
chr2L	1648975	1648976
chr2L	1760694	1760695
chr2L	1763869	1763870
chr2L	1973062	1973063
chr2L	2031593	2031594
chr2L	2049428	2049429
chr2L	2121339	2121340
chr2L	2200750	2200751
chr2L	2461875	2461876
chr2L	2467376	2467377
chr2L	2470137	2470138
chr2L	2476307	2476308
chr2L	2478133	2478134
chr2L	2483900	2483901
chr2L	2510823	2510824
chr2L	2519886	2519887
chr2L	2522886	2522887
chr2L	2526554	2526555
chr2L	2545735	2545736
chr2L	2560526	2560527
chr2L	2606830	2606831
chr2L	2613006	2613007
chr2L	2617551	2617552
chr2L	2629287	2629288
chr2L	2642220	2642221
chr2L	2802511	2802512
chr2L	3224509	3224510
chr2L	3231536	3231537
chr2L	3243988	3243989
chr2L	3249252	3249253
chr2L	3385386	3385387
chr2L	3395704	3395705
chr2L	3432207	3432208
chr2L	3438750	3438751
chr2L	3442413	3442414
chr2L	3537082	3537083
chr2L	3553172	3553173
chr2L	3559270	3559271
chr2L	3572281	3572282
chr2L	3585516	3585517
chr2L	3594457	3594458
chr2L	3597155	3597156
chr2L	3599850	3599851
chr2L	3603091	3603092
chr2L	3610296	3610297
chr2L	3755988	3755989
chr2L	3831775	3831776
chr2L	3842273	3842274
chr2L	3994794	3994795
chr2L	4002716	4002717
chr2L	4013213	4013214
chr2L	4019748	4019749
chr2L	4022313	4022314
chr2L	4129259	4129260
chr2L	4133051	4133052
chr2L	4142382	4142383
chr2L	4161091	4161092
chr2L	4169199	4169200
chr2L	4173023	4173024
chr2L	4178830	4178831
chr2L	4245042	4245043
chr2L	4252793	4252794
chr2L	4254804	4254805
chr2L	4264069	4264070
chr2L	4267127	4267128
chr2L	4272140	4272141
chr2L	4618554	4618555
chr2L	4622617	4622618
chr2L	4626198	4626199
chr2L	4631668	4631669
chr2L	4648600	4648601
chr2L	4659751	4659752
chr2L	4675894	4675895
chr2L	4681300	4681301
chr2L	4724046	4724047
chr2L	4726563	4726564
chr2L	4805218	4805219
chr2L	4807916	4807917
chr2L	4886386	4886387
chr2L	4888258	4888259
chr2L	5029257	5029258
chr2L	5285208	5285209
chr2L	5371104	5371105
chr2L	5373000	5373001
chr2L	5376373	5376374
chr2L	5391490	5391491
chr2L	5398993	5398994
chr2L	5426073	5426074
chr2L	5444304	5444305
chr2L	5449831	5449832
chr2L	5453354	5453355
chr2L	5458239	5458240
chr2L	5470693	5470694
chr2L	5476016	5476017
chr2L	5478911	5478912
chr2L	5481800	5481801
chr2L	5485280	5485281
chr2L	5494215	5494216
chr2L	5498855	5498856
chr2L	5500479	5500480
chr2L	5501588	5501589
chr2L	5506525	5506526
chr2L	5511954	5511955
chr2L	5572986	5572987
chr2L	5576601	5576602
chr2L	5585734	5585735
chr2L	5673596	5673597
chr2L	5676773	5676774
chr2L	5682029	5682030
chr2L	5693856	5693857
chr2L	5816869	5816870
chr2L	5881696	5881697
chr2L	5895625	5895626
chr2L	5961822	5961823
chr2L	6076527	6076528
chr2L	6148378	6148379
chr2L	6159183	6159184
chr2L	6167410	6167411
chr2L	6174635	6174636
chr2L	6176917	6176918
chr2L	6218678	6218679
chr2L	6229615	6229616
chr2L	6236540	6236541
chr2L	6239931	6239932
chr2L	6242623	6242624
chr2L	6371565	6371566
chr2L	6603888	6603889
chr2L	6809312	6809313
chr2L	6817877	6817878
chr2L	6841589	6841590
chr2L	6845116	6845117
chr2L	7097280	7097281
chr2L	7163757	7163758
chr2L	7166288	7166289
chr2L	7172994	7172995
chr2L	7179069	7179070
chr2L	7289321	7289322
chr2L	7293270	7293271
chr2L	7296821	7296822
chr2L	7301864	7301865
chr2L	7320092	7320093
chr2L	7323741	7323742
chr2L	7327506	7327507
chr2L	7354465	7354466
chr2L	7356944	7356945
chr2L	7359299	7359300
chr2L	7361784	7361785
chr2L	7462806	7462807
chr2L	7580671	7580672
chr2L	7594855	7594856
chr2L	7597928	7597929
chr2L	7619575	7619576
chr2L	7622193	7622194
chr2L	7627237	7627238
chr2L	7750360	7750361
chr2L	8746367	8746368
chr2L	8757147	8757148
chr2L	8785396	8785397
chr2L	8796385	8796386
chr2L	8798330	8798331
chr2L	8800058	8800059
chr2L	8802148	8802149
chr2L	8804020	8804021
chr2L	8810438	8810439
chr2L	8817846	8817847
chr2L	8819527	8819528
chr2L	8821631	8821632
chr2L	8836968	8836969
chr2L	8843955	8843956
chr2L	8846412	8846413
chr2L	8850237	8850238
chr2L	8856306	8856307
chr2L	8874469	8874470
chr2L	8878950	8878951
chr2L	8881421	8881422
chr2L	8884896	8884897
chr2L	8895638	8895639
chr2L	8951648	8951649
chr2L	9016023	9016024
chr2L	9019289	9019290
chr2L	9049674	9049675
chr2L	9080300	9080301
chr2L	9083271	9083272
chr2L	9090397	9090398
chr2L	9101963	9101964
chr2L	9122657	9122658
chr2L	9307906	9307907
chr2L	9324206	9324207
chr2L	9358642	9358643
chr2L	9362805	9362806
chr2L	9369450	9369451
chr2L	9467143	9467144
chr2L	9487177	9487178
chr2L	9587949	9587950
chr2L	9602407	9602408
chr2L	9676133	9676134
chr2L	9679195	9679196
chr2L	9681198	9681199
chr2L	9971941	9971942
chr2L	10021372	10021373
chr2L	10024612	10024613
chr2L	10040855	10040856
chr2L	10045393	10045394
chr2L	10047195	10047196
chr2L	10523754	10523755
chr2L	10525699	10525700
chr2L	10537801	10537802
chr2L	10540540	10540541
chr2L	10656102	10656103
chr2L	10684782	10684783
chr2L	10690938	10690939
chr2L	10691994	10691995
chr2L	10885096	10885097
chr2L	10912935	10912936
chr2L	11070042	11070043
chr2L	11072190	11072191
chr2L	11209480	11209481
chr2L	11298164	11298165
chr2L	11304490	11304491
chr2L	11326398	11326399
chr2L	11334935	11334936
chr2L	11337313	11337314
chr2L	11347228	11347229
chr2L	11349808	11349809
chr2L	11380658	11380659
chr2L	11385339	11385340
chr2L	11394852	11394853
chr2L	11399644	11399645
