chrom	txStart	txEnd	paste_locus
chr4	1035287	1051378	chr4_1035287_1051378
chr4	1035287	1053703	chr4_1035287_1053703
chr4	1037154	1051378	chr4_1037154_1051378
chr4	254996	262519	chr4_254996_262519
chr4	254996	262667	chr4_254996_262667
chr4	254996	265075	chr4_254996_265075
chr4	254996	265574	chr4_254996_265574
chr4	375639	393410	chr4_375639_393410
chr4	375639	395605	chr4_375639_395605
chr4	501809	538373	chr4_501809_538373
chr4	501809	539792	chr4_501809_539792
chr4	501809	540874	chr4_501809_540874
chr4	649040	663103	chr4_649040_663103
chr4	649970	659983	chr4_649970_659983
chr4	649970	660608	chr4_649970_660608
chr4	778515	787614	chr4_778515_787614
chr4	778515	788978	chr4_778515_788978
chr4	915296	930715	chr4_915296_930715
chr4	1172468	1181628	chr4_1172468_1181628
chr4	878	5039	chr4_878_5039
chr4	32477	43778	chr4_32477_43778
chr4	32811	43778	chr4_32811_43778
chr4	42773	43374	chr4_42773_43374
chr4	44773	46074	chr4_44773_46074
chr4	47709	56331	chr4_47709_56331
chr4	47709	56331	chr4_47709_56331
chr4	47709	57041	chr4_47709_57041
chr4	56496	60974	chr4_56496_60974
chr4	56496	63124	chr4_56496_63124
chr4	65224	67207	chr4_65224_67207
chr4	65576	65645	chr4_65576_65645
chr4	66196	67207	chr4_66196_67207
chr4	66196	67207	chr4_66196_67207
chr4	69325	101419	chr4_69325_101419
chr4	69325	108694	chr4_69325_108694
chr4	69325	109770	chr4_69325_109770
chr4	69325	110059	chr4_69325_110059
chr4	69652	110059	chr4_69652_110059
chr4	69652	114270	chr4_69652_114270
chr4	70404	110059	chr4_70404_110059
chr4	90354	110059	chr4_90354_110059
chr4	115073	129849	chr4_115073_129849
chr4	116388	129452	chr4_116388_129452
chr4	116388	129754	chr4_116388_129754
chr4	132219	140083	chr4_132219_140083
chr4	132219	140083	chr4_132219_140083
chr4	132219	140083	chr4_132219_140083
chr4	132219	143123	chr4_132219_143123
chr4	132219	143123	chr4_132219_143123
chr4	132673	132874	chr4_132673_132874
chr4	134765	143123	chr4_134765_143123
chr4	136271	140083	chr4_136271_140083
chr4	136271	143123	chr4_136271_143123
chr4	150763	153538	chr4_150763_153538
chr4	154653	156060	chr4_154653_156060
chr4	154716	156060	chr4_154716_156060
chr4	157574	175140	chr4_157574_175140
chr4	157574	175140	chr4_157574_175140
chr4	157574	175639	chr4_157574_175639
chr4	166544	175140	chr4_166544_175140
chr4	166544	175639	chr4_166544_175639
chr4	175454	175874	chr4_175454_175874
chr4	177347	179389	chr4_177347_179389
chr4	177437	179389	chr4_177437_179389
chr4	177437	179389	chr4_177437_179389
chr4	184075	193829	chr4_184075_193829
chr4	184224	189587	chr4_184224_189587
chr4	184224	193489	chr4_184224_193489
chr4	184224	193829	chr4_184224_193829
chr4	194731	195900	chr4_194731_195900
chr4	196674	205945	chr4_196674_205945
chr4	197691	205945	chr4_197691_205945
chr4	210223	213165	chr4_210223_213165
chr4	210223	213165	chr4_210223_213165
chr4	210223	213165	chr4_210223_213165
chr4	210223	213165	chr4_210223_213165
chr4	210223	213165	chr4_210223_213165
chr4	215008	225956	chr4_215008_225956
chr4	215008	227748	chr4_215008_227748
chr4	227921	230428	chr4_227921_230428
chr4	228575	229112	chr4_228575_229112
chr4	230729	245903	chr4_230729_245903
chr4	231425	241318	chr4_231425_241318
chr4	231425	245903	chr4_231425_245903
chr4	231849	245903	chr4_231849_245903
chr4	247123	253329	chr4_247123_253329
chr4	247123	253329	chr4_247123_253329
chr4	268174	276369	chr4_268174_276369
chr4	268313	276369	chr4_268313_276369
chr4	276522	278174	chr4_276522_278174
chr4	278684	305818	chr4_278684_305818
chr4	278684	305818	chr4_278684_305818
chr4	278684	306161	chr4_278684_306161
chr4	278684	306481	chr4_278684_306481
chr4	308092	310302	chr4_308092_310302
chr4	308092	310302	chr4_308092_310302
chr4	308092	310822	chr4_308092_310822
chr4	310929	313913	chr4_310929_313913
chr4	310929	313913	chr4_310929_313913
chr4	310929	314087	chr4_310929_314087
chr4	310929	314087	chr4_310929_314087
chr4	314922	321385	chr4_314922_321385
chr4	314922	331387	chr4_314922_331387
chr4	328192	358657	chr4_328192_358657
chr4	328815	358657	chr4_328815_358657
chr4	328815	358657	chr4_328815_358657
chr4	328815	358917	chr4_328815_358917
chr4	329516	358657	chr4_329516_358657
chr4	330855	358657	chr4_330855_358657
chr4	334669	358657	chr4_334669_358657
chr4	359937	372784	chr4_359937_372784
chr4	359937	374973	chr4_359937_374973
chr4	359937	375554	chr4_359937_375554
chr4	375639	388322	chr4_375639_388322
chr4	380723	381275	chr4_380723_381275
chr4	395395	395954	chr4_395395_395954
chr4	400702	400765	chr4_400702_400765
chr4	426066	426601	chr4_426066_426601
chr4	427330	431769	chr4_427330_431769
chr4	436956	443911	chr4_436956_443911
chr4	445503	453947	chr4_445503_453947
chr4	445503	453947	chr4_445503_453947
chr4	446092	453947	chr4_446092_453947
chr4	446577	453947	chr4_446577_453947
chr4	459767	461413	chr4_459767_461413
chr4	459886	466828	chr4_459886_466828
chr4	467496	471476	chr4_467496_471476
chr4	469408	486033	chr4_469408_486033
chr4	471285	481970	chr4_471285_481970
chr4	471285	482720	chr4_471285_482720
chr4	471285	483803	chr4_471285_483803
chr4	472894	481970	chr4_472894_481970
chr4	472894	483803	chr4_472894_483803
chr4	472894	486033	chr4_472894_486033
chr4	472894	488994	chr4_472894_488994
chr4	538331	557854	chr4_538331_557854
chr4	540559	557854	chr4_540559_557854
chr4	545267	557854	chr4_545267_557854
chr4	557024	557854	chr4_557024_557854
chr4	558015	565931	chr4_558015_565931
chr4	558222	565931	chr4_558222_565931
chr4	558222	567257	chr4_558222_567257
chr4	559663	567257	chr4_559663_567257
chr4	568295	570790	chr4_568295_570790
chr4	568295	571554	chr4_568295_571554
chr4	571754	578143	chr4_571754_578143
chr4	571754	580122	chr4_571754_580122
chr4	583107	589348	chr4_583107_589348
