chrom	txStart	txStart_plus1	paste_locus
chr4	1035287	1035288	chr4_1035287_1051378
chr4	1035287	1035288	chr4_1035287_1053703
chr4	1037154	1037155	chr4_1037154_1051378
chr4	254996	254997	chr4_254996_262519
chr4	254996	254997	chr4_254996_262667
chr4	254996	254997	chr4_254996_265075
chr4	254996	254997	chr4_254996_265574
chr4	375639	375640	chr4_375639_393410
chr4	375639	375640	chr4_375639_395605
chr4	501809	501810	chr4_501809_538373
chr4	501809	501810	chr4_501809_539792
chr4	501809	501810	chr4_501809_540874
chr4	649040	649041	chr4_649040_663103
chr4	649970	649971	chr4_649970_659983
chr4	649970	649971	chr4_649970_660608
chr4	778515	778516	chr4_778515_787614
chr4	778515	778516	chr4_778515_788978
chr4	915296	915297	chr4_915296_930715
chr4	1172468	1172469	chr4_1172468_1181628
chr4	878	879	chr4_878_5039
chr4	32477	32478	chr4_32477_43778
chr4	32811	32812	chr4_32811_43778
chr4	42773	42774	chr4_42773_43374
chr4	44773	44774	chr4_44773_46074
chr4	47709	47710	chr4_47709_56331
chr4	47709	47710	chr4_47709_56331
chr4	47709	47710	chr4_47709_57041
chr4	56496	56497	chr4_56496_60974
chr4	56496	56497	chr4_56496_63124
chr4	65224	65225	chr4_65224_67207
chr4	65576	65577	chr4_65576_65645
chr4	66196	66197	chr4_66196_67207
chr4	66196	66197	chr4_66196_67207
chr4	69325	69326	chr4_69325_101419
chr4	69325	69326	chr4_69325_108694
chr4	69325	69326	chr4_69325_109770
chr4	69325	69326	chr4_69325_110059
chr4	69652	69653	chr4_69652_110059
chr4	69652	69653	chr4_69652_114270
chr4	70404	70405	chr4_70404_110059
chr4	90354	90355	chr4_90354_110059
chr4	115073	115074	chr4_115073_129849
chr4	116388	116389	chr4_116388_129452
chr4	116388	116389	chr4_116388_129754
chr4	132219	132220	chr4_132219_140083
chr4	132219	132220	chr4_132219_140083
chr4	132219	132220	chr4_132219_140083
chr4	132219	132220	chr4_132219_143123
chr4	132219	132220	chr4_132219_143123
chr4	132673	132674	chr4_132673_132874
chr4	134765	134766	chr4_134765_143123
chr4	136271	136272	chr4_136271_140083
chr4	136271	136272	chr4_136271_143123
chr4	150763	150764	chr4_150763_153538
chr4	154653	154654	chr4_154653_156060
chr4	154716	154717	chr4_154716_156060
chr4	157574	157575	chr4_157574_175140
chr4	157574	157575	chr4_157574_175140
chr4	157574	157575	chr4_157574_175639
chr4	166544	166545	chr4_166544_175140
chr4	166544	166545	chr4_166544_175639
chr4	175454	175455	chr4_175454_175874
chr4	177347	177348	chr4_177347_179389
chr4	177437	177438	chr4_177437_179389
chr4	177437	177438	chr4_177437_179389
chr4	184075	184076	chr4_184075_193829
chr4	184224	184225	chr4_184224_189587
chr4	184224	184225	chr4_184224_193489
chr4	184224	184225	chr4_184224_193829
chr4	194731	194732	chr4_194731_195900
chr4	196674	196675	chr4_196674_205945
chr4	197691	197692	chr4_197691_205945
chr4	210223	210224	chr4_210223_213165
chr4	210223	210224	chr4_210223_213165
chr4	210223	210224	chr4_210223_213165
chr4	210223	210224	chr4_210223_213165
chr4	210223	210224	chr4_210223_213165
chr4	215008	215009	chr4_215008_225956
chr4	215008	215009	chr4_215008_227748
chr4	227921	227922	chr4_227921_230428
chr4	228575	228576	chr4_228575_229112
chr4	230729	230730	chr4_230729_245903
chr4	231425	231426	chr4_231425_241318
chr4	231425	231426	chr4_231425_245903
chr4	231849	231850	chr4_231849_245903
chr4	247123	247124	chr4_247123_253329
chr4	247123	247124	chr4_247123_253329
chr4	268174	268175	chr4_268174_276369
chr4	268313	268314	chr4_268313_276369
chr4	276522	276523	chr4_276522_278174
chr4	278684	278685	chr4_278684_305818
chr4	278684	278685	chr4_278684_305818
chr4	278684	278685	chr4_278684_306161
chr4	278684	278685	chr4_278684_306481
chr4	308092	308093	chr4_308092_310302
chr4	308092	308093	chr4_308092_310302
chr4	308092	308093	chr4_308092_310822
chr4	310929	310930	chr4_310929_313913
chr4	310929	310930	chr4_310929_313913
chr4	310929	310930	chr4_310929_314087
chr4	310929	310930	chr4_310929_314087
chr4	314922	314923	chr4_314922_321385
chr4	314922	314923	chr4_314922_331387
chr4	328192	328193	chr4_328192_358657
chr4	328815	328816	chr4_328815_358657
chr4	328815	328816	chr4_328815_358657
chr4	328815	328816	chr4_328815_358917
chr4	329516	329517	chr4_329516_358657
chr4	330855	330856	chr4_330855_358657
chr4	334669	334670	chr4_334669_358657
chr4	359937	359938	chr4_359937_372784
chr4	359937	359938	chr4_359937_374973
chr4	359937	359938	chr4_359937_375554
chr4	375639	375640	chr4_375639_388322
chr4	380723	380724	chr4_380723_381275
chr4	395395	395396	chr4_395395_395954
chr4	400702	400703	chr4_400702_400765
chr4	426066	426067	chr4_426066_426601
chr4	427330	427331	chr4_427330_431769
chr4	436956	436957	chr4_436956_443911
chr4	445503	445504	chr4_445503_453947
chr4	445503	445504	chr4_445503_453947
chr4	446092	446093	chr4_446092_453947
chr4	446577	446578	chr4_446577_453947
chr4	459767	459768	chr4_459767_461413
chr4	459886	459887	chr4_459886_466828
chr4	467496	467497	chr4_467496_471476
chr4	469408	469409	chr4_469408_486033
chr4	471285	471286	chr4_471285_481970
chr4	471285	471286	chr4_471285_482720
chr4	471285	471286	chr4_471285_483803
chr4	472894	472895	chr4_472894_481970
chr4	472894	472895	chr4_472894_483803
chr4	472894	472895	chr4_472894_486033
chr4	472894	472895	chr4_472894_488994
chr4	538331	538332	chr4_538331_557854
chr4	540559	540560	chr4_540559_557854
chr4	545267	545268	chr4_545267_557854
chr4	557024	557025	chr4_557024_557854
chr4	558015	558016	chr4_558015_565931
chr4	558222	558223	chr4_558222_565931
chr4	558222	558223	chr4_558222_567257
chr4	559663	559664	chr4_559663_567257
chr4	568295	568296	chr4_568295_570790
chr4	568295	568296	chr4_568295_571554
chr4	571754	571755	chr4_571754_578143
chr4	571754	571755	chr4_571754_580122
chr4	583107	583108	chr4_583107_589348
chr4	597623	597624	chr4_597623_598274
chr4	598554	598555	chr4_598554_607649
chr4	610683	610684	chr4_610683_620351
chr4	610683	610684	chr4_610683_620734
chr4	610683	610684	chr4_610683_620926
chr4	610683	610684	chr4_610683_620926
chr4	610683	610684	chr4_610683_622470
chr4	623218	623219	chr4_623218_626031
chr4	626125	626126	chr4_626125_626212
chr4	629690	629691	chr4_629690_635350
chr4	629692	629693	chr4_629692_635350
chr4	636130	636131	chr4_636130_646556
chr4	636130	636131	chr4_636130_646556
chr4	663620	663621	chr4_663620_669884
chr4	663620	663621	chr4_663620_669884
chr4	663620	663621	chr4_663620_669884
chr4	671141	671142	chr4_671141_687565
chr4	671141	671142	chr4_671141_690650
chr4	680269	680270	chr4_680269_687565
chr4	680592	680593	chr4_680592_689595
chr4	690685	690686	chr4_690685_696055
chr4	691277	691278	chr4_691277_696055
chr4	691600	691601	chr4_691600_696055
chr4	697688	697689	chr4_697688_721173
chr4	704650	704651	chr4_704650_721173
chr4	707428	707429	chr4_707428_721173
chr4	724399	724400	chr4_724399_776081
chr4	724399	724400	chr4_724399_776474
chr4	725355	725356	chr4_725355_776081
chr4	725657	725658	chr4_725657_776081
chr4	776474	776475	chr4_776474_777146
chr4	800435	800436	chr4_800435_804080
chr4	800435	800436	chr4_800435_807347
chr4	800435	800436	chr4_800435_834393
chr4	836985	836986	chr4_836985_844529
chr4	851173	851174	chr4_851173_851624
chr4	853556	853557	chr4_853556_867025
chr4	855399	855400	chr4_855399_867025
chr4	867823	867824	chr4_867823_871426
chr4	867823	867824	chr4_867823_904026
chr4	870929	870930	chr4_870929_893565
chr4	870929	870930	chr4_870929_904821
chr4	870929	870930	chr4_870929_912331
chr4	879373	879374	chr4_879373_884752
chr4	881470	881471	chr4_881470_883402
chr4	936818	936819	chr4_936818_944486
chr4	936818	936819	chr4_936818_946825
chr4	936818	936819	chr4_936818_946825
chr4	936818	936819	chr4_936818_949441
chr4	951541	951542	chr4_951541_958170
chr4	951541	951542	chr4_951541_958392
chr4	959223	959224	chr4_959223_959434
chr4	959674	959675	chr4_959674_962692
chr4	962340	962341	chr4_962340_969374
chr4	962340	962341	chr4_962340_976035
