ID	HYB_2_Z30_downsamp	HYB_2_ZHR_downsamp	HYB_1_Z30_downsamp	HYB_1_ZHR_downsamp	Z30_2_downsamp	Z30_1_downsamp	ZHR_3_downsamp	ZHR_1_downsamp	chrom	start	end	ZHR_1	ZHR_3	Z30_1	Z30_2	HYB_1_ZHR	HYB_2_ZHR	HYB_1_Z30	HYB_2_Z30
1	7	2	7	3	2	11	4	5	chrX	845842	846112	7	24	18	2	6	12	5	16
100	31	24	27	32	18	31	23	33	chrX	4853270	4853490	45	100	79	18	65	60	50	70
1000	78	59	115	126	62	65	129	96	chrX	8560053	8560353	141	442	210	62	293	274	153	172
1001	16	12	12	20	4	14	17	7	chrX	8568623	8568893	10	62	35	4	52	41	38	48
1002	100	106	156	221	91	140	133	137	chrX	8569023	8569413	213	436	392	91	527	383	259	287
1003	17	6	20	17	11	7	13	23	chrX	8570593	8570983	30	63	31	11	36	36	18	49
1004	11	9	12	17	19	12	11	24	chrX	8571533	8571803	37	39	34	19	37	24	18	23
1005	17	11	12	10	7	14	9	12	chrX	8571973	8572173	26	33	46	7	14	28	20	33
1006	10	6	12	4	7	5	6	8	chrX	8585302	8585552	10	29	23	7	12	24	15	23
1007	17	13	15	11	15	21	21	31	chrX	8587472	8587912	54	53	45	15	30	35	31	40
1008	116	82	118	106	122	151	115	175	chrX	8591312	8591562	262	377	428	122	290	268	208	244
1009	22	22	22	29	19	18	28	19	chrX	8592962	8593252	27	120	41	19	60	50	50	63
1010	10	12	8	4	3	9	14	13	chrX	8594322	8594562	21	41	29	3	9	22	19	24
1011	3	6	7	5	10	6	5	3	chrX	8595502	8595732	6	16	20	10	15	14	15	24
1012	7	4	5	12	4	4	7	9	chrX	8595752	8595952	16	20	20	4	17	11	13	19
1014	6	2	3	3	2	2	4	8	chrX	8608601	8608971	16	13	3	2	7	16	10	17
1015	11	9	5	16	6	2	6	8	chrX	8611322	8611673	20	39	12	6	25	17	15	25
1016	7	11	9	4	5	4	7	8	chrX	8615513	8615723	10	27	14	5	22	19	21	22
1017	17	25	30	36	30	37	41	51	chrX	8616494	8616774	78	151	110	30	104	77	56	45
1018	12	4	5	8	8	10	7	7	chrX	8618164	8618394	10	23	21	8	13	12	13	24
1019	19	16	20	17	17	27	19	21	chrX	8618644	8618974	34	57	74	17	54	54	40	54
1020	4	5	14	5	6	11	10	10	chrX	8618994	8619264	13	26	26	6	15	18	13	17
1022	6	3	3	9	10	7	5	3	chrX	8627412	8627622	6	30	18	10	14	5	9	9
1024	14	9	20	20	13	20	33	23	chrX	8637163	8637483	49	113	47	13	50	46	28	30
1026	6	3	1	3	4	1	7	2	chrX	8653138	8653358	3	15	4	4	14	3	10	10
1028	48	29	60	41	70	59	54	78	chrX	8667406	8667666	125	202	163	70	115	170	85	115
1029	76	56	110	82	84	71	104	95	chrX	8667716	8668066	166	372	197	84	186	242	124	197
103	5	2	1	3	5	1	3	1	chrX	4870521	4870761	5	14	2	5	4	7	10	15
1030	29	15	38	33	23	19	42	42	chrX	8669408	8669713	58	132	45	23	67	71	50	70
1031	4	1	8	3	3	6	8	5	chrX	8670136	8670436	6	27	18	3	11	24	7	16
1033	6	4	2	5	4	4	3	2	chrX	8672882	8673112	2	8	14	4	8	4	8	14
1034	10	5	3	2	7	3	2	2	chrX	8674312	8674572	2	12	6	7	9	11	8	20
1035	5	7	13	10	31	23	14	18	chrX	8678702	8679082	27	44	62	31	23	26	16	19
1036	12	9	5	11	11	9	13	10	chrX	8679722	8679962	20	43	27	11	22	10	13	26
