#chrom	strand	txStart	txEnd	cdsStart	cdsEnd	name2
chr4	-	1035287	1051378	1037277	1050519	CaMKII
chr4	-	1035287	1053703	1037277	1050519	CaMKII
chr4	-	1037154	1051378	1037277	1050519	CaMKII
chr4	+	254996	262519	255516	262129	RhoGAP102A
chr4	+	254996	262667	255516	262638	RhoGAP102A
chr4	+	254996	265075	255516	264958	RhoGAP102A
chr4	+	254996	265574	255516	264958	RhoGAP102A
chr4	-	375639	393410	375962	391531	dati
chr4	-	375639	395605	375962	391531	dati
chr4	+	501809	538373	521503	536968	zfh2
chr4	+	501809	539792	521503	538554	zfh2
chr4	+	501809	540874	521503	538554	zfh2
chr4	-	649040	663103	650256	658337	gw
chr4	-	649970	659983	650256	658337	gw
chr4	-	649970	660608	650256	658337	gw
chr4	-	778515	787614	778826	787146	MED26
chr4	-	778515	788978	778826	787146	MED26
chr4	-	915296	930715	915491	929899	eIF4G
chr4	-	1172468	1181628	1172882	1181138	pho
chr4	+	878	5039	929	4995	JYalpha
chr4	-	32477	43778	33017	43424	PlexB
chr4	-	32811	43778	33017	43424	PlexB
chr4	+	42773	43374	43374	43374	CR45124
chr4	+	44773	46074	46074	46074	CR44440
chr4	-	47709	56331	47993	55868	ci
chr4	-	47709	56331	50401	55868	ci
chr4	-	47709	57041	47993	52068	ci
chr4	+	56496	60974	60974	60974	CR43957
chr4	+	56496	63124	63124	63124	CR43957
chr4	-	65224	67207	66272	67180	RpS3A
chr4	-	65576	65645	65645	65645	snoRNA:CD-24
chr4	-	66196	67207	66272	67180	RpS3A
chr4	-	66196	67207	66272	67086	RpS3A
chr4	+	69325	101419	72429	99554	pan
chr4	+	69325	108694	72429	108492	pan
chr4	+	69325	109770	72429	108492	pan
chr4	+	69325	110059	72429	104413	pan
chr4	+	69652	110059	72429	108492	pan
chr4	+	69652	114270	72429	108492	pan
chr4	+	70404	110059	72429	108492	pan
chr4	+	90354	110059	91213	108492	pan
chr4	-	115073	129849	116868	129426	Ank
chr4	-	116388	129452	116868	129426	Ank
chr4	-	116388	129754	116868	129426	Ank
chr4	+	132219	140083	134717	139896	CG32000
chr4	+	132219	140083	136925	139896	CG32000
chr4	+	132219	140083	134528	139896	CG32000
chr4	+	132219	143123	134717	142795	CG32000
chr4	+	132219	143123	134528	142795	CG32000
chr4	-	132673	132874	132874	132874	CR43956
chr4	+	134765	143123	136925	142795	CG32000
chr4	+	136271	140083	136752	139896	CG32000
chr4	+	136271	143123	136752	142795	CG32000
chr4	+	150763	153538	151750	153268	CG32006
chr4	-	154653	156060	154778	155903	CG31997
chr4	-	154716	156060	154778	155903	CG31997
chr4	-	157574	175140	158457	174959	CG33978
chr4	-	157574	175140	158418	174959	CG33978
chr4	-	157574	175639	158457	174959	CG33978
chr4	-	166544	175140	167095	174959	CG33978
chr4	-	166544	175639	167095	174959	CG33978
chr4	+	175454	175874	175874	175874	CR45198
chr4	-	177347	179389	177440	179329	Arl4
chr4	-	177437	179389	177440	179329	Arl4
chr4	-	177437	179389	178817	179329	Arl4
chr4	-	184075	193829	184514	189179	CG2316
chr4	-	184224	189587	184514	189179	CG2316
chr4	-	184224	193489	184514	189179	CG2316
chr4	-	184224	193829	184514	189179	CG2316
chr4	+	194731	195900	195900	195900	CR44441
