chrom	start	end	Paste_locus	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	trans_reg_diff	perc_cis
chr4	44273	45273	chr4_44273_45273	20.6388824021989	17.0846466138474	21.8175730309863	16.972408697723	14.0217711366515	14.2357197935821	21.0406784291612	20.5563953100916	19.9323001174957	13.4157226399962	17.0659632126097	12.0668946404737	44273	45273	0.274718930542332	0.163128126435481	0.368726821443731	0.0623700253729718	-0.0940531506130195	0.735664624596029	1	1	0.943331010946578	P1	P1	0.745047321121594	Conserved/Ambiguous	NA	-0.094007890901399	79.6842794816561
chr4	55996	56996	chr4_55996_56996	8.11641442783105	5.12539398415423	19.1460334761716	11.1381432078807	8.79797404652644	11.8630998279851	13.2718125476248	16.2461833902337	13.9875790298215	10.3412862016637	12.7623724894299	9.95518807839077	55996	56996	0.0180510163418688	0.945045617260613	0.274406005083699	0.234482684156105	-0.257607540549511	0.447346065521524	1	1	0.83716773640462	Ambig	P1	0.0657821476478363	Conserved/Ambiguous	NA	-0.25635498874183	51.7004844508037
chr4	65696	66696	chr4_65696_66696	8.11641442783105	6.83385864553898	10.5748440711413	12.7293065232922	10.3101258357732	7.9087332186567	11.9770015673687	9.2835333658478	8.04285794214737	8.66432087166422	9.79437888723687	4.3742493071717	65696	66696	-0.192384610704705	0.471526580912723	0.249287952253563	0.374110409502419	-0.445761155129498	0.24709867470442	1	1	0.688915659890203	Ambig	Ambig	0.771736495749386	Conserved/Ambiguous	NA	-0.441672562958268	36.0784656670487
chr4	68825	69825	chr4_68825_69825	13.1022118620701	14.8880491920671	21.1496881422826	38.1879195698767	17.3210114040989	11.0722265061194	29.6188011733577	25.6954941376145	17.3096290494041	30.6046172724914	26.266743379408	17.9495057777046	68825	69825	-0.30356688038765	0.103970716305253	-0.029611360892205	0.855422062209361	-0.274635790743809	0.27062740138942	1	1	0.706289338848498	Ambig	P2	10.251703104519	Conserved/Ambiguous	NA	-0.273955519495445	9.75447679087777
chr4	135771	136771	chr4_135771_136771	10.203492423559	12.203319009891	19.5912900686408	11.1381432078807	10.7225308692041	13.4448464717164	12.3007043124327	10.2781976550458	11.7145974374755	15.5119293024956	12.6139728093202	18.1003419607105	135771	136771	0.173322215185004	0.450644313521764	-0.298413526105877	0.182842882669697	0.474770723817246	0.138612935607876	1	1	0.530327837963632	Ambig	P2	0.580812195233769	Conserved/Ambiguous	NA	0.471735741290881	38.7474920432721
chr4	307592	308592	chr4_307592_308592	75.5986029563692	64.1894579920268	78.1425319783285	60.4642059856382	59.7987298474844	56.1520058524626	86.914187049689	75.0971538344474	67.6649135567616	75.8826811824786	71.0834467725221	44.4966739867466	307592	308592	0.21120367189519	0.0366864563823155	0.181850629483394	0.0629939679515972	0.029259881015129	0.837871746119734	0.930226733889837	1	0.968333973467324	P1	P1	1.16141292716546	Conserved/Ambiguous	NA	0.029353042411796	86.1020207895048
chr4	466996	467996	chr4_466996_467996	25.9725261690593	19.5253104158257	27.3832804368501	29.7017152210152	20.0703782936384	14.2357197935821	33.0176799965299	29.8399286759394	21.3310580204778	34.9367777083235	23.0019504169957	20.5137208888052	466996	467996	0.129601472176034	0.451761638177093	0.0703630995023746	0.656687440284062	0.0591769820463405	0.801607572237606	1	1	0.960285629867151	Ambig	Ambig	1.84189544082918	Conserved/Ambiguous	NA	0.0592383726736594	54.2918983256628
chr4	610183	611183	chr4_610183_611183	15.0733410802577	10.7389207287041	18.2555202912334	21.7458986439576	14.0217711366515	9.49047986238804	22.6591921544813	23.2088334146195	15.7360264085492	20.9620666249941	19.7371574545834	11.0110413594322	610183	611183	-0.0264000451544359	0.8988393207908	0.174842271509404	0.355800097336399	-0.202331839282037	0.474012269773835	1	1	0.851485549240213	Ambig	P1	0.150993492171691	Conserved/Ambiguous	NA	-0.20124231666384	46.4901453044555
chr4	697188	698188	chr4_697188_698188	14.6095459700959	18.0609121346387	24.9343691782701	16.972408697723	15.9463279593292	15.0265931154477	21.2025298016932	21.2195048362235	19.5826106417501	27.110939501659	21.9631526562281	16.8936524966631	697188	698188	0.183311164653357	0.350259821590146	-0.0617238480389883	0.725678998802477	0.246184039477359	0.352160946354589	1	1	0.778393323492528	Ambig	Ambig	2.96985963249678	Conserved/Ambiguous	NA	0.245035012692345	20.1212926309071
chr4	704150	705150	chr4_704150_705150	35.7122234824566	33.1930277069036	30.5000765841339	21.7458986439576	30.9303775073195	30.0531862308955	21.6880839192893	32.6581441620003	34.2695686230627	18.0273772974949	21.6663532960088	27.6030214900835	704150	705150	0.183440729121114	0.218441227165946	0.27502243682206	0.0880446328267709	-0.091551457705809	0.67541616208308	1	1	0.928242313264642	P1	P1	0.667002777085422	Conserved/Ambiguous	NA	-0.091581707700946	75.0189109781876
chr4	958723	959723	chr4_958723_959723	21.3345750674416	17.0846466138474	16.1405514770052	33.4144296236421	31.7551875741814	32.0303695355596	17.641799605989	15.5830738641017	14.5121132434398	37.591972814156	31.3123325031361	23.6812807319296	958723	959723	-0.577401702553125	0.000438379110451415	-0.662388458054864	0.000110797427433473	0.0849126211727428	0.732695453164634	0.0235191164157926	0.00422526623573533	0.943331010946578	P2	P2	0.871696503059086	Cis	NA	0.0849867555017391	88.6286360638982
chr4	959174	960174	chr4_959174_960174	61.8006984290564	64.6775907524225	78.1425319783285	50.3868383213651	46.6017687776947	52.1976392431342	76.5556992076404	71.9473835853205	62.5944161584513	64.0041767616486	62.7730646863818	51.8876469540367	959174	960174	0.315832131299325	0.00313205229215264	0.166672911548858	0.101238683647565	0.149166375745825	0.315259164163166	0.124936565291921	1	0.742559822152952	P1	P1	1.89492178641604	Conserved/Ambiguous	NA	0.149159219750467	52.7726266682145
chr4	976294	977294	chr4_976294_977294	11.8267753091252	11.9592526296932	9.01644599749944	13.7900820668999	9.34784742443434	17.7946497419776	10.8440419596446	9.94664289197979	11.8894421753483	8.52457376083093	10.6847769678948	9.95518807839077	976294	977294	-0.221189151248721	0.344060306988495	0.113492359568371	0.659763064924	-0.337238575746153	0.328607909743853	1	1	0.757318183239353	Ambig	Ambig	1.94893429029	Conserved/Ambiguous	NA	-0.334681510817092	25.3232879174235
chr4	989224	990224	chr4_989224_990224	54.9597205541702	52.9624045029271	46.5293139130218	37.6575317980729	45.3645536774019	43.4980327026119	50.9831823475829	41.6101227647821	42.8369607788284	42.0638803608215	35.7643229064255	37.2565372024624	989224	990224	0.199322207531027	0.0963289119198993	0.162620297031773	0.200319794417623	0.0368355805573076	0.835100384102898	1	1	0.967885089052499	P1	P1	1.22569083422645	Conserved/Ambiguous	NA	0.036701910499254	81.5866425754186
chr4	1027780	1028780	chr4_1027780_1028780	15.5371361904194	18.0609121346387	16.0292373288879	12.7293065232922	13.6093661032206	10.2813531842537	23.1447462720773	20.3906179285586	17.6593185251497	9.78229775833057	11.426775368443	12.5194031894914	1027780	1028780	0.303770567315674	0.162247136541752	0.595695587855373	0.00423843723851583	-0.292955769579941	0.336595248483941	1	0.118616009846931	0.764948149895085	P1	P1	0.509942617519312	Conserved/Ambiguous	NA	-0.291925020539699	67.1115093792678
chr4	1028174	1029174	chr4_1028174_1029174	30.0307333829749	34.4133596078927	32.1697888058931	25.9890008183883	27.6311372398721	24.1216363169029	26.2199223501855	26.1928262822134	26.4015554187881	19.8440897383277	27.4539408202852	26.698004392048	1028174	1029174	0.217143937844316	0.154102082342561	0.0628732542950793	0.700570304774832	0.154437641914333	0.489346786732664	1	1	0.860521494976837	P1	Ambig	3.45367740669518	Conserved/Ambiguous	NA	0.154270683549237	28.9546440574165
chr4	1030983	1031983	chr4_1030983_1031983	9.39185098077592	11.2270534890998	14.6934675514806	19.0939597849384	9.48531576891131	9.88591652332088	15.0521776454769	19.2301762578276	16.2605606221675	11.7387573099967	12.0203740888816	11.6143860914559	1030983	1031983	-0.0852094335418383	0.71377926752547	0.356716344199206	0.10172391950982	-0.444735794028648	0.162823544465031	1	1	0.574631425674505	Ambig	P1	0.238871683138392	Conserved/Ambiguous	NA	-0.441925777741044	44.6653556579994
chr4	1031363	1032363	chr4_1031363_1032363	5.79743887702218	8.2982569267259	10.6861582192586	24.9282252747806	5.636202123556	8.69960654052237	11.9770015673687	15.7488512456347	11.1900632238572	7.12710265249799	9.05238048668862	8.44682624833156	1031363	1032363	-0.460140364785439	0.0681283310234664	0.457538196805831	0.0719218389516768	-0.924886531125176	0.0094538827724131	1	1	0.115018010368853	Ambig	P1	1.00568732402622	Conserved/Ambiguous	NA	-0.91767856159127	33.2702604161921
chr4	1230336	1231336	chr4_1230336_1231336	20.6388824021989	12.203319009891	24.7117408820355	16.4420209259191	19.2455682267766	25.3079462997014	22.0117866643533	21.5510595992895	23.0795053992055	24.5954915066597	18.5499600137062	20.2120485227934	1230336	1231336	-0.057839184297336	0.751488722219208	0.0503229244597243	0.777167206499214	-0.10874294745718	0.666980777217586	1	1	0.925209168528161	Ambig	Ambig	1.1493605532331	Conserved/Ambiguous	NA	-0.10816210875706	31.7524774663673
chrX	16751688	16752688	chrX_16751688_16752688	47.0752036814201	46.1285458573881	65.4527190929589	46.1437361469344	37.6663263866913	36.7756094667537	60.8561160720355	56.0327549581528	49.6559055558664	45.2780639099872	50.6042909173905	36.200683921421	16751688	16752688	0.274231877251649	0.0226370508761921	0.231685291909132	0.0462362182066154	0.0424389557637394	0.802910629712522	0.631225339746621	0.945546526432835	0.960285629867151	P1	P1	1.18363956119927	Conserved/Ambiguous	NA	0.042546585342517	84.4851788315353
chrX	5085258	5086258	chrX_5085258_5086258	26.7841676118425	30.2642311445298	30.5000765841339	35.0055929390537	17.5959480930529	17.3992130810447	38.6824780351502	43.2678965801121	32.521121244335	19.983836849161	27.8991398606141	19.9103761567815	5085258	5086258	0.223500142452017	0.163346581547352	0.52376497727037	0.000473423934504046	-0.300751661370509	0.173946429151269	1	0.0163273391281706	0.595506442180465	Ambig	P1	0.426718379714505	Conserved/Ambiguous	NA	-0.300264834818353	63.5614111997657
chrX	6290802	6291802	chrX_6290802_6291802	111.774621548988	102.019746922689	111.20283396916	78.4973902269688	102.551384979824	82.2508254740297	102.128216067698	95.15621699994	99.8363453253511	76.0224282933118	91.4142029475441	81.1498664571854	6290802	6291802	0.210415217584247	0.0109509206671362	0.178233998249796	0.0379555551176915	0.0321571430309364	0.790017140631369	0.350802314770792	0.803421672329542	0.957151363345401	Ambig	P1	1.18055600867658	Conserved/Ambiguous	NA	0.032181219334451	84.7058498411285
chrX	7165950	7166950	chrX_7165950_7166950	24.6970896161145	28.0676337227494	35.7318415456459	11.6685309796846	11.8222776250199	17.0037764201119	21.2025298016932	16.2461833902337	17.6593185251497	10.481033312497	13.6527705700878	15.3852906666039	7165950	7166950	0.781809079914833	1.43574741847621e-05	0.332352135852412	0.109177590903753	0.450913787035183	0.109850528753853	0.00112613750142903	1	0.47665675130386	P1	P1	2.3523516041492	Conserved/Ambiguous	NA	0.449456944062421	42.5106518190627
chrX	7167231	7168231	chrX_7167231_7168231	27.5958090546256	34.9014923682884	40.8522923590407	27.5801641337999	15.3964545814213	26.0988196215671	20.0695701939692	16.2461833902337	20.456834331114	14.8131937483291	13.5043708899781	20.5137208888052	7167231	7168231	0.402785904553636	0.00865400704272896	0.150437682481829	0.443391630727772	0.252947116115816	0.31204955471519	0.291548157089789	1	0.739251652341358	P1	Ambig	2.67742694455751	Conserved/Ambiguous	NA	0.252348222071807	37.349291715792
chrX	7280588	7281588	chrX_7280588_7281588	12.1746216417466	11.9592526296932	10.7974723673759	13.7900820668999	11.5473409360659	8.30416987958954	13.1099611750928	12.1017488519087	9.79130532087506	12.0182515316633	13.6527705700878	9.95518807839077	7280588	7281588	0.037311992215735	0.880255556093395	-0.0173801371880358	0.939773298236282	0.0552694382228161	0.873197845437583	1	1	0.975087496552589	Ambig	Ambig	2.14681804936614	Conserved/Ambiguous	NA	0.0546921294037708	24.1148752632842
chrX	7336851	7337851	chrX_7336851_7337851	159.42956911811	145.219496217703	189.456680095605	138.961596212607	126.608345263294	121.003618245448	211.05418978174	168.595597019057	137.427963967996	126.331388193298	125.249330012544	120.668946404737	7336851	7337851	0.245334467046637	0.000286317679419716	0.328531926851044	1.07937145832976e-06	-0.0831524104484843	0.385326757173857	0.0161275245658814	5.4839753063485e-05	0.801699891887525	P1	P1	0.746759894534912	Cis	NA	-0.083197459804407	79.7931693726711
chrX	7337205	7338205	chrX_7337205_7338205	157.458439899922	141.314434134538	153.947466846194	137.370432897195	131.282268975512	121.003618245448	178.84576664787	154.504519588753	133.056845521177	115.151619326634	120.500540249035	117.501386561612	7337205	7338205	0.149919717774919	0.0300262323082725	0.278059292301755	7.36313092523209e-05	-0.128112216318203	0.193530134115784	0.793957271486236	0.0028724535032638	0.623507126649179	P1	P1	0.539164566427161	Conserved/Ambiguous	NA	-0.128139574526836	68.4539803059301
chrX	11492634	11493634	chrX_11492634_11493634	74.0912688483434	75.4165114811266	105.525812415179	76.3758391397535	80.8313865524616	69.9922889851118	98.0819317543977	96.648213433737	88.9959715772394	80.0750945074774	97.6469895121494	72.8538763918597	11492634	11493634	0.115444323763304	0.206688399520206	0.124135891733011	0.152821167200281	-0.00877333301185744	0.942056419986227	1	1	0.989068677778519	Ambig	Ambig	0.929983441143673	Conserved/Ambiguous	NA	-0.00869156796970699	93.4564976329747
chrX	11493318	11494318	chrX_11493318_11494318	30.4945284931366	29.5320320039363	42.9672611732689	37.6575317980729	37.8037947311683	31.239496213694	38.8443294076822	50.2305466044979	39.6897554971186	38.2907083683225	52.5334867588159	42.9883121566874	11493318	11494318	-0.0352010855759391	0.796963789984069	-0.0383110653918579	0.754431068613221	0.00322323778924454	0.988411748681748	1	1	0.997025963522173	Ambig	Ambig	0.918822935773022	Conserved/Ambiguous	NA	0.0031099798159188	92.4917881711616
chrX	13624244	13625244	chrX_13624244_13625244	82.2076832761744	94.6977555167544	73.8012802017547	85.3924312604188	102.27644829087	105.97702513	65.5498058754638	62.1665180748737	78.8549767806188	91.5343575958075	100.169784074013	115.993024731553	13624244	13625244	-0.157976842459943	0.0653405401327545	-0.398363636439841	6.96912389486215e-06	0.240444371476927	0.053410630628841	1	0.000318295061312821	0.331662786969416	P2	P2	0.396564415044946	Conserved/Ambiguous	NA	0.240386793979898	62.3660850103954
chrX	14679067	14680067	chrX_14679067_14680067	23.0738067305483	15.8643147128583	19.8139183648753	12.1989187514884	10.5850625247271	13.0494098107836	10.0347850969846	8.95197860278181	8.56739215576568	6.8476084308314	5.49078816405703	7.54180915029604	14679067	14680067	0.494373400226304	0.0175515656326106	0.326302464897308	0.267827080927642	0.169637553484994	0.640487975747393	0.514332299218548	1	0.918628256194805	P1	P1	1.5150771244768	Conserved/Ambiguous	NA	0.168070935328996	66.0032406168981
chrX	15712127	15713127	chrX_15712127_15713127	86.0339929350091	96.1621537979413	124.115275150764	67.889634790892	66.9470837602871	71.1785989679103	116.371136850515	94.327330092275	99.8363453253511	67.4978545324809	81.6198240603073	71.4963507448064	15712127	15713127	0.396541118400046	8.20126584091114e-06	0.341770583171032	8.95301876225973e-05	0.0546914239054613	0.666552936023716	0.000668359021025174	0.00346285162624372	0.925070189762555	P1	P1	1.16025526457204	Cis	NA	0.054770535229014	86.1879304093354
