chrom	start	end	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	class
chr4	44273	45273	27.963990549428	23.1364269159936	29.6463956411328	23.0479469321022	18.8898158891131	19.2232421813467	28.6161641264685	28.0326526146213	27.083820861907	18.0619490987934	23.0135503784628	16.2973284604321	start
chr4	55996	56996	10.9970749351683	6.94092807479809	26.0162247463002	15.1252151741921	11.8524334990513	16.0193684844556	18.0501958336186	22.1548383567169	19.0061900785312	13.9227524303199	17.2101333265026	13.4452959798565	start
chr4	65696	66696	10.9970749351683	9.25457076639745	14.3694264587123	17.2859601990766	13.8895705067008	10.6795789896371	16.2892011181436	12.6599076324096	10.9285592951554	11.6650087929707	13.2077767389439	5.90778156690664	start
chr4	68825	69825	17.7524209667717	20.1617434553659	28.7388529174247	51.8578805972299	23.3344784512573	14.9514105854919	40.2827541164902	35.0408157682767	23.5201602221824	41.2038213816225	35.420855799895	24.2422760848928	start
chr4	135771	136771	13.8248942042116	16.5260192257097	26.6212532287723	15.1252151741921	14.4451533269688	18.155284282383	16.7294497970123	14.0163263073107	15.9176841907699	20.8841286454799	17.0100154971247	24.4459926906482	start
chr4	307592	308592	102.429897967568	86.9268611272332	106.182498673853	82.1083109456141	80.5595089388646	75.8250108264232	118.206770276258	102.409609955028	91.9424445048947	102.16289959005	95.8564402720322	60.0963986978435	start
chr4	466996	467996	35.1906397925386	26.4416307611356	37.209251672034	40.3339071311788	27.0383639197109	19.2232421813467	44.9053652446121	40.692560247031	28.9844398697601	47.0363257781078	31.0182635535803	27.7054583827346	start
chr4	610183	611183	20.4231391653126	14.5428969186246	24.806167781356	29.5301820067559	18.8898158891131	12.8154947875645	30.8174075208122	31.6497690810241	21.3819638383476	28.2217954668647	26.6156713072657	14.8713122201443	start
chr4	697188	698188	19.794734883303	24.4585084540504	33.8815950184375	23.0479469321022	21.4825357170306	20.2912000803104	28.8362884659029	28.936931731222	26.6086661099437	36.5001888038117	29.6174387479348	22.816259844605	start
chr4	704150	705150	48.3871297147406	44.9507722939305	41.4444510493387	29.5301820067559	41.6687115201024	40.5824001606209	29.496661484206	44.5357464925839	46.5651656924014	24.2707441015036	29.2172030891789	37.2801388532385	start
chr4	958723	959723	28.9065969724424	23.1364269159936	21.9322824896136	45.3756455225762	42.7798771606384	43.2522949080301	23.9935529983466	21.2505592401162	19.7189222064761	50.611086537244	42.2248619987449	31.983507103598	start
chr4	959174	960174	83.7348705777816	87.5879018962615	106.182498673853	68.4235924546784	62.7808586902876	70.4852213316047	104.118812552458	98.1142841511747	85.0527006014271	86.1705488254935	84.6498418268677	70.0785123798581	start
chr4	976294	977294	16.0243091912453	16.1954988411955	12.25182677006	18.726456882333	12.5932105927421	24.0290527266834	14.748330742103	13.5641867490103	16.1552615667515	11.4768634898583	14.4084837152115	13.4452959798565	start
chr4	989224	990224	74.4659074181397	71.7229234395802	63.2254764183342	51.1376322556017	61.1141102294835	58.7376844430039	69.3391669218275	56.7435145666932	58.2064571155018	56.6317362368418	48.228396880083	50.3180016215842	start
chr4	1027780	1028780	21.0515434473222	24.4585084540504	21.7810253689955	17.2859601990766	18.334233068845	13.8834526865282	31.4777805391153	27.8065828354712	23.9953149741456	13.1701712178702	15.4090728621012	16.9084782776983	start
chr4	1028174	1029174	40.6891772601228	46.6033742165014	43.7133078586091	35.2921687397815	37.2240489579581	32.5727159183931	35.6601429883684	35.7190251057272	35.8741837732276	26.7166330419652	37.0217984349185	36.0578392187061	start
chr4	1030983	1031983	12.7251867106948	15.2039376876529	19.9659399215792	25.928940298615	12.7784048661647	13.3494737370463	20.4715635673967	26.22409438142	22.0946959662925	15.8042054614442	16.209544179613	15.6861786431659	start
chr4	1031363	1032363	7.85505352512023	11.2376930734826	14.5206835793304	33.8516720565251	7.59296521032977	11.7475368886008	16.2892011181436	21.4766290192663	15.204952062825	9.595410458734	12.2071875920542	11.4081299223025	start
chr4	1230336	1231336	27.963990549428	16.5260192257097	33.5790807772014	22.327698590474	25.9271982791748	34.1746527668386	29.9369101630747	29.3890712895224	31.3602136295765	33.1135733477879	25.0147286722422	27.2980251712238	start
chrX	16751688	16752688	63.7830346239762	62.4683526731828	88.9391869233984	62.6616057216528	50.7432309178136	49.6600423018124	82.7667516273242	76.4115853527582	67.4719747787858	60.9590782084277	68.2401798178768	48.8919853812964	start
chrX	5085258	5086258	36.2903472860554	40.9845276797601	41.4444510493387	47.5363905474608	23.7048669981027	23.4950737772016	52.6097171248151	59.0042123581949	44.189391932585	26.9047783450777	37.6221519230523	26.890591959713	start
chrX	6290802	6291802	151.445431964318	138.157520726933	151.105863497406	106.596754560973	138.154927973317	111.067621492226	138.898458183089	129.764053232199	135.656681685516	102.351044893163	123.27258289681	109.599533896406	start
chrX	7165950	7166950	33.4625280170122	38.0098442191324	48.5535357183859	15.8454635158203	15.9267075143502	22.9610948277197	28.8362884659029	22.1548383567169	23.9953149741456	14.1108977334323	18.4108403027703	20.779093787051	start
chrX	7167231	7168231	37.3900547795723	47.2644149855298	55.511363266815	37.4529137646661	20.7417586233399	35.2426106658023	27.2954180898622	22.1548383567169	27.7965529898519	19.9434021299177	18.2107224733923	27.7054583827346	start
chrX	7280588	7281588	16.4956124027525	16.1954988411955	14.6719406999484	18.726456882333	15.5563189675049	11.2135579391189	17.8300714941842	16.5030938779626	13.3043330549718	16.1804960676691	18.4108403027703	13.4452959798565	start
chrX	7336851	7337851	216.013971940806	196.659628785946	257.439619291878	188.705065506587	170.563925822286	163.397558541447	287.042138622422	229.912965395725	186.735817521569	170.083354013638	168.899447994979	162.973284604321	start
chrX	7337205	7338205	213.343253742265	191.371302633719	209.188597814728	186.544320481702	176.860531118657	163.397558541447	243.237395074982	210.69703416796	180.796383122028	155.031729764643	162.495677454885	158.695235883458	start
chrX	11492634	11493634	100.387584051036	102.130798814886	143.391750345887	103.71576119446	108.894232772534	94.5142740582881	133.39534969723	131.79868124455	120.926884374655	107.807258683423	131.677531730683	98.3951205798589	start
chrX	11493318	11494318	41.3175815421324	39.9929665262175	58.3852485585575	51.1376322556017	50.9284251912362	42.1843370090664	52.8298414642495	68.4991430825021	53.9300643478323	51.5518130528062	70.8417115997899	58.0592326402894	start
chrX	13624244	13625244	111.384658986205	128.241909191507	100.28347096975	115.959983002139	137.784539426472	143.106358461137	89.150357470921	84.7761671813145	107.14739656772	123.235173538643	135.079534830108	156.658069825904	start
