chrom	center	center_1
chr4	44773	44774
chr4	56496	56497
chr4	56496	56497
chr4	66196	66197
chr4	66196	66197
chr4	69325	69326
chr4	69325	69326
chr4	69325	69326
chr4	69325	69326
chr4	136271	136272
chr4	136271	136272
chr4	308092	308093
chr4	308092	308093
chr4	308092	308093
chr4	467496	467497
chr4	610683	610684
chr4	610683	610684
chr4	610683	610684
chr4	610683	610684
chr4	610683	610684
chr4	697688	697689
chr4	704650	704651
chr4	959223	959224
chr4	959674	959675
chr4	976794	976795
chr4	989724	989725
chr4	989724	989725
chr4	1028280	1028281
chr4	1028674	1028675
chr4	1031483	1031484
chr4	1031863	1031864
chr4	1031863	1031864
chr4	1230836	1230837
chrX	16752188	16752189
chrX	16752188	16752189
chrX	16752188	16752189
chrX	5085758	5085759
chrX	5085758	5085759
chrX	5085758	5085759
chrX	5085758	5085759
chrX	6291302	6291303
chrX	6291302	6291303
chrX	7166450	7166451
chrX	7167731	7167732
chrX	7281088	7281089
chrX	7337351	7337352
chrX	7337351	7337352
chrX	7337705	7337706
chrX	11493134	11493135
chrX	11493818	11493819
chrX	13624744	13624745
chrX	13624744	13624745
chrX	13624744	13624745
chrX	14679567	14679568
chrX	14679567	14679568
chrX	15712627	15712628
chrX	15712627	15712628
chrX	17820763	17820764
chrX	17820774	17820775
chrX	18863949	18863950
chrX	18863949	18863950
chrX	2619798	2619799
chrX	4412855	4412856
chrX	4413461	4413462
chrX	4413461	4413462
chrX	4413461	4413462
chrX	4427134	4427135
chrX	4427134	4427135
chrX	4707915	4707916
chrX	4707915	4707916
chrX	4956645	4956646
chrX	5764552	5764553
chrX	5882479	5882480
chrX	6540770	6540771
chrX	6540770	6540771
chrX	6540770	6540771
chrX	6540770	6540771
chrX	6540770	6540771
chrX	6540770	6540771
chrX	6540770	6540771
chrX	6540770	6540771
chrX	6546118	6546119
chrX	6546118	6546119
chrX	6546118	6546119
chrX	6683797	6683798
chrX	6683840	6683841
chrX	6683840	6683841
chrX	6684354	6684355
chrX	6908276	6908277
chrX	6908276	6908277
chrX	7074549	7074550
chrX	8121279	8121280
chrX	8121279	8121280
chrX	8252669	8252670
chrX	8517372	8517373
chrX	8517372	8517373
chrX	8517372	8517373
chrX	8517429	8517430
chrX	8517429	8517430
chrX	8517487	8517488
chrX	8517487	8517488
chrX	8517508	8517509
chrX	8517740	8517741
chrX	8907067	8907068
chrX	8907067	8907068
chrX	9030204	9030205
chrX	9030204	9030205
chrX	9042643	9042644
chrX	9042643	9042644
chrX	9164162	9164163
chrX	10086526	10086527
chrX	10086526	10086527
chrX	10220109	10220110
chrX	10220109	10220110
chrX	10348679	10348680
chrX	10602640	10602641
chrX	10744501	10744502
chrX	10744501	10744502
chrX	10745433	10745434
chrX	10878053	10878054
chrX	10878053	10878054
chrX	10967721	10967722
chrX	11369664	11369665
chrX	11369664	11369665
chrX	11622014	11622015
chrX	11622014	11622015
chrX	11622014	11622015
chrX	11622014	11622015
chrX	11792532	11792533
chrX	11792532	11792533
chrX	11792713	11792714
chrX	11792878	11792879
chrX	11792878	11792879
chrX	12203797	12203798
chrX	12203797	12203798
chrX	12785562	12785563
chrX	13095570	13095571
chrX	13846115	13846116
chrX	15069126	15069127
chrX	15071462	15071463
chrX	15071462	15071463
chrX	15071462	15071463
chrX	15071462	15071463
chrX	15333309	15333310
chrX	15333309	15333310
chrX	15334219	15334220
chrX	15334477	15334478
chrX	15334477	15334478
chrX	15334477	15334478
chrX	15334555	15334556
chrX	15334565	15334566
chrX	15462721	15462722
chrX	15462721	15462722
chrX	15464581	15464582
chrX	15465326	15465327
chrX	15465564	15465565
chrX	15465739	15465740
chrX	15466183	15466184
chrX	15466183	15466184
chrX	15987007	15987008
chrX	15987165	15987166
chrX	15987165	15987166
chrX	16458866	16458867
chrX	16458866	16458867
chrX	16640967	16640968
chrX	16640967	16640968
chrX	16645866	16645867
chrX	16969068	16969069
chrX	17282495	17282496
chrX	17422319	17422320
chrX	18085760	18085761
chrX	18085760	18085761
chrX	18479982	18479983
chrX	18480100	18480101
chrX	18930334	18930335
chrX	18930334	18930335
chrX	18930334	18930335
chrX	18930358	18930359
chrX	19136106	19136107
chrX	19261819	19261820
chrX	19261819	19261820
chrX	19266655	19266656
chrX	19353180	19353181
chrX	19353180	19353181
chrX	19522026	19522027
chrX	19522098	19522099
chrX	19522098	19522099
chrX	19659441	19659442
chrX	19659441	19659442
chrX	19659441	19659442
chrX	21093843	21093844
chrX	21093843	21093844
chrX	21363027	21363028
chrX	21363027	21363028
chrX	21624795	21624796
chrX	21624795	21624796
chrX	21624795	21624796
chrX	21624795	21624796
chrX	21624795	21624796
chrX	21631890	21631891
chrX	2089335	2089336
chrX	2633951	2633952
chrX	2633951	2633952
chrX	2633951	2633952
chrX	2634214	2634215
chrX	2948033	2948034
chrX	2948033	2948034
chrX	3780142	3780143
chrX	4530230	4530231
chrX	4530230	4530231
chrX	4540907	4540908
chrX	4540907	4540908
chrX	4542629	4542630
chrX	4549069	4549070
chrX	4551972	4551973
chrX	4570990	4570991
chrX	4617563	4617564
chrX	4617563	4617564
chrX	4636317	4636318
chrX	4647870	4647871
chrX	4648591	4648592
chrX	4648591	4648592
chrX	4650014	4650015
chrX	4650049	4650050
chrX	4667289	4667290
chrX	4667289	4667290
chrX	4679987	4679988
chrX	4680403	4680404
chrX	4687799	4687800
chrX	4688202	4688203
chrX	4688202	4688203
chrX	4702283	4702284
chrX	4702324	4702325
chrX	4702324	4702325
chrX	4702324	4702325
chrX	4906899	4906900
chrX	4909101	4909102
chrX	4909101	4909102
chrX	4912380	4912381
chrX	4912380	4912381
chrX	4918729	4918730
chrX	4918871	4918872
chrX	4939127	4939128
chrX	4939127	4939128
chrX	4939127	4939128
chrX	4939127	4939128
chrX	4939436	4939437
chrX	4939580	4939581
chrX	4959928	4959929
chrX	5048272	5048273
chrX	5048272	5048273
chrX	5063843	5063844
chrX	5064232	5064233
chrX	5064232	5064233
chrX	5131897	5131898
chrX	5296065	5296066
chrX	5296065	5296066
chrX	5309241	5309242
chrX	5312170	5312171
chrX	5312353	5312354
chrX	5317408	5317409
chrX	5318927	5318928
chrX	5318927	5318928
chrX	5323854	5323855
chrX	5326674	5326675
chrX	5329875	5329876
chrX	5332498	5332499
chrX	5332741	5332742
chrX	5421532	5421533
chrX	5421967	5421968
chrX	5421967	5421968
chrX	5422182	5422183
chrX	5422391	5422392
chrX	5427516	5427517
chrX	5428482	5428483
chrX	5429570	5429571
chrX	5430564	5430565
chrX	5433438	5433439
chrX	5500207	5500208
chrX	5500207	5500208
chrX	5516607	5516608
chrX	5516992	5516993
chrX	5517258	5517259
chrX	5524301	5524302
chrX	5594254	5594255
chrX	5594254	5594255
chrX	5613324	5613325
chrX	5616571	5616572
chrX	5616571	5616572
chrX	5619135	5619136
chrX	5619135	5619136
chrX	5622279	5622280
chrX	5622647	5622648
