2	chr3R-reg23876	HLHmgamma
4	chr3R-reg23904	HLHm7
9	chr3R-reg5253	neur
26	chr2L-reg6468	CG8965
35	chr3L-reg7506	bin CG32388
51	chr3R-reg23896	m4
56	chr2L-reg10682	CG3841 gcm
61	chr3R-reg23908	E(spl)
83	chr2L-reg4854	Traf4
90	chr2R-reg11943	chn
100	chr2L-reg4840	Traf4
108	chr3R-reg11866	CG42788
152	chr2R-reg11217	phyl
167	chr3L-reg22693	siz
189	chr2L-reg19485	qua
222	chr2L-reg17237	sna
235	chr2R-reg15948	edl
247	chr3R-reg5260	neur
301	chr3R-reg13313	ss
302	chr3L-reg9466	Fhos
392	chr2R-reg4206	dpn pnut
432	chr2L-reg10681	gcm
471	chr3L-reg5984	CG10630
472	chr2L-reg4848	Traf4
474	chr3L-reg1667	rho
482	chr2L-reg6471	CG8965
520	chr2L-reg12919	salr
552	chr3L-reg24605	nrm
622	chr2R-reg4204	dpn pnut
654	chr2R-reg12673	Poxn
693	chr2L-reg17238	Tim17b2 sna
784	chr2R-reg11948	chn
796	chr3R-reg5266	hyx neur
827	chr3L-reg22840	CG42337
846	chr2R-reg12675	Poxn
858	chr3R-reg19656	CG5388
1003	chr3L-reg22705	siz
1073	chr2R-reg14603	veil CG6520
1105	chr3R-reg4449	ato CG9630
1109	chr3R-reg20018	loco
1262	chr2R-reg11957	chn
1368	chr3L-reg9451	Fhos CG13306
1578	chr3R-reg23897	m4
1596	chr3R-reg12512	pxb
1657	chr3R-reg23903	HLHm7
1693	chr3R-reg14970	CG42457 cpo
1802	chr2L-reg20022	rdo
1824	chr2R-reg11956	chn
1837	chr3R-reg14975	CG42457 cpo
1867	chr2R-reg22805	CG33988
1889	chr2L-reg20026	rdo
1955	chr3R-reg8643	CG4702
2029	chr3R-reg14966	CG42457 cpo
2353	chr3L-reg24600	nrm
2384	chr2L-reg15672	CG16884 Ance-3
2397	chrX-reg604	sdk
2460	chr2R-reg19705	a
2497	chr3R-reg15003	CG42457 cpo
2522	chr3R-reg15025	CG42457 cpo
2731	chr3L-reg22709	siz
2827	chr2L-reg4091	CG34340
2907	chr2L-reg4105	CG34340
2943	chr3L-reg16924	CG32150
2989	chr2L-reg12914	salr
3004	chrX-reg16196	CG5321
3104	chr3L-reg18533	CG13724 CG6485
3286	chrX-reg244	CG32816 ac
3324	chr3R-reg20013	loco
3489	chr2L-reg8244	CG6055 Gr28b
3544	chr3L-reg7298	CG32392
3604	chr2L-reg5362	pog
3633	chr2L-reg20046	rdo
3697	chr2L-reg4088	CG34340
3703	chr3R-reg17043	Hs6st mira
3816	chr2R-reg15949	edl
3831	chr3L-reg9468	Fhos
3843	chr3L-reg9462	Fhos
3944	chr3R-reg12515	pxb
4067	chrX-reg633	sdk
4343	chr2R-reg11946	chn
4569	chr3R-reg13318	ss
4604	chr2R-reg2820	Spn43Aa
4682	chr2L-reg4855	Traf4
4720	chr3R-reg28154	CG9747 CG15531
4833	chr3R-reg11846	CG42788
4934	chr3R-reg15005	CG42457 cpo
