chrom	start	end	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	class
chr2R	13422477	13423477	4.78223590650171	6.67216884711797	5.07378089222234	9.78056015862871	10.2489139667979	7.7858764201738	6.89145766232985	4.98738938593766	8.51752707442376	6.25154145871048	10.2320785895862	11.5361801848801	start
chr2R	13432527	13433527	29.291194927323	32.1477226270229	38.5607347808898	20.5591366599746	21.3016643231487	17.7677692665505	39.2604254702428	28.6774889691415	39.3935627192099	18.5529617484311	20.4641571791724	19.8678658739602	start
chr2R	13438813	13439813	24.7082188502588	19.6121326718316	25.1659532254228	17.3654843632795	16.8805641806084	18.3666828373331	31.3248075560448	21.4457743595319	27.1496175497257	18.1496364930304	12.9405699809473	15.0611241302601	start
chr2R	13450085	13451085	72.1320582564008	70.3610532968804	71.8447374338683	46.3079583020788	40.191819477639	58.8931677936224	74.9707060841338	85.034989030237	77.1900891119653	55.2555599898927	48.752845044499	48.3878668865804	start
chr2R	13476841	13477841	29.0919350978854	24.2624321713381	26.1807094038673	45.509545227905	50.8426516392133	45.1181556656226	25.2686780952095	44.3877655348451	31.9407265290891	37.7109113799632	52.6651103875761	53.5150580798605	start
chr2R	13483011	13484011	39.054926569764	39.2242653436632	47.69354038689	33.7329523838419	34.7659238481577	37.1326413885212	39.6780895709901	37.9041593331262	33.5377628555435	39.7275376569666	27.3858574015396	36.8516867017003	start
chr2R	13485116	13486116	31.6823128805738	30.3280402141726	38.9666372522676	33.5333491152984	33.9620874586049	27.3503863990721	38.8427613694955	36.6573119866418	26.6172721075742	32.4676830597544	40.9283143583448	34.9289900042203	start
chr2R	13486133	13487133	7.97039317750285	11.1202814118633	8.32100066324464	13.1738157238672	11.6556276485153	10.7804442740868	12.9475871231652	12.4684734648441	12.5101178905599	10.6881192681179	11.7367960292312	20.1883153235402	start
chr2R	13509117	13510117	30.686013733386	21.0274412151597	29.0220267035118	17.3654843632795	14.0671368171736	20.3630614066084	23.5980216922204	21.196404890235	35.134799181998	18.3512991207308	17.7556657878114	21.7905625714402	start
chr2R	13536870	13537870	11.5570701073791	9.70497286853522	15.221342676667	13.1738157238672	13.0623413302327	14.1742878418549	11.2769307201761	8.47856195609402	13.8409814959386	14.7213718221247	15.0471743964503	17.3042702773202	start
