chrom	center	center_1
chr4	1051378	1051379
chr4	1051378	1051379
chr4	787614	787615
chr4	930715	930716
chr4	43778	43779
chr4	43778	43779
chr4	43374	43375
chr4	156060	156061
chr4	156060	156061
chr4	175140	175141
chr4	175140	175141
chr4	175140	175141
chr4	193829	193830
chr4	193489	193490
chr4	193829	193830
chr4	278174	278175
chr4	305818	305819
chr4	305818	305819
chr4	306161	306162
chr4	306481	306482
chr4	358657	358658
chr4	358657	358658
chr4	358657	358658
chr4	358917	358918
chr4	358657	358658
chr4	358657	358658
chr4	358657	358658
chr4	395954	395955
chr4	400765	400766
chr4	443911	443912
chr4	488994	488995
chr4	807347	807348
chr4	834393	834394
chr4	867025	867026
chr4	867025	867026
chr4	959434	959435
chr4	1027101	1027102
chr4	1027101	1027102
chr4	1027101	1027102
chr4	1027101	1027102
chr4	1029359	1029360
chr4	1029359	1029360
chr4	1029361	1029362
chr4	1030975	1030976
chr4	1031676	1031677
chr4	1031757	1031758
chr4	1034557	1034558
chr4	1034557	1034558
chr4	1060918	1060919
chr4	1060918	1060919
chr4	1122965	1122966
chr4	1122965	1122966
chr4	1123357	1123358
chr4	1196848	1196849
chrX	8389504	8389505
chrX	16782545	16782546
chrX	16783434	16783435
chrX	6293153	6293154
chrX	6294177	6294178
chrX	7405797	7405798
chrX	7405797	7405798
chrX	7405797	7405798
chrX	9500129	9500130
chrX	9495899	9495900
chrX	9496189	9496190
chrX	9500129	9500130
chrX	10486632	10486633
chrX	10487205	10487206
chrX	14680931	14680932
chrX	18884075	18884076
chrX	2545410	2545411
chrX	2545410	2545411
chrX	2545410	2545411
chrX	4611385	4611386
chrX	4906260	4906261
chrX	4906260	4906261
chrX	4906575	4906576
chrX	5648487	5648488
chrX	5648487	5648488
chrX	5648487	5648488
chrX	5648487	5648488
chrX	5648487	5648488
chrX	5789576	5789577
chrX	5770780	5770781
chrX	5899989	5899990
chrX	6192483	6192484
chrX	6192483	6192484
chrX	6554814	6554815
chrX	6585638	6585639
chrX	6585638	6585639
chrX	6966944	6966945
chrX	6968829	6968830
chrX	7098053	7098054
chrX	7098053	7098054
chrX	7098053	7098054
chrX	7098053	7098054
chrX	7098053	7098054
chrX	7098053	7098054
chrX	8129285	8129286
chrX	8135713	8135714
chrX	8805804	8805805
chrX	10366273	10366274
chrX	10748806	10748807
chrX	10749097	10749098
chrX	10748806	10748807
