chrom	start	end
chr2L	42835	44159
chr2L	46805	47720
chr2L	160420	161959
chr2L	167651	168903
chr2L	171842	173448
chr2L	245184	246511
chr2L	312956	313838
chr2L	335825	336530
chr2L	339105	340410
chr2L	380008	382529
chr2L	382826	384091
chr2L	384546	385298
chr2L	410918	412243
chr2L	432225	433706
chr2L	444508	445696
chr2L	495159	496177
chr2L	506435	508345
chr2L	508925	511954
chr2L	512635	516112
chr2L	516552	519278
chr2L	519591	522642
chr2L	526441	527381
chr2L	527620	528451
chr2L	529037	538317
chr2L	584099	585546
chr2L	590270	591971
chr2L	641278	645793
chr2L	646233	649716
chr2L	650238	653507
chr2L	653819	656772
chr2L	657790	664000
chr2L	664348	671657
chr2L	672414	674870
chr2L	675174	676023
chr2L	678513	679318
chr2L	681097	682308
chr2L	682930	685459
chr2L	685734	687070
chr2L	695954	698547
chr2L	698815	704080
chr2L	704538	708711
chr2L	723188	724322
chr2L	737733	741094
chr2L	827763	828217
chr2L	837700	842164
chr2L	930837	933132
chr2L	934240	938307
chr2L	939503	940287
chr2L	943594	945751
chr2L	947808	949774
chr2L	950916	952302
chr2L	954759	955602
chr2L	1022464	1023915
chr2L	1039955	1041196
chr2L	1053082	1054144
chr2L	1055351	1056948
chr2L	1059900	1061087
chr2L	1061486	1063324
chr2L	1064475	1067196
chr2L	1068855	1071519
chr2L	1072089	1074551
chr2L	1088961	1090090
chr2L	1091226	1093549
chr2L	1094669	1096430
chr2L	1120853	1123606
chr2L	1124197	1127842
chr2L	1136180	1138369
chr2L	1138580	1139923
chr2L	1161029	1162281
chr2L	1190128	1191176
chr2L	1191997	1194413
chr2L	1275930	1276953
chr2L	1287159	1288288
chr2L	1384494	1385828
chr2L	1386356	1387916
chr2L	1389325	1398328
chr2L	1398889	1401068
chr2L	1401834	1404351
chr2L	1405090	1406019
chr2L	1407755	1408597
chr2L	1409511	1411094
chr2L	1412692	1413869
chr2L	1414467	1415501
chr2L	1416452	1417944
chr2L	1418174	1419142
chr2L	1556647	1557331
chr2L	1559475	1561303
chr2L	1562455	1563165
chr2L	1565456	1566402
chr2L	1568108	1570868
chr2L	1573553	1574489
chr2L	1574803	1575686
chr2L	1589522	1590807
chr2L	1591036	1592484
chr2L	1598931	1606057
chr2L	1654120	1655831
chr2L	1656637	1660981
chr2L	1661889	1664096
chr2L	1665219	1666334
chr2L	1671897	1675470
chr2L	1739875	1740662
chr2L	1741488	1745394
chr2L	1745643	1746749
chr2L	1848548	1854535
chr2L	1855271	1857399
chr2L	1863609	1868227
chr2L	1900733	1902242
chr2L	1902488	1903834
chr2L	1914963	1922873
chr2L	1928852	1929773
chr2L	1930580	1932819
chr2L	1933076	1935846
chr2L	1936132	1937378
chr2L	1955760	1958981
chr2L	1959320	1962630
chr2L	1963831	1965013
chr2L	1965446	1966467
chr2L	2024811	2029160
chr2L	2033059	2034712
chr2L	2064552	2069302
chr2L	2094571	2096321
chr2L	2133899	2135063
chr2L	2172797	2173875
chr2L	2174317	2176671
chr2L	2193976	2197136
chr2L	2232390	2233209
chr2L	2314092	2316135
chr2L	2316888	2319035
chr2L	2320789	2323036
chr2L	2323426	2325393
chr2L	2325995	2328984
chr2L	2340354	2341231
chr2L	2345134	2347098
chr2L	2348806	2351194
chr2L	2352193	2353800
chr2L	2354020	2355653
chr2L	2377476	2379298
chr2L	2395351	2399438
chr2L	2403028	2407410
chr2L	2429303	2435383
chr2L	2436037	2437177
chr2L	2437604	2440005
chr2L	2440517	2442514
chr2L	2443227	2445432
chr2L	2681465	2682953
chr2L	2689498	2692525
chr2L	2696942	2699681
chr2L	2700073	2701078
chr2L	2710139	2712974
chr2L	2755177	2755924
chr2L	2817621	2818831
chr2L	2819147	2821509
chr2L	2892841	2897324
chr2L	2898455	2900778
chr2L	2902270	2905303
chr2L	2906312	2909889
chr2L	2911467	2913032
chr2L	2913429	2914600
chr2L	2923922	2926584
chr2L	2929416	2932912
chr2L	2936689	2940883
chr2L	2941433	2943136
chr2L	2947706	2949197
chr2L	2960723	2962101
chr2L	2995624	2996609
chr2L	3002614	3007047
chr2L	3008218	3009508
chr2L	3058587	3059538
chr2L	3081088	3083106
chr2L	3083333	3084381
chr2L	3092375	3093461
chr2L	3100574	3103131
chr2L	3103531	3105271
chr2L	3114615	3115683
chr2L	3120878	3123269
chr2L	3123530	3126804
chr2L	3131020	3132557
chr2L	3147133	3149625
chr2L	3176394	3177730
chr2L	3178086	3180309
chr2L	3182061	3184198
chr2L	3296321	3298781
chr2L	3312447	3315376
chr2L	3335947	3337011
chr2L	3337244	3341858
chr2L	3342181	3342692
chr2L	3344785	3347170
chr2L	3347548	3352351
chr2L	3352680	3353723
chr2L	3360139	3361722
chr2L	3418978	3419985
chr2L	3450525	3451445
chr2L	3481638	3483475
chr2L	3483709	3484883
chr2L	3485197	3486203
chr2L	3486452	3488786
chr2L	3495463	3496298
chr2L	3496541	3497616
chr2L	3501625	3503649
chr2L	3504638	3506421
chr2L	3541828	3544778
chr2L	3545059	3545919
chr2L	3648151	3649794
chr2L	3675224	3677078
chr2L	3681299	3682960
chr2L	3683731	3684966
chr2L	3686413	3688312
chr2L	3722780	3724252
chr2L	3746176	3748034
chr2L	3748382	3749302
chr2L	3749565	3752483
chr2L	3790646	3791268
chr2L	3791617	3794784
chr2L	3795363	3799847
chr2L	3881959	3883278
chr2L	3884729	3887745
chr2L	3897639	3899883
chr2L	3915912	3917994
chr2L	3918585	3919854
chr2L	3923804	3925632
chr2L	3928493	3930191
chr2L	3932168	3935399
chr2L	3935634	3937089
chr2L	3941611	3943510
chr2L	3955744	3958200
chr2L	3977818	3980226
chr2L	3983557	3985087
chr2L	4034881	4036219
chr2L	4036524	4038371
chr2L	4039131	4042081
chr2L	4042626	4048945
chr2L	4049208	4053353
chr2L	4053635	4058320
chr2L	4059198	4062038
chr2L	4062369	4064822
chr2L	4068851	4072446
chr2L	4079142	4084357
chr2L	4088444	4090803
chr2L	4091109	4093907
chr2L	4094289	4096592
chr2L	4097082	4102954
chr2L	4103329	4105547
chr2L	4106287	4112218
chr2L	4286438	4288279
chr2L	4289253	4292334
chr2L	4294100	4299127
