chrom	center	center_1
chr4	375639	375640
chr4	375639	375640
chr4	501809	501810
chr4	501809	501810
chr4	501809	501810
chr4	649040	649041
chr4	649970	649971
chr4	649970	649971
chr4	42773	42774
chr4	136271	136272
chr4	136271	136272
chr4	175454	175455
chr4	184075	184076
chr4	184224	184225
chr4	184224	184225
chr4	184224	184225
chr4	210223	210224
chr4	210223	210224
chr4	210223	210224
chr4	210223	210224
chr4	210223	210224
chr4	231425	231426
chr4	231425	231426
chr4	231849	231850
chr4	276522	276523
chr4	308092	308093
chr4	308092	308093
chr4	308092	308093
chr4	314922	314923
chr4	314922	314923
chr4	359937	359938
chr4	359937	359938
chr4	359937	359938
chr4	375639	375640
chr4	380723	380724
chr4	395395	395396
chr4	400702	400703
chr4	445503	445504
chr4	445503	445504
chr4	472894	472895
chr4	472894	472895
chr4	472894	472895
chr4	472894	472895
chr4	557024	557025
chr4	558015	558016
chr4	558222	558223
chr4	558222	558223
chr4	559663	559664
chr4	583107	583108
chr4	610683	610684
chr4	610683	610684
chr4	610683	610684
chr4	610683	610684
chr4	610683	610684
chr4	671141	671142
chr4	671141	671142
chr4	680269	680270
chr4	680592	680593
chr4	690685	690686
chr4	697688	697689
chr4	704650	704651
chr4	725355	725356
chr4	725657	725658
chr4	836985	836986
chr4	853556	853557
chr4	879373	879374
chr4	936818	936819
chr4	936818	936819
chr4	936818	936819
chr4	936818	936819
chr4	959223	959224
chr4	959674	959675
chr4	989724	989725
chr4	989724	989725
chr4	1027862	1027863
chr4	1028280	1028281
chr4	1028674	1028675
chr4	1029710	1029711
chr4	1029710	1029711
chr4	1029710	1029711
chr4	1031483	1031484
chr4	1031863	1031864
chr4	1031863	1031864
chr4	1060968	1060969
chr4	1064905	1064906
chr4	1064905	1064906
chr4	1088797	1088798
chr4	1088797	1088798
chr4	1098524	1098525
chr4	1112873	1112874
chr4	1115254	1115255
chr4	1124166	1124167
chr4	1124166	1124167
chr4	1231882	1231883
chrX	8385780	8385781
chrX	16752188	16752189
chrX	16752188	16752189
chrX	16752188	16752189
