5	chrX-reg270	sc CG32816
22	chr2L-reg6473	CG8965
78	chr3R-reg4450	ato
92	chr2L-reg2823	CG3227 CG9883
131	chr2R-reg11956	chn
162	chr3L-reg9478	Fhos
185	chr3R-reg5256	neur
189	chr3L-reg1885	Bro CG17249
259	chr2R-reg4203	dpn pnut
265	chr3R-reg5266	hyx neur
333	chr2R-reg19390	CG9294
345	chr3L-reg22715	siz CG43072
377	chr2L-reg6468	CG8965
391	chrX-reg244	CG32816 ac
402	chr2L-reg4848	Traf4
443	chr3R-reg27462	CG18110 Obp99a
492	chr2L-reg10681	gcm
495	chr3L-reg4380	scrt
514	chr3R-reg14982	CG42457 cpo
521	chr2L-reg4855	Traf4
652	chr2R-reg11217	phyl
742	chr2L-reg17237	sna
765	chr3L-reg5987	CG10630
766	chr2L-reg17239	Tim17b2 sna
779	chr3L-reg15993	Brd
1009	chr2L-reg17238	Tim17b2 sna
1018	chr3R-reg15014	CG42457 cpo
1068	chr2L-reg5353	pog
1069	chr3R-reg5726	CG9363
1096	chr3R-reg8645	CG4702 tRNA:K5:87BC
1219	chrX-reg4914	peb
1283	chr3R-reg5251	neur
1345	chr3L-reg9468	Fhos
1347	chr3R-reg14965	CG42457 cpo
1436	chr3R-reg19175	glec
1533	chr2L-reg19485	qua
1619	chr2R-reg19706	a
1671	chr2L-reg4844	Traf4
1672	chr2L-reg4840	Traf4
1785	chr2R-reg11955	chn
1809	chrX-reg603	sdk
1830	chr3L-reg4927	CG11347
1869	chr2R-reg12813	Strn-Mlck
1881	chr3L-reg22686	siz
1995	chr3R-reg12512	pxb
2062	chr3R-reg12515	pxb
2113	chr2L-reg20026	rdo
2234	chr3L-reg4544	Ack
2287	chr2R-reg19705	a
2330	chr3L-reg16925	CG32150
2341	chrX-reg19744	unc-4
2377	chr3R-reg15458	CG31122 CG10864
2517	chr2R-reg19703	a
2628	chr3L-reg9471	Fhos
2676	chr3L-reg9467	Fhos
2769	chr2L-reg4854	Traf4
2832	chr3L-reg7301	CG32392
2860	chr2L-reg8248	CG6055
2932	chrX-reg14066	Pde9
3160	chr3R-reg12513	pxb
3246	chr3R-reg4448	ato CG9630
3249	chr2R-reg5087	CG8170
3399	chrX-reg14765	CG1673
3517	chr3R-reg24012	CG6142
3641	chr2R-reg11957	chn
3670	chr2L-reg10469	Aldh
3691	chr3R-reg13311	ss
3758	chr2L-reg15183	CG42784
3796	chr3R-reg20019	loco
3797	chr3R-reg23406	CG4582 msi
3835	chr3L-reg1667	rho
3951	chr3L-reg4384	scrt
4061	chr3L-reg22716	siz
4219	chr3R-reg14967	CG42457 cpo
4377	chr3R-reg8491	Tk Ect3
4379	chr3R-reg11848	CG42788
4422	chr2L-reg23631	Tsp39D
4430	chr2L-reg20018	rdo
4468	chr3R-reg14953	cpo
4558	chr3R-reg23874	HLHmdelta CG43116
4702	chr2L-reg6471	CG8965
4740	chr2L-reg15180	CG42784
4743	chr3R-reg9848	CG8483
4915	chr3L-reg6377	CG13287
