chrom	start	end
chr2L	89664	92222
chr2L	369221	370939
chr2L	392210	393391
chr2L	393878	394758
chr2L	426344	430196
chr2L	597536	598358
chr2L	599101	600887
chr2L	610075	616292
chr2L	630099	632210
chr2L	632600	639999
chr2L	717396	721784
chr2L	726007	727845
chr2L	745062	746194
chr2L	747069	749160
chr2L	766216	768440
chr2L	791844	794230
chr2L	794502	795598
chr2L	803453	805045
chr2L	807015	808139
chr2L	887761	889512
chr2L	891881	895484
chr2L	906405	908886
chr2L	918311	919419
chr2L	920115	922513
chr2L	964611	966180
chr2L	972448	975463
chr2L	984671	986698
chr2L	991538	993288
chr2L	994963	996561
chr2L	1217867	1218876
chr2L	1298173	1300788
chr2L	1303354	1304299
chr2L	1311674	1312707
chr2L	1313780	1317291
chr2L	1338551	1340647
chr2L	1362318	1366255
chr2L	1424773	1425666
chr2L	1425988	1427847
chr2L	1433663	1434350
chr2L	1434560	1437713
chr2L	1439330	1440696
chr2L	1444491	1448486
chr2L	1448881	1450435
chr2L	1450668	1452275
chr2L	1452966	1453770
chr2L	1455013	1457764
chr2L	1458178	1459709
chr2L	1460384	1462590
chr2L	1462999	1466081
chr2L	1470290	1470894
chr2L	1473187	1474468
chr2L	1475588	1476266
chr2L	1476527	1477239
chr2L	1477977	1479034
chr2L	1480512	1481374
chr2L	1485465	1486362
chr2L	1527078	1527825
chr2L	1537704	1538863
chr2L	1543213	1544786
chr2L	1632160	1633646
chr2L	1638316	1640023
chr2L	1642735	1645043
chr2L	1647505	1650444
chr2L	1759177	1762210
chr2L	1762486	1765252
chr2L	1972570	1973553
chr2L	2030809	2032377
chr2L	2048628	2050228
chr2L	2119772	2122905
chr2L	2199889	2201610
chr2L	2459961	2463789
chr2L	2465913	2468839
chr2L	2469669	2470604
chr2L	2475652	2476962
chr2L	2477426	2478839
chr2L	2480172	2487628
chr2L	2508119	2513527
chr2L	2519277	2520495
chr2L	2521614	2524158
chr2L	2525815	2527293
chr2L	2541651	2549818
chr2L	2558628	2562424
chr2L	2605603	2608056
chr2L	2611749	2614262
chr2L	2616831	2618270
chr2L	2628028	2630546
chr2L	2640637	2643802
chr2L	2801981	2803040
chr2L	3223605	3225413
chr2L	3230997	3232075
chr2L	3243018	3244958
