7	chr3R-reg5253	neur
27	chr3R-reg23876	HLHmgamma
29	chr3R-reg23904	HLHm7
32	chr2R-reg4206	dpn pnut
56	chr3R-reg23896	m4
59	chr3R-reg23908	E(spl)
61	chr2L-reg10682	CG3841 gcm
69	chr2R-reg11221	phyl Oaz
93	chr3L-reg7506	bin CG32388
154	chr2L-reg6477	CG8965
194	chr3L-reg9466	Fhos
215	chr3L-reg22840	CG42337
236	chr2L-reg10681	gcm
246	chr3R-reg5260	neur
251	chr2R-reg12090	Fs scb
306	chr3L-reg22693	siz
326	chr2L-reg19485	qua
339	chr3R-reg4447	ato CG9630
513	chr2R-reg11943	chn
523	chr3R-reg12515	pxb
527	chr2L-reg15175	CG42784
551	chr3L-reg22713	siz
576	chrX-reg633	sdk
641	chr2R-reg19700	a
701	chr2L-reg4840	Traf4
766	chr3R-reg23897	m4
835	chrX-reg5654	CG42749
860	chr3L-reg24600	nrm
900	chr3R-reg14970	CG42457 cpo
1009	chr2R-reg12673	Poxn
1092	chr2R-reg15948	edl
1129	chr3R-reg5258	neur
1165	chr2L-reg12914	salr
1167	chr3L-reg6042	CG10625
1171	chr2L-reg8249	CG6055
1178	chr2R-reg15949	edl
1190	chr2L-reg6471	CG8965
1352	chr3R-reg12512	pxb
1387	chrX-reg604	sdk
1427	chr3R-reg14612	CG14324 CG14326
1432	chr2L-reg15181	CG42784
1552	chr2L-reg4852	Traf4
1553	chr2R-reg4204	dpn pnut
1620	chr2R-reg14603	veil CG6520
1699	chr3L-reg1667	rho
1944	chr3L-reg6048	CG10625
1959	chr3L-reg1668	rho
1985	chr3R-reg23903	HLHm7
2032	chr3L-reg9465	Fhos
2051	chr2L-reg4854	Traf4
2144	chr2L-reg17237	sna
2235	chr2L-reg20037	rdo
2241	chr3R-reg15018	CG42457 cpo
2244	chrX-reg621	sdk
2320	chrX-reg15974	CG9411
2453	chr2L-reg5355	pog
2460	chr2L-reg8241	CG6055 Gr28b
2463	chr2L-reg10683	CG3841 gcm
2532	chr3L-reg10161	CG3967 aay
2552	chr3L-reg9475	Fhos
2602	chrX-reg14125	Pde9
2608	chr3R-reg15457	CG31122 CG10864
2907	chr2R-reg12831	Strn-Mlck
2929	chr3R-reg27462	CG18110 Obp99a
3005	chr2L-reg20026	rdo
3184	chr2R-reg19705	a
3225	chr3R-reg4449	ato CG9630
3230	chr2R-reg11944	chn
3349	chr3R-reg9279	Men
3465	chr2L-reg23627	Tsp39D
3490	chr3L-reg9468	Fhos
3579	chr2R-reg19704	a
3762	chr2L-reg4848	Traf4
3780	chrX-reg14081	Pde9
4100	chr3L-reg9453	Fhos CG13306
4166	chr2R-reg11946	chn
4229	chr3R-reg12513	pxb
4259	chr2L-reg19486	qua
4327	chr2R-reg10666	CG33155 AGO1 mRpL53
4340	chr2R-reg19709	a
4345	chr2L-reg15676	CG16884 Ance-3
4653	chr2R-reg18778	CG9485
4713	chr3L-reg4385	scrt
4755	chr3L-reg9457	Fhos
