chrom	txStart_minus500	txStart_plus500	paste_locus
chr4	1034787	1035787	chr4_1035287_1051378
chr4	1034787	1035787	chr4_1035287_1053703
chr4	1036654	1037654	chr4_1037154_1051378
chr4	254496	255496	chr4_254996_262519
chr4	254496	255496	chr4_254996_262667
chr4	254496	255496	chr4_254996_265075
chr4	254496	255496	chr4_254996_265574
chr4	375139	376139	chr4_375639_393410
chr4	375139	376139	chr4_375639_395605
chr4	501309	502309	chr4_501809_538373
chr4	501309	502309	chr4_501809_539792
chr4	501309	502309	chr4_501809_540874
chr4	648540	649540	chr4_649040_663103
chr4	649470	650470	chr4_649970_659983
chr4	649470	650470	chr4_649970_660608
chr4	778015	779015	chr4_778515_787614
chr4	778015	779015	chr4_778515_788978
chr4	914796	915796	chr4_915296_930715
chr4	1171968	1172968	chr4_1172468_1181628
chr4	378	1378	chr4_878_5039
chr4	31977	32977	chr4_32477_43778
chr4	32311	33311	chr4_32811_43778
chr4	42273	43273	chr4_42773_43374
chr4	44273	45273	chr4_44773_46074
chr4	47209	48209	chr4_47709_56331
chr4	47209	48209	chr4_47709_56331
chr4	47209	48209	chr4_47709_57041
chr4	55996	56996	chr4_56496_60974
chr4	55996	56996	chr4_56496_63124
chr4	64724	65724	chr4_65224_67207
chr4	65076	66076	chr4_65576_65645
chr4	65696	66696	chr4_66196_67207
chr4	65696	66696	chr4_66196_67207
chr4	68825	69825	chr4_69325_101419
chr4	68825	69825	chr4_69325_108694
chr4	68825	69825	chr4_69325_109770
chr4	68825	69825	chr4_69325_110059
chr4	69152	70152	chr4_69652_110059
chr4	69152	70152	chr4_69652_114270
chr4	69904	70904	chr4_70404_110059
chr4	89854	90854	chr4_90354_110059
chr4	114573	115573	chr4_115073_129849
chr4	115888	116888	chr4_116388_129452
chr4	115888	116888	chr4_116388_129754
chr4	131719	132719	chr4_132219_140083
chr4	131719	132719	chr4_132219_140083
chr4	131719	132719	chr4_132219_140083
chr4	131719	132719	chr4_132219_143123
chr4	131719	132719	chr4_132219_143123
chr4	132173	133173	chr4_132673_132874
chr4	134265	135265	chr4_134765_143123
chr4	135771	136771	chr4_136271_140083
chr4	135771	136771	chr4_136271_143123
chr4	150263	151263	chr4_150763_153538
chr4	154153	155153	chr4_154653_156060
chr4	154216	155216	chr4_154716_156060
chr4	157074	158074	chr4_157574_175140
chr4	157074	158074	chr4_157574_175140
chr4	157074	158074	chr4_157574_175639
chr4	166044	167044	chr4_166544_175140
chr4	166044	167044	chr4_166544_175639
chr4	174954	175954	chr4_175454_175874
chr4	176847	177847	chr4_177347_179389
chr4	176937	177937	chr4_177437_179389
chr4	176937	177937	chr4_177437_179389
chr4	183575	184575	chr4_184075_193829
chr4	183724	184724	chr4_184224_189587
chr4	183724	184724	chr4_184224_193489
chr4	183724	184724	chr4_184224_193829
chr4	194231	195231	chr4_194731_195900
chr4	196174	197174	chr4_196674_205945
chr4	197191	198191	chr4_197691_205945
chr4	209723	210723	chr4_210223_213165
chr4	209723	210723	chr4_210223_213165
chr4	209723	210723	chr4_210223_213165
chr4	209723	210723	chr4_210223_213165
chr4	209723	210723	chr4_210223_213165
chr4	214508	215508	chr4_215008_225956
chr4	214508	215508	chr4_215008_227748
chr4	227421	228421	chr4_227921_230428
chr4	228075	229075	chr4_228575_229112
chr4	230229	231229	chr4_230729_245903
chr4	230925	231925	chr4_231425_241318
chr4	230925	231925	chr4_231425_245903
chr4	231349	232349	chr4_231849_245903
chr4	246623	247623	chr4_247123_253329
chr4	246623	247623	chr4_247123_253329
chr4	267674	268674	chr4_268174_276369
chr4	267813	268813	chr4_268313_276369
chr4	276022	277022	chr4_276522_278174
chr4	278184	279184	chr4_278684_305818
chr4	278184	279184	chr4_278684_305818
chr4	278184	279184	chr4_278684_306161
chr4	278184	279184	chr4_278684_306481
chr4	307592	308592	chr4_308092_310302
chr4	307592	308592	chr4_308092_310302
chr4	307592	308592	chr4_308092_310822
chr4	310429	311429	chr4_310929_313913
chr4	310429	311429	chr4_310929_313913
chr4	310429	311429	chr4_310929_314087
chr4	310429	311429	chr4_310929_314087
chr4	314422	315422	chr4_314922_321385
chr4	314422	315422	chr4_314922_331387
chr4	327692	328692	chr4_328192_358657
chr4	328315	329315	chr4_328815_358657
chr4	328315	329315	chr4_328815_358657
chr4	328315	329315	chr4_328815_358917
chr4	329016	330016	chr4_329516_358657
chr4	330355	331355	chr4_330855_358657
chr4	334169	335169	chr4_334669_358657
chr4	359437	360437	chr4_359937_372784
chr4	359437	360437	chr4_359937_374973
chr4	359437	360437	chr4_359937_375554
chr4	375139	376139	chr4_375639_388322
chr4	380223	381223	chr4_380723_381275
chr4	394895	395895	chr4_395395_395954
chr4	400202	401202	chr4_400702_400765
chr4	425566	426566	chr4_426066_426601
chr4	426830	427830	chr4_427330_431769
chr4	436456	437456	chr4_436956_443911
chr4	445003	446003	chr4_445503_453947
chr4	445003	446003	chr4_445503_453947
chr4	445592	446592	chr4_446092_453947
chr4	446077	447077	chr4_446577_453947
chr4	459267	460267	chr4_459767_461413
chr4	459386	460386	chr4_459886_466828
chr4	466996	467996	chr4_467496_471476
chr4	468908	469908	chr4_469408_486033
chr4	470785	471785	chr4_471285_481970
chr4	470785	471785	chr4_471285_482720
chr4	470785	471785	chr4_471285_483803
chr4	472394	473394	chr4_472894_481970
chr4	472394	473394	chr4_472894_483803
chr4	472394	473394	chr4_472894_486033
chr4	472394	473394	chr4_472894_488994
chr4	537831	538831	chr4_538331_557854
chr4	540059	541059	chr4_540559_557854
chr4	544767	545767	chr4_545267_557854
chr4	556524	557524	chr4_557024_557854
chr4	557515	558515	chr4_558015_565931
chr4	557722	558722	chr4_558222_565931
chr4	557722	558722	chr4_558222_567257
chr4	559163	560163	chr4_559663_567257
chr4	567795	568795	chr4_568295_570790
chr4	567795	568795	chr4_568295_571554
chr4	571254	572254	chr4_571754_578143
chr4	571254	572254	chr4_571754_580122
chr4	582607	583607	chr4_583107_589348
chr4	597123	598123	chr4_597623_598274
chr4	598054	599054	chr4_598554_607649
chr4	610183	611183	chr4_610683_620351
chr4	610183	611183	chr4_610683_620734
chr4	610183	611183	chr4_610683_620926
chr4	610183	611183	chr4_610683_620926
chr4	610183	611183	chr4_610683_622470
chr4	622718	623718	chr4_623218_626031
chr4	625625	626625	chr4_626125_626212
chr4	629190	630190	chr4_629690_635350
chr4	629192	630192	chr4_629692_635350
chr4	635630	636630	chr4_636130_646556
chr4	635630	636630	chr4_636130_646556
chr4	663120	664120	chr4_663620_669884
chr4	663120	664120	chr4_663620_669884
chr4	663120	664120	chr4_663620_669884
chr4	670641	671641	chr4_671141_687565
chr4	670641	671641	chr4_671141_690650
chr4	679769	680769	chr4_680269_687565
chr4	680092	681092	chr4_680592_689595
chr4	690185	691185	chr4_690685_696055
chr4	690777	691777	chr4_691277_696055
chr4	691100	692100	chr4_691600_696055
chr4	697188	698188	chr4_697688_721173
chr4	704150	705150	chr4_704650_721173
chr4	706928	707928	chr4_707428_721173
chr4	723899	724899	chr4_724399_776081
chr4	723899	724899	chr4_724399_776474
chr4	724855	725855	chr4_725355_776081
chr4	725157	726157	chr4_725657_776081
chr4	775974	776974	chr4_776474_777146
chr4	799935	800935	chr4_800435_804080
chr4	799935	800935	chr4_800435_807347
chr4	799935	800935	chr4_800435_834393
chr4	836485	837485	chr4_836985_844529
chr4	850673	851673	chr4_851173_851624
chr4	853056	854056	chr4_853556_867025
chr4	854899	855899	chr4_855399_867025
chr4	867323	868323	chr4_867823_871426
chr4	867323	868323	chr4_867823_904026
chr4	870429	871429	chr4_870929_893565
chr4	870429	871429	chr4_870929_904821
chr4	870429	871429	chr4_870929_912331
chr4	878873	879873	chr4_879373_884752
chr4	880970	881970	chr4_881470_883402
chr4	936318	937318	chr4_936818_944486
chr4	936318	937318	chr4_936818_946825
chr4	936318	937318	chr4_936818_946825
chr4	936318	937318	chr4_936818_949441
chr4	951041	952041	chr4_951541_958170
chr4	951041	952041	chr4_951541_958392
chr4	958723	959723	chr4_959223_959434
chr4	959174	960174	chr4_959674_962692
chr4	961840	962840	chr4_962340_969374
chr4	961840	962840	chr4_962340_976035
chr4	961840	962840	chr4_962340_978489
chr4	974667	975667	chr4_975167_975810
chr4	974667	975667	chr4_975167_977261
chr4	976294	977294	chr4_976794_977261
chr4	989224	990224	chr4_989724_1006288
chr4	989224	990224	chr4_989724_1007922
chr4	1009394	1010394	chr4_1009894_1027101
chr4	1012903	1013903	chr4_1013403_1027101
chr4	1012903	1013903	chr4_1013403_1027101
chr4	1013132	1014132	chr4_1013632_1027101
chr4	1027362	1028362	chr4_1027862_1029359
chr4	1027780	1028780	chr4_1028280_1029359
chr4	1028174	1029174	chr4_1028674_1029361
chr4	1029210	1030210	chr4_1029710_1030975
chr4	1029210	1030210	chr4_1029710_1031676
chr4	1029210	1030210	chr4_1029710_1031757
chr4	1030983	1031983	chr4_1031483_1034557
chr4	1031363	1032363	chr4_1031863_1034557
chr4	1031363	1032363	chr4_1031863_1034917
chr4	1056864	1057864	chr4_1057364_1060918
chr4	1056864	1057864	chr4_1057364_1060918
chr4	1056864	1057864	chr4_1057364_1065001
chr4	1056864	1057864	chr4_1057364_1065001
chr4	1060468	1061468	chr4_1060968_1076204
chr4	1062177	1063177	chr4_1062677_1076204
chr4	1064405	1065405	chr4_1064905_1076204
chr4	1064405	1065405	chr4_1064905_1077273
chr4	1076830	1077830	chr4_1077330_1084796
chr4	1088297	1089297	chr4_1088797_1110974
chr4	1088297	1089297	chr4_1088797_1113317
chr4	1098024	1099024	chr4_1098524_1113317
chr4	1112373	1113373	chr4_1112873_1122965
chr4	1114578	1115578	chr4_1115078_1122965
chr4	1114754	1115754	chr4_1115254_1123357
chr4	1123666	1124666	chr4_1124166_1125113
chr4	1123666	1124666	chr4_1124166_1125325
chr4	1126101	1127101	chr4_1126601_1135094
chr4	1126101	1127101	chr4_1126601_1135914
chr4	1126101	1127101	chr4_1126601_1137919
chr4	1137329	1138329	chr4_1137829_1146121
chr4	1137329	1138329	chr4_1137829_1146529
chr4	1137329	1138329	chr4_1137829_1162158
chr4	1146965	1147965	chr4_1147465_1169239
chr4	1185267	1186267	chr4_1185767_1192537
chr4	1185267	1186267	chr4_1185767_1192694
chr4	1185614	1186614	chr4_1186114_1192985
chr4	1191918	1192918	chr4_1192418_1196848
chr4	1198351	1199351	chr4_1198851_1224467
chr4	1198357	1199357	chr4_1198857_1223450
chr4	1198357	1199357	chr4_1198857_1224467
chr4	1218539	1219539	chr4_1219039_1223450
chr4	1224588	1225588	chr4_1225088_1230713
chr4	1225236	1226236	chr4_1225736_1230713
chr4	1230336	1231336	chr4_1230836_1271759
chr4	1231382	1232382	chr4_1231882_1271759
chrM	-261	739	chrM_239_1263
chrM	973	1973	chrM_1473_3009
chrM	2582	3582	chrM_3082_3767
chrM	3406	4406	chrM_3906_4068
chrM	3561	4561	chrM_4061_4736
chrM	4235	5235	chrM_4735_5524
chrM	5107	6107	chrM_5607_5961
chrM	5908	6908	chrM_6408_8125
chrM	7706	8706	chrM_8206_9545
chrM	9044	10044	chrM_9544_9835
chrM	9470	10470	chrM_9970_10495
chrM	9998	10998	chrM_10498_11635
chrM	11220	12220	chrM_11720_12659
chrX	8385280	8386280	chrX_8385780_8389504
chrX	16751688	16752688	chrX_16752188_16781074
chrX	16751688	16752688	chrX_16752188_16782545
chrX	16751688	16752688	chrX_16752188_16783434
chrX	1046741	1047741	chrX_1047241_1088866
chrX	2093733	2094733	chrX_2094233_2113664
chrX	2093733	2094733	chrX_2094233_2115701
chrX	3134369	3135369	chrX_3134869_3171682
chrX	3134369	3135369	chrX_3134869_3172221
chrX	4132386	4133386	chrX_4132886_4206093
chrX	4133882	4134882	chrX_4134382_4206093
chrX	4135369	4136369	chrX_4135869_4206093
chrX	4138552	4139552	chrX_4139052_4206093
chrX	4139674	4140674	chrX_4140174_4206093
chrX	5085258	5086258	chrX_5085758_5250952
chrX	5085258	5086258	chrX_5085758_5254864
chrX	5085258	5086258	chrX_5085758_5254864
chrX	5085258	5086258	chrX_5085758_5254864
chrX	5164809	5165809	chrX_5165309_5254864
chrX	5164809	5165809	chrX_5165309_5254864
chrX	6290802	6291802	chrX_6291302_6293153
chrX	6290802	6291802	chrX_6291302_6294177
chrX	7165950	7166950	chrX_7166450_7405797
chrX	7167231	7168231	chrX_7167731_7405797
chrX	7280588	7281588	chrX_7281088_7405797
chrX	7336851	7337851	chrX_7337351_7342731
chrX	7336851	7337851	chrX_7337351_7342731
chrX	7337205	7338205	chrX_7337705_7342731
chrX	9357995	9358995	chrX_9358495_9500129
chrX	9359349	9360349	chrX_9359849_9495899
chrX	9359349	9360349	chrX_9359849_9496189
chrX	9359349	9360349	chrX_9359849_9500129
chrX	10481527	10482527	chrX_10482027_10486632
chrX	10481527	10482527	chrX_10482027_10487205
chrX	11492634	11493634	chrX_11493134_11555045
chrX	11493318	11494318	chrX_11493818_11555045
chrX	12568668	12569668	chrX_12569168_12583193
chrX	12569250	12570250	chrX_12569750_12583193
chrX	12570710	12571710	chrX_12571210_12583193
chrX	13624244	13625244	chrX_13624744_13663657
chrX	13624244	13625244	chrX_13624744_13663657
chrX	13624244	13625244	chrX_13624744_13663657
chrX	14679067	14680067	chrX_14679567_14680931
