chrom	start	end	chrom_RNA	start_RNA	end_RNA	gene
chr2L	46805	47720	chr2L	59189	59242	CG31973
chr2L	65817	66817	chr2L	67043	67507	CG11371
chr2L	65981	66981	chr2L	67043	67507	CG11371
chr2L	66024	67024	chr2L	67043	67507	CG11371
chr2L	66542	67542	chr2L	67043	67507	CG11371
chr2L	72984	73984	chr2L	72387	72977	CG11372
chr2L	73336	74336	chr2L	72387	72977	CG11372
chr2L	73628	74628	chr2L	72387	72977	CG11372
chr2L	88699	89345	chr2L	87019	87382	CG11450
chr2L	89664	92222	chr2L	87019	87382	CG11450
chr2L	101586	102586	chr2L	102381	102906	CG11377
chr2L	101879	102879	chr2L	102381	102906	CG11377
chr2L	107260	108260	chr2L	105968	106718	CG12178
chr2L	107436	108436	chr2L	105968	106718	CG12178
chr2L	107588	108588	chr2L	105968	106718	CG12178
chr2L	107632	108632	chr2L	105968	106718	CG12178
chr2L	109093	110093	chr2L	110405	110483	CG2674
chr2L	113710	114710	chr2L	115712	116117	CG13694
chr2L	113932	114932	chr2L	115712	116117	CG13694
chr2L	114225	115225	chr2L	115712	116117	CG13694
chr2L	128745	129745	chr2L	132059	132255	CG2718
chr2L	131576	132576	chr2L	132059	132255	CG2718
chr2L	140492	141492	chr2L	140149	140933	CG31975
chr2L	155528	156528	chr2L	155857	156017	CG11455
chr2L	155528	156528	chr2L	156028	156348	CG3436
chr2L	155530	156530	chr2L	155857	156017	CG11455
chr2L	155530	156530	chr2L	156028	156348	CG3436
chr2L	155648	156648	chr2L	155857	156017	CG11455
chr2L	155648	156648	chr2L	156028	156348	CG3436
chr2L	158164	159164	chr2L	158435	158603	CG33635
chr2L	158531	159531	chr2L	158435	158603	CG33635
chr2L	160420	161959	chr2L	158435	158603	CG33635
chr2L	167651	168903	chr2L	158435	158603	CG33635
chr2L	171842	173448	chr2L	183760	185082	CG18497
chr2L	245184	246511	chr2L	252226	252331	CG11606
chr2L	250323	251323	chr2L	252226	252331	CG11606
chr2L	250538	251538	chr2L	252226	252331	CG11606
chr2L	250662	251662	chr2L	252226	252331	CG11606
chr2L	271126	272126	chr2L	271628	271732	CG3645
chr2L	271244	272244	chr2L	271628	271732	CG3645
chr2L	271411	272411	chr2L	271628	271732	CG3645
chr2L	273215	274215	chr2L	272554	274096	CG11604
chr2L	273215	274215	chr2L	273954	274766	CG11555
chr2L	273335	274335	chr2L	272554	274096	CG11604
chr2L	273335	274335	chr2L	273954	274766	CG11555
chr2L	273436	274436	chr2L	272554	274096	CG11604
chr2L	273436	274436	chr2L	273954	274766	CG11555
chr2L	276712	277712	chr2L	276973	277142	CG17078
chr2L	276712	277712	chr2L	277587	277863	CG11561
chr2L	285226	286226	chr2L	284747	284968	CG3625
chr2L	285882	286882	chr2L	287251	288919	CG11592
chr2L	286031	287031	chr2L	287251	288919	CG11592
chr2L	297379	298379	chr2L	297881	298403	CG2699
chr2L	304733	305733	chr2L	297881	298403	CG2699
chr2L	305434	306434	chr2L	297881	298403	CG2699
chr2L	335825	336530	chr2L	329990	332335	CG31921
chr2L	356828	357828	chr2L	356890	357191	CG11907
chr2L	357374	358374	chr2L	356890	357191	CG11907
chr2L	357674	358674	chr2L	356890	357191	CG11907
chr2L	369221	370939	chr2L	378115	378481	CG3935
chr2L	377611	378611	chr2L	378115	378481	CG3935
chr2L	380008	382529	chr2L	378115	378481	CG3935
chr2L	384546	385298	chr2L	378115	378481	CG3935
chr2L	403784	404784	chr2L	404285	404473	CG4033
chr2L	414277	415277	chr2L	415068	415446	CG4063
chr2L	414566	415566	chr2L	415068	415446	CG4063
chr2L	419152	420152	chr2L	418429	419642	CG13690
chr2L	419152	420152	chr2L	419930	420146	CG4087
chr2L	419451	420451	chr2L	418429	419642	CG13690
chr2L	419451	420451	chr2L	419930	420146	CG4087
chr2L	420197	421197	chr2L	420886	421407	CG11885
chr2L	420364	421364	chr2L	420886	421407	CG11885
chr2L	420394	421394	chr2L	420886	421407	CG11885
chr2L	420950	421950	chr2L	420886	421407	CG11885
chr2L	420950	421950	chr2L	421799	422188	CG13692
chr2L	421270	422270	chr2L	420886	421407	CG11885
chr2L	421270	422270	chr2L	421799	422188	CG13692
chr2L	421989	422989	chr2L	421799	422188	CG13692
chr2L	422372	423372	chr2L	423451	423845	CG13691
chr2L	426344	430196	chr2L	431252	432117	CG4114
chr2L	439038	440038	chr2L	431252	432117	CG4114
chr2L	439604	440604	chr2L	431252	432117	CG4114
chr2L	479188	480188	chr2L	476436	478204	CG4427
chr2L	490334	491334	chr2L	476436	478204	CG4427
chr2L	491378	492378	chr2L	476436	478204	CG4427
chr2L	492149	493149	chr2L	476436	478204	CG4427
chr2L	495159	496177	chr2L	476436	478204	CG4427
chr2L	501736	502736	chr2L	523466	524059	CG2762
chr2L	506435	508345	chr2L	523466	524059	CG2762
chr2L	508925	511954	chr2L	523466	524059	CG2762
chr2L	512635	516112	chr2L	523466	524059	CG2762
chr2L	516552	519278	chr2L	523466	524059	CG2762
chr2L	519591	522642	chr2L	523466	524059	CG2762
chr2L	522965	523965	chr2L	523466	524059	CG2762
chr2L	523235	524235	chr2L	523466	524059	CG2762
chr2L	526441	527381	chr2L	523466	524059	CG2762
chr2L	529037	538317	chr2L	542429	542572	CG3018
chr2L	540032	541032	chr2L	542429	542572	CG3018
chr2L	540060	541060	chr2L	542429	542572	CG3018
chr2L	540098	541098	chr2L	542429	542572	CG3018
chr2L	540736	541736	chr2L	542429	542572	CG3018
chr2L	540892	541892	chr2L	542429	542572	CG3018
chr2L	542080	543080	chr2L	542429	542572	CG3018
chr2L	542285	543285	chr2L	542429	542572	CG3018
chr2L	544153	545153	chr2L	544332	544627	CG11840
chr2L	544153	545153	chr2L	545147	545306	CG11822
chr2L	544424	545424	chr2L	544332	544627	CG11840
chr2L	544424	545424	chr2L	545147	545306	CG11822
chr2L	544628	545628	chr2L	545147	545306	CG11822
chr2L	551954	552954	chr2L	547977	548218	CG2914
chr2L	552423	553423	chr2L	547977	548218	CG2914
chr2L	553241	554241	chr2L	558615	558762	CG11838
chr2L	567621	568621	chr2L	567088	568162	CG2863
chr2L	567621	568621	chr2L	568345	568433	CG2807
chr2L	567839	568839	chr2L	567088	568162	CG2863
chr2L	567839	568839	chr2L	568345	568433	CG2807
chr2L	573764	574764	chr2L	573032	574232	CG13688
chr2L	573764	574764	chr2L	574512	574698	CG2813
chr2L	573790	574790	chr2L	573032	574232	CG13688
chr2L	573790	574790	chr2L	574512	574698	CG2813
chr2L	574007	575007	chr2L	573032	574232	CG13688
chr2L	574007	575007	chr2L	574512	574698	CG2813
chr2L	576396	577396	chr2L	576517	576586	CG13687
chr2L	576985	577985	chr2L	577487	578033	CG2819
chr2L	594185	595185	chr2L	593587	594687	CG2851
chr2L	597536	598358	chr2L	593587	594687	CG2851
chr2L	602312	603312	chr2L	602812	603006	CG13689
chr2L	605413	606413	chr2L	602812	603006	CG13689
chr2L	605912	606912	chr2L	602812	603006	CG13689
chr2L	608634	609634	chr2L	602812	603006	CG13689
chr2L	610075	616292	chr2L	621470	621540	CG13686
chr2L	619797	620797	chr2L	621470	621540	CG13686
chr2L	622606	623606	chr2L	624643	625453	CG2826
chr2L	623165	624165	chr2L	624643	625453	CG2826
chr2L	623399	624399	chr2L	624643	625453	CG2826
chr2L	623823	624823	chr2L	624643	625453	CG2826
chr2L	630099	632210	chr2L	625662	628143	CG2839
chr2L	632600	639999	chr2L	625662	628143	CG2839
chr2L	639512	640512	chr2L	625662	628143	CG2839
chr2L	641278	645793	chr2L	625662	628143	CG2839
chr2L	646233	649716	chr2L	625662	628143	CG2839
chr2L	650238	653507	chr2L	625662	628143	CG2839
chr2L	653819	656772	chr2L	625662	628143	CG2839
chr2L	657790	664000	chr2L	625662	628143	CG2839
chr2L	664348	671657	chr2L	625662	628143	CG2839
chr2L	672414	674870	chr2L	714274	714968	CG17941
chr2L	675174	676023	chr2L	714274	714968	CG17941
chr2L	682930	685459	chr2L	714274	714968	CG17941
chr2L	685734	687070	chr2L	714274	714968	CG17941
chr2L	695954	698547	chr2L	714274	714968	CG17941
chr2L	698815	704080	chr2L	714274	714968	CG17941
chr2L	704538	708711	chr2L	714274	714968	CG17941
chr2L	714483	715483	chr2L	714274	714968	CG17941
chr2L	714807	715807	chr2L	714274	714968	CG17941
chr2L	717396	721784	chr2L	714274	714968	CG17941
chr2L	723188	724322	chr2L	728411	730566	CG2830
chr2L	730064	731064	chr2L	728411	730566	CG2830
