Paste_locus	class
chr4_44273_45273	start
chr4_55996_56996	start
chr4_65696_66696	start
chr4_68825_69825	start
chr4_135771_136771	start
chr4_307592_308592	start
chr4_466996_467996	start
chr4_610183_611183	start
chr4_697188_698188	start
chr4_704150_705150	start
chr4_958723_959723	start
chr4_959174_960174	start
chr4_976294_977294	start
chr4_989224_990224	start
chr4_1027780_1028780	start
chr4_1028174_1029174	start
chr4_1030983_1031983	start
chr4_1031363_1032363	start
chr4_1230336_1231336	start
chrX_16751688_16752688	start
chrX_5085258_5086258	start
chrX_6290802_6291802	start
chrX_7165950_7166950	start
chrX_7167231_7168231	start
chrX_7280588_7281588	start
chrX_7336851_7337851	start
chrX_7337205_7338205	start
chrX_11492634_11493634	start
chrX_11493318_11494318	start
chrX_13624244_13625244	start
chrX_14679067_14680067	start
chrX_15712127_15713127	start
chrX_17820263_17821263	start
chrX_17820274_17821274	start
chrX_18863449_18864449	start
chrX_2619298_2620298	start
chrX_4412355_4413355	start
chrX_4412961_4413961	start
chrX_4426634_4427634	start
chrX_4707415_4708415	start
chrX_4956145_4957145	start
chrX_5764052_5765052	start
chrX_5881979_5882979	start
chrX_6540270_6541270	start
chrX_6545618_6546618	start
chrX_6683297_6684297	start
chrX_6683340_6684340	start
chrX_6683854_6684854	start
chrX_6907776_6908776	start
chrX_7074049_7075049	start
chrX_8120779_8121779	start
chrX_8252169_8253169	start
chrX_8516872_8517872	start
chrX_8516929_8517929	start
chrX_8516987_8517987	start
chrX_8517008_8518008	start
chrX_8517240_8518240	start
chrX_8906567_8907567	start
chrX_9029704_9030704	start
chrX_9042143_9043143	start
chrX_9163662_9164662	start
chrX_10086026_10087026	start
chrX_10219609_10220609	start
chrX_10348179_10349179	start
chrX_10602140_10603140	start
chrX_10744001_10745001	start
chrX_10744933_10745933	start
chrX_10877553_10878553	start
chrX_10967221_10968221	start
chrX_11369164_11370164	start
chrX_11621514_11622514	start
chrX_11792032_11793032	start
chrX_11792213_11793213	start
chrX_11792378_11793378	start
chrX_12203297_12204297	start
chrX_12785062_12786062	start
chrX_13095070_13096070	start
chrX_13845615_13846615	start
chrX_15068626_15069626	start
