35	chr3L-reg14894	CG13737 CG34400
47	chr2L-reg4854	Traf4
71	chr2R-reg4204	dpn pnut
106	chr2R-reg14600	veil CG6520
107	chr3R-reg5252	neur
216	chr2R-reg16908	Rep Oseg6
220	chr3L-reg4381	scrt
234	chr3R-reg5265	hyx neur
262	chr2R-reg18777	CG9485 CG9754
343	chrX-reg11187	CG15309 l(1)G0230
358	chr2R-reg4205	dpn pnut
359	chr3L-reg4931	CG11347
378	chr3R-reg17042	Hs6st mira
388	chr2R-reg15951	edl
392	chr2R-reg6401	Pfk
436	chrX-reg244	CG32816 ac
475	chr3L-reg6829	ImpL3
494	chr3L-reg5986	CG10630
585	chrX-reg14097	Pde9
606	chr3R-reg8643	CG4702
680	chr2L-reg4091	CG34340
790	chrX-reg5650	CG42749
808	chr3L-reg22715	siz CG43072
830	chr2L-reg6468	CG8965
872	chr3L-reg4544	Ack
900	chr3L-reg9471	Fhos
906	chr2R-reg10673	AGO1
976	chr2R-reg5078	CG8170
1013	chr3L-reg10161	CG3967 aay
1078	chr3R-reg1185	Tim17a2 Hph
1093	chr2R-reg5077	CG8170
1096	chr3L-reg14896	CG13737 CG34400
1160	chr2L-reg19485	qua
1215	chr2R-reg19712	a
1272	chr3R-reg5258	neur
1310	chr3R-reg12513	pxb
1407	chr2L-reg15675	CG16884 Ance-3
1486	chr3R-reg5256	neur
1630	chr3R-reg20012	loco
1634	chr3R-reg8644	CG4702 tRNA:K5:87BC
1643	chr2R-reg11217	phyl
1698	chr2R-reg15952	edl
1709	chr2L-reg20005	rdo
1790	chr3L-reg21058	l(3)76BDm asf1
1828	chr3R-reg12508	pxb
2059	chr2R-reg6768	CG33474 CG11825
2063	chr3R-reg8493	Tk Ect3
2140	chrX-reg634	sdk
2159	chr3R-reg23908	E(spl)
2163	chr3L-reg4924	CG15019 CG11347
2164	chr3R-reg9845	CG8483
2175	chr3L-reg19415	gk
2181	chr3L-reg6047	CG10625
2263	chr3R-reg12515	pxb
2360	chr2L-reg4848	Traf4
2474	chr3R-reg13308	ss
2483	chr2R-reg18526	CG34396 king-tubby
2715	chr3R-reg14984	CG42457 cpo
2776	chr2L-reg8245	CG6055
2787	chr2L-reg15185	CG42784
2804	chr3L-reg9464	Fhos
2851	chr2L-reg6478	CG8965
2972	chr3R-reg20014	loco
3149	chr2R-reg15948	edl
3200	chr2L-reg20026	rdo
3207	chr3L-reg9474	Fhos
3523	chr2R-reg6978	CG11883
3592	chr3L-reg10098	Hsp67Bc Hsp67Bb Hsp22
3606	chr3L-reg14895	CG13737 CG34400
3615	chr2L-reg20705	CG31751
3618	chr3R-reg8491	Tk Ect3
3719	chr3R-reg14974	CG42457 cpo
3771	chr3R-reg12517	pxb
3779	chr3L-reg7300	CG32392
3791	chr2R-reg11216	phyl
3807	chr3R-reg13311	ss
3852	chr2R-reg5082	CG8170
3947	chr3R-reg13320	ss
3983	chr3L-reg19419	gk
3994	chr3L-reg22709	siz
4191	chr2L-reg4840	Traf4
4305	chr2L-reg12915	salr
4326	chr2R-reg21191	CG9815
4341	chr3R-reg11853	CG42788
4370	chr3L-reg4929	CG11347
4411	chr2R-reg15955	edl
4489	chr2L-reg4105	CG34340
4529	chr2R-reg11959	chn
4537	chr2L-reg20040	rdo
4563	chrX-reg615	sdk
4611	chrX-reg267	sc CG32816
4626	chr3R-reg24792	CG6330
4690	chr2R-reg11958	chn
4764	chrX-reg6322	CG16721
4879	chr2L-reg19484	qua
4966	chr2R-reg5087	CG8170
