chrom	start	end
chr4	1050878	1051878
chr4	1050878	1051878
chr4	787114	788114
chr4	930215	931215
chr4	43278	44278
chr4	43278	44278
chr4	42874	43874
chr4	155560	156560
chr4	155560	156560
chr4	174640	175640
chr4	174640	175640
chr4	174640	175640
chr4	193329	194329
chr4	192989	193989
chr4	193329	194329
chr4	277674	278674
chr4	305318	306318
chr4	305318	306318
chr4	305661	306661
chr4	305981	306981
chr4	358157	359157
chr4	358157	359157
chr4	358157	359157
chr4	358417	359417
chr4	358157	359157
chr4	358157	359157
chr4	358157	359157
chr4	395454	396454
chr4	400265	401265
chr4	443411	444411
chr4	488494	489494
chr4	806847	807847
chr4	833893	834893
chr4	866525	867525
chr4	866525	867525
chr4	958934	959934
chr4	1026601	1027601
chr4	1026601	1027601
chr4	1026601	1027601
chr4	1026601	1027601
chr4	1028859	1029859
chr4	1028859	1029859
chr4	1028861	1029861
chr4	1030475	1031475
chr4	1031176	1032176
chr4	1031257	1032257
chr4	1034057	1035057
chr4	1034057	1035057
chr4	1060418	1061418
chr4	1060418	1061418
chr4	1122465	1123465
chr4	1122465	1123465
chr4	1122857	1123857
chr4	1196348	1197348
chrX	8389004	8390004
chrX	16782045	16783045
chrX	16782934	16783934
chrX	6292653	6293653
chrX	6293677	6294677
chrX	7405297	7406297
chrX	7405297	7406297
chrX	7405297	7406297
chrX	9499629	9500629
chrX	9495399	9496399
chrX	9495689	9496689
chrX	9499629	9500629
chrX	10486132	10487132
chrX	10486705	10487705
chrX	14680431	14681431
chrX	18883575	18884575
chrX	2544910	2545910
chrX	2544910	2545910
chrX	2544910	2545910
chrX	4610885	4611885
chrX	4905760	4906760
chrX	4905760	4906760
chrX	4906075	4907075
chrX	5647987	5648987
chrX	5647987	5648987
chrX	5647987	5648987
chrX	5647987	5648987
chrX	5647987	5648987
chrX	5789076	5790076
chrX	5770280	5771280
chrX	5899489	5900489
chrX	6191983	6192983
chrX	6191983	6192983
chrX	6554314	6555314
chrX	6585138	6586138
chrX	6585138	6586138
chrX	6966444	6967444
chrX	6968329	6969329
chrX	7097553	7098553
chrX	7097553	7098553
chrX	7097553	7098553
chrX	7097553	7098553
chrX	7097553	7098553
chrX	7097553	7098553
chrX	8128785	8129785
chrX	8135213	8136213
chrX	8805304	8806304
chrX	10365773	10366773
chrX	10748306	10749306
chrX	10748597	10749597
chrX	10748306	10749306
chrX	11801087	11802087
chrX	11796801	11797801
chrX	11797065	11798065
chrX	11798350	11799350
chrX	11930350	11931350
chrX	12896827	12897827
chrX	12896827	12897827
chrX	12896827	12897827
chrX	13256683	13257683
chrX	13256683	13257683
chrX	13256683	13257683
chrX	13256683	13257683
chrX	13257990	13258990
chrX	13257990	13258990
chrX	13369972	13370972
chrX	13526782	13527782
chrX	13985942	13986942
chrX	13932843	13933843
chrX	13990027	13991027
chrX	13946576	13947576
chrX	13985942	13986942
chrX	14287661	14288661
chrX	14818289	14819289
chrX	14825405	14826405
chrX	14825573	14826573
chrX	14951509	14952509
chrX	14950249	14951249
chrX	14951294	14952294
chrX	14953032	14954032
chrX	15075720	15076720
chrX	15075720	15076720
chrX	15075720	15076720
chrX	15075720	15076720
chrX	15075720	15076720
chrX	15991474	15992474
chrX	15991474	15992474
chrX	15991474	15992474
chrX	16148477	16149477
chrX	16148477	16149477
chrX	16383766	16384766
chrX	16384408	16385408
chrX	16384408	16385408
chrX	16649809	16650809
chrX	16645667	16646667
chrX	16912224	16913224
chrX	17200228	17201228
chrX	17301429	17302429
chrX	17698230	17699230
chrX	18062747	18063747
chrX	18062747	18063747
chrX	18062747	18063747
chrX	18014005	18015005
chrX	18062747	18063747
chrX	18355691	18356691
chrX	18355691	18356691
chrX	19028129	19029129
chrX	19272780	19273780
chrX	19268396	19269396
chrX	19529473	19530473
chrX	19529473	19530473
chrX	19530396	19531396
chrX	19530396	19531396
chrX	19661793	19662793
chrX	19662867	19663867
chrX	19663471	19664471
chrX	21110917	21111917
chrX	21110917	21111917
chrX	21280653	21281653
chrX	21280671	21281671
chrX	21280653	21281653
chrX	21280671	21281671
chrX	21629648	21630648
chrX	21629648	21630648
chrX	21629648	21630648
chrX	21629648	21630648
chrX	21629648	21630648
chrX	21629648	21630648
chrX	1878577	1879577
chrX	1879080	1880080
chrX	1879274	1880274
chrX	2274278	2275278
chrX	2274568	2275568
chrX	2321764	2322764
chrX	2321764	2322764
chrX	2325284	2326284
chrX	2325717	2326717
chrX	2443476	2444476
chrX	2443476	2444476
chrX	2940027	2941027
chrX	2947080	2948080
chrX	2948448	2949448
chrX	2948620	2949620
chrX	4533340	4534340
chrX	4534964	4535964
chrX	4540126	4541126
chrX	4540126	4541126
chrX	4541938	4542938
chrX	4542006	4543006
chrX	4543997	4544997
chrX	4548294	4549294
chrX	4548294	4549294
chrX	4549457	4550457
chrX	4551378	4552378
chrX	4552506	4553506
chrX	4553697	4554697
chrX	4553898	4554898
chrX	4559817	4560817
chrX	4571429	4572429
chrX	4635504	4636504
chrX	4635504	4636504
chrX	4640662	4641662
chrX	4643487	4644487
chrX	4646914	4647914
chrX	4646914	4647914
chrX	4648146	4649146
chrX	4649333	4650333
chrX	4649532	4650532
chrX	4666200	4667200
chrX	4666200	4667200
chrX	4666200	4667200
chrX	4677033	4678033
chrX	4679037	4680037
chrX	4701534	4702534
chrX	4707004	4708004
chrX	4771088	4772088
chrX	4774732	4775732
chrX	4826333	4827333
chrX	4914661	4915661
chrX	4914661	4915661
chrX	4917947	4918947
chrX	4929488	4930488
chrX	4930694	4931694
chrX	4953590	4954590
chrX	4954925	4955925
chrX	4955416	4956416
chrX	4955416	4956416
chrX	4955416	4956416
chrX	4955416	4956416
chrX	4997737	4998737
chrX	4997888	4998888
chrX	5326238	5327238
chrX	5328847	5329847
chrX	5331935	5332935
chrX	5410349	5411349
chrX	5419836	5420836
chrX	5418070	5419070
chrX	5418596	5419596
chrX	5420367	5421367
chrX	5432026	5433026
chrX	5432026	5433026
chrX	5493512	5494512
chrX	5495552	5496552
chrX	5495552	5496552
chrX	5500697	5501697
chrX	5500729	5501729
chrX	5502070	5503070
chrX	5518271	5519271
chrX	5517000	5518000
chrX	5518271	5519271
chrX	5523965	5524965
chrX	5559683	5560683
chrX	5615870	5616870
chrX	5618306	5619306
chrX	5618306	5619306
chrX	5620075	5621075
chrX	5622039	5623039
chrX	5621916	5622916
chrX	5662361	5663361
chrX	5662361	5663361
chrX	5662361	5663361
chrX	5665105	5666105
chrX	5665440	5666440
chrX	5665440	5666440
chrX	5670055	5671055
chrX	5670152	5671152
chrX	5671312	5672312
chrX	5673047	5674047
chrX	5673043	5674043
chrX	5673043	5674043
chrX	5676458	5677458
chrX	5679477	5680477
chrX	5681627	5682627
chrX	5683956	5684956
chrX	5683956	5684956
chrX	5688973	5689973
chrX	5690672	5691672
chrX	5694705	5695705
chrX	5697160	5698160
chrX	5708133	5709133
chrX	5708133	5709133
chrX	5713027	5714027
chrX	5714972	5715972
chrX	5717278	5718278
chrX	5723070	5724070
chrX	5723070	5724070
chrX	5737531	5738531
chrX	5733324	5734324
chrX	5734114	5735114
chrX	5753541	5754541
chrX	5753535	5754535
chrX	5754458	5755458
chrX	5754458	5755458
chrX	5756210	5757210
chrX	5762432	5763432
chrX	5763703	5764703
chrX	5776147	5777147
chrX	5781120	5782120
chrX	5790419	5791419
chrX	5791036	5792036
chrX	5794043	5795043
chrX	5804844	5805844
chrX	5809658	5810658
